model_id,mae,mean_residual_deviance,rmse,mse,rmsle
DeepLearning_grid__2_AutoML_20200717_153951_model_7,37.45857249097771,2561.963345168476,50.61584085213321,2561.963345168476,0.19526924422988184
DeepLearning_grid__3_AutoML_20200717_153951_model_7,37.65569788555373,2602.331528953779,51.0130525351481,2602.331528953779,0.19675419821047604
DeepLearning_grid__1_AutoML_20200717_153951_model_7,37.85289958655253,2556.037802078224,50.557272494451524,2556.037802078224,0.1957718394647163
DeepLearning_grid__3_AutoML_20200717_153951_model_14,37.97318349716442,2601.288363932129,51.00282701902052,2601.288363932129,0.19766855938083008
DeepLearning_grid__2_AutoML_20200717_153951_model_1,38.019672649755066,2525.00178359402,50.24939585302514,2525.00178359402,0.19597754341231005
DeepLearning_grid__3_AutoML_20200717_153951_model_15,38.02155737993217,2528.4089523899147,50.28328700860669,2528.4089523899147,0.19555876872260725
DeepLearning_grid__1_AutoML_20200717_153951_model_30,38.03867363197347,2564.106318164398,50.63700542256027,2564.106318164398,0.19716718426491253
DeepLearning_1_AutoML_20200717_153951,38.312094560867045,2673.464950485633,51.70556015058374,2673.464950485633,0.20044872671280392
DeepLearning_grid__2_AutoML_20200717_153951_model_15,38.347506054700844,2693.3032977901485,51.897045173980274,2693.3032977901485,0.19796431423280295
DeepLearning_grid__2_AutoML_20200717_153951_model_3,38.411048660898906,2724.0612724361745,52.19254039071268,2724.0612724361745,0.2023997124761293
DeepLearning_grid__2_AutoML_20200717_153951_model_14,38.53002735395468,2594.506453812903,50.93629799870523,2594.506453812903,0.1980361855622447
DeepLearning_grid__1_AutoML_20200717_153951_model_9,38.61687417194098,2737.173679499971,52.318005308879755,2737.173679499971,0.20712593723718192
DeepLearning_grid__3_AutoML_20200717_153951_model_9,38.69689020006307,2733.8456383966472,52.28618974831353,2733.8456383966472,0.2009410580308228
DeepLearning_grid__3_AutoML_20200717_153951_model_5,38.81589667794141,2656.47480143099,51.54100116830279,2656.47480143099,0.19999851950412256
DeepLearning_grid__3_AutoML_20200717_153951_model_17,38.860821321050636,2690.5926793707795,51.87092325543068,2690.5926793707795,0.20079159613920294
DeepLearning_grid__3_AutoML_20200717_153951_model_1,38.910131247066225,2788.362550140268,52.80494815962107,2788.362550140268,0.20104611678839085
DeepLearning_grid__1_AutoML_20200717_153951_model_1,39.01849089251312,2707.6662156407933,52.03524013244096,2707.6662156407933,0.2017296828166573
DeepLearning_grid__2_AutoML_20200717_153951_model_2,39.15781110229146,2625.1648011834304,51.23636209942536,2625.1648011834304,0.2011398531845497
DeepLearning_grid__2_AutoML_20200717_153951_model_9,39.295840451843134,2769.668581767133,52.6276408531404,2769.668581767133,0.20402937998077628
DeepLearning_grid__3_AutoML_20200717_153951_model_6,39.341217694524566,2899.264616493793,53.844819773993045,2899.264616493793,0.20768101131839012
DeepLearning_grid__1_AutoML_20200717_153951_model_14,39.385320302070106,2702.144829077114,51.98215875737669,2702.144829077114,0.20092541631927072
DeepLearning_grid__1_AutoML_20200717_153951_model_31,39.70138257495914,2713.1805806022576,52.088200013076445,2713.1805806022576,0.20276791781110898
DeepLearning_grid__2_AutoML_20200717_153951_model_6,39.890013090493596,2923.7160865496,54.07139804508109,2923.7160865496,0.20877696941725185
DeepLearning_grid__3_AutoML_20200717_153951_model_2,39.96152657491304,2998.846089559116,54.76172102444476,2998.846089559116,0.21200570369876268
DeepLearning_grid__3_AutoML_20200717_153951_model_3,40.02530414116149,2804.3842428582684,52.956437218323785,2804.3842428582684,0.20702315361688564
DeepLearning_grid__2_AutoML_20200717_153951_model_5,40.110320709721435,2800.93463145904,52.92385692160994,2800.93463145904,0.2037629616161073
DeepLearning_grid__1_AutoML_20200717_153951_model_27,40.30607170760871,2955.1264415330047,54.36107469074728,2955.1264415330047,0.21036905157667188
DeepLearning_grid__2_AutoML_20200717_153951_model_12,40.37025407782781,3014.3018161259947,54.90265764173893,3014.3018161259947,0.2140256772164122
DeepLearning_grid__3_AutoML_20200717_153951_model_16,40.43184385702831,2865.6245990587245,53.531529018502034,2865.6245990587245,0.20960025294416915
DeepLearning_grid__1_AutoML_20200717_153951_model_17,40.92784306253356,3215.405271899707,56.70454366185929,3215.405271899707,0.21897856017792
DeepLearning_grid__1_AutoML_20200717_153951_model_5,41.07345069912491,3144.952662467676,56.079877518301295,3144.952662467676,0.21580494764207725
DeepLearning_grid__1_AutoML_20200717_153951_model_19,41.250855463987115,2858.7152957976373,53.46695517604905,2858.7152957976373,0.2084122030777685
DeepLearning_grid__2_AutoML_20200717_153951_model_4,41.25627138252991,2809.054299917645,53.00051226089842,2809.054299917645,0.2092211897723392
DeepLearning_grid__3_AutoML_20200717_153951_model_4,41.362178847922785,3077.83114590444,55.47820424188619,3077.83114590444,0.21267723000619404
DeepLearning_grid__2_AutoML_20200717_153951_model_13,41.42897179175318,3134.56892827741,55.98722111587081,3134.56892827741,0.2177693840407226
DeepLearning_grid__1_AutoML_20200717_153951_model_3,41.468291236554045,3137.12255495675,56.01002191533895,3137.12255495675,0.2183706786532825
DeepLearning_grid__1_AutoML_20200717_153951_model_24,41.47071975411989,3210.260062579139,56.65915691729924,3210.260062579139,0.21963941797692585
DeepLearning_grid__1_AutoML_20200717_153951_model_22,41.49684612518945,2909.396381026062,53.93882072335343,2909.396381026062,0.2113482962046989
DeepLearning_grid__3_AutoML_20200717_153951_model_12,41.5249662604856,3294.3053019891518,57.39603907927054,3294.3053019891518,0.22336757519168432
