model_id,mae,mean_residual_deviance,rmse,mse,rmsle
XGBoost_grid__1_AutoML_20200728_102456_model_9,40.45953877766927,2796.9149425643327,52.88586713446546,2796.9149425643327,0.2080736803966476
XGBoost_grid__1_AutoML_20200728_102456_model_11,40.79835778540308,2850.5437360506044,53.39048357198689,2850.5437360506044,0.2114762007321465
XGBoost_grid__1_AutoML_20200728_102456_model_6,41.12657875368447,2909.6834706180452,53.941481909732936,2909.6834706180452,0.212840921027465
XGBoost_grid__1_AutoML_20200728_102456_model_12,41.53464544387091,2957.5350810768073,54.38322426150189,2957.5350810768073,0.21534527715725585
XGBoost_grid__1_AutoML_20200728_102456_model_10,41.65348670596168,2939.3366452980804,54.215649450118,2939.3366452980804,0.21583487004575613
XGBoost_2_AutoML_20200728_102456,41.7353013705858,2923.923920416683,54.073319857547894,2923.923920416683,0.2152910879283453
XGBoost_grid__1_AutoML_20200728_102456_model_5,42.21823366046389,3029.0689217330323,55.036977767070674,3029.0689217330323,0.21827383984119555
XGBoost_grid__1_AutoML_20200728_102456_model_3,42.59385988563845,3151.466173054079,56.13792098977374,3151.466173054079,0.22272425138999516
XGBoost_grid__1_AutoML_20200728_102456_model_2,42.71659448644617,3108.766868165028,55.75631684540352,3108.766868165028,0.22123243425821515
XGBoost_grid__1_AutoML_20200728_102456_model_4,43.01881470173705,3066.509776777702,55.376075852101536,3066.509776777702,0.2216677529140252
XGBoost_grid__1_AutoML_20200728_102456_model_1,43.208610730293465,3222.1456027920844,56.76394632856391,3222.1456027920844,0.22435060361184112
XGBoost_grid__1_AutoML_20200728_102456_model_7,44.327501569475444,3222.829774498165,56.76997247223364,3222.829774498165,0.22439692168853892
XGBoost_3_AutoML_20200728_102456,44.34831075703268,3434.271487299779,58.60265768119889,3434.271487299779,0.2329813190960943
XGBoost_grid__1_AutoML_20200728_102456_model_8,44.646158015771654,3242.0859408856877,56.93931805778576,3242.0859408856877,0.22713648167933395
XGBoost_1_AutoML_20200728_102456,46.002468178997105,3666.756783277592,60.553751190802316,3666.756783277592,0.23995871220302
