model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
DeepLearning_grid__1_AutoML_20200718_002415_model_2,0.916367476155382,0.1864814149853828,0.8508531533155747,0.1350460600440084,0.2070455968334099,0.04286787916810292
DeepLearning_grid__1_AutoML_20200718_002415_model_1,0.912484299320146,0.19725723994092656,0.8440279941125737,0.1323120092463714,0.20996605117637399,0.044085742646599695
DeepLearning_grid__1_AutoML_20200718_002415_model_5,0.9116549476697908,0.21294695556702453,0.8502198258697643,0.12751013798002034,0.20482294648572946,0.04195243940709598
DeepLearning_grid__1_AutoML_20200718_002415_model_3,0.9057094079565204,0.22055607838799202,0.7921618685346029,0.15502306539527713,0.2370613475712252,0.05619808251228523
DeepLearning_grid__2_AutoML_20200718_002415_model_1,0.9023677453965224,0.23335150431380436,0.7913051185934323,0.1722047736535012,0.2496170730531203,0.062308683159606824
DeepLearning_grid__1_AutoML_20200718_002415_model_6,0.9021678358712478,0.2653780806701566,0.8059182765541071,0.16493586926685153,0.23223350007423765,0.053932398556730925
DeepLearning_grid__1_AutoML_20200718_002415_model_9,0.9018682747828182,0.22553086593007596,0.7957062845978959,0.17168650467189975,0.23644893664723635,0.05590809964160879
DeepLearning_grid__2_AutoML_20200718_002415_model_5,0.8990650945032359,0.2360221597936805,0.8302138856233343,0.1463525708688363,0.21392641368047285,0.045764510470188785
DeepLearning_grid__3_AutoML_20200718_002415_model_2,0.8982535305558373,0.2118114324640004,0.7956146178841181,0.15555972847879967,0.23513025567052304,0.055286237131685546
DeepLearning_grid__2_AutoML_20200718_002415_model_2,0.8960917182476363,0.22496864652390125,0.7856187978047706,0.15332818028968892,0.24269816888151366,0.058902401178439714
DeepLearning_grid__3_AutoML_20200718_002415_model_3,0.8941267834698876,0.2619697881646378,0.7794839007569327,0.17949469987091787,0.2435064310600364,0.05929538196759625
DeepLearning_grid__3_AutoML_20200718_002415_model_1,0.893288335835066,0.2428159403217411,0.7524564231695184,0.1728131939478149,0.2566727588667359,0.06588090514426156
DeepLearning_grid__2_AutoML_20200718_002415_model_6,0.8913092517481471,0.2470211190166227,0.7667795410967849,0.1829930154967277,0.24760642942103964,0.06130894389063628
DeepLearning_grid__2_AutoML_20200718_002415_model_3,0.890366301358455,0.2386313501398669,0.7911687275852899,0.16518449284226874,0.2362885839246128,0.05583229489309878
DeepLearning_1_AutoML_20200718_002415,0.8888414100958959,0.2480706226603765,0.7099029342005133,0.20245175186639494,0.2633166289560128,0.06933564708475852
DeepLearning_grid__1_AutoML_20200718_002415_model_7,0.8876015263466202,0.2578872632437889,0.7412113327121311,0.1809943245099589,0.2558904775956776,0.065479936524144
DeepLearning_grid__3_AutoML_20200718_002415_model_5,0.8816024213914916,0.35103210378310074,0.7962537470688353,0.16338369005089304,0.2385981437448766,0.0569290741985008
DeepLearning_grid__3_AutoML_20200718_002415_model_6,0.8715689441259952,0.2900370347757726,0.7076636885168146,0.19778995876082772,0.2715369555867404,0.07373231824931542
DeepLearning_grid__1_AutoML_20200718_002415_model_10,0.8704527657654634,0.28549718422006976,0.6443529622785465,0.2248108944829418,0.28131786810904497,0.07913974291741803
DeepLearning_grid__1_AutoML_20200718_002415_model_4,0.8658142179535329,0.33464463924100035,0.6590400026445788,0.2396393704931923,0.2859599295566417,0.0817730813120395
DeepLearning_grid__2_AutoML_20200718_002415_model_4,0.8645609934270394,0.5953339523468257,0.6941994603258953,0.21823186998482788,0.2811455099281748,0.07904279775277341
DeepLearning_grid__1_AutoML_20200718_002415_model_11,0.8642586024767759,0.2926050844734541,0.657074914973472,0.22547449708301884,0.2863818873665611,0.0820145854116337
DeepLearning_grid__3_AutoML_20200718_002415_model_4,0.8539247555908974,0.5957030453381021,0.7233255495116103,0.2099080335330542,0.2662086652165762,0.07086705343639116
DeepLearning_grid__1_AutoML_20200718_002415_model_8,0.8307566767557979,0.9536780817917904,0.6449800719241312,0.2315930626341405,0.30248348643368433,0.0914962595650769
DeepLearning_grid__2_AutoML_20200718_002415_model_7,0.7776727135423847,0.4485109262104624,0.42809308540985264,0.2925737552953789,0.33185935791379656,0.11013063343495734
