model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
XGBoost_3_AutoML_20200728_112043,0.923145330479091,0.16286505751704758,0.8691539316355784,0.11301420817555767,0.19666387844212366,0.03867668108389838
XGBoost_grid__1_AutoML_20200728_112043_model_3,0.9200004354749156,0.16555060449906078,0.8684465712546616,0.11845663657723167,0.1979803233273051,0.03919620842478428
XGBoost_grid__1_AutoML_20200728_112043_model_6,0.9199742263364744,0.17699684279770486,0.8700259430743411,0.11482848538195385,0.20733683203674147,0.04298856191903195
XGBoost_grid__1_AutoML_20200728_112043_model_1,0.9198290680312624,0.185433800545316,0.8427857343411697,0.12299424487641585,0.21583472168581866,0.04658462708519479
XGBoost_grid__1_AutoML_20200728_112043_model_2,0.9197278604351282,0.16878387573704715,0.8687015412683392,0.12078965311600448,0.20055882923654075,0.04022384398473191
XGBoost_grid__1_AutoML_20200728_112043_model_15,0.9195782667372566,0.16135350497412654,0.8739349937221204,0.11988221209967052,0.19483935151409512,0.03796237289843312
XGBoost_grid__1_AutoML_20200728_112043_model_8,0.9195502431200004,0.1660601101367228,0.8741912098494683,0.11236563280351897,0.1906481568536145,0.0363467197116804
XGBoost_1_AutoML_20200728_112043,0.9194494387413809,0.1725684386121509,0.8604920622656064,0.12688106010723166,0.2038289450165357,0.04154623882655393
XGBoost_grid__1_AutoML_20200728_112043_model_11,0.9192200079756424,0.17053908167051487,0.8714332766165698,0.11443978369799655,0.20213999918901066,0.04086057927213321
XGBoost_grid__1_AutoML_20200728_112043_model_17,0.9191859360956691,0.16498792669315684,0.8706806327057018,0.1119771327283189,0.1939321968480476,0.03760969697430988
XGBoost_2_AutoML_20200728_112043,0.918854692907525,0.18537467591687776,0.8429270746245152,0.1166447786759224,0.2150911317700535,0.04626419496612253
XGBoost_grid__1_AutoML_20200728_112043_model_16,0.9183089380016782,0.19081215849701036,0.8566968211331735,0.1140518884490682,0.2191201397508615,0.04801363564443707
XGBoost_grid__1_AutoML_20200728_112043_model_13,0.9182829304719944,0.19877480309737885,0.8666886760751623,0.10744113729919264,0.19871069150044587,0.03948593891658537
XGBoost_grid__1_AutoML_20200728_112043_model_19,0.9180641849703898,0.1650706780053474,0.8703606786444388,0.11392084275686265,0.19754306506632516,0.03902326255579836
XGBoost_grid__1_AutoML_20200728_112043_model_7,0.9180287018291156,0.1852767846014641,0.8425498996656791,0.1311591979358489,0.21579574733527207,0.04656780456798858
XGBoost_grid__1_AutoML_20200728_112043_model_18,0.9174861726633848,0.1644380142490117,0.8704361128972964,0.12195515334160467,0.1920718552687354,0.03689159758637405
XGBoost_grid__1_AutoML_20200728_112043_model_4,0.9162690605959312,0.1629982913719386,0.8736140810297504,0.12040074982328992,0.19441071106548946,0.03779552457698922
XGBoost_grid__1_AutoML_20200728_112043_model_10,0.9138945126531672,0.20633859563949752,0.8141579050548502,0.1469715743748818,0.2335048229993603,0.05452450236396258
XGBoost_grid__1_AutoML_20200728_112043_model_12,0.9135469391556869,0.19706876059969475,0.8221963337712507,0.13725080653583333,0.22469277631124876,0.05048684372645686
XGBoost_grid__1_AutoML_20200728_112043_model_5,0.913082029361493,0.1979705024710712,0.8226501042294097,0.1386763820582722,0.2252228859684723,0.050725348363967485
XGBoost_grid__1_AutoML_20200728_112043_model_14,0.9122802313339524,0.20716339964886826,0.8073615156682292,0.13582664227469515,0.2339460512513684,0.05473075489610788
XGBoost_grid__1_AutoML_20200728_112043_model_9,0.9076484717451376,0.22481756250273036,0.7767015970545641,0.13168257426964206,0.2490350101664334,0.062018436288595574
