model_id,mae,mean_residual_deviance,rmse,mse,rmsle
DeepLearning_grid__1_AutoML_20200718_133209_model_43,0.2598373082805453,0.19130401954917756,0.4373831495944689,0.19130401954917756,0.15621830196779096
DeepLearning_grid__1_AutoML_20200718_133209_model_46,0.26223787726693243,0.200929718642072,0.4482518473381587,0.200929718642072,0.1530852895726825
DeepLearning_grid__1_AutoML_20200718_133209_model_7,0.2631865001894003,0.1955166389558839,0.4421726347885901,0.1955166389558839,0.15461234008096048
DeepLearning_grid__3_AutoML_20200718_133209_model_7,0.2655300462704521,0.21433186580328648,0.4629598965388757,0.21433186580328648,0.14971186806045295
DeepLearning_grid__1_AutoML_20200718_133209_model_38,0.26660301906817463,0.20218999502419052,0.44965541809722537,0.20218999502419052,0.15746604576090076
DeepLearning_grid__1_AutoML_20200718_133209_model_30,0.2670244446829841,0.20116178695630155,0.4485106319322894,0.20116178695630155,0.1610242798452392
DeepLearning_grid__1_AutoML_20200718_133209_model_36,0.2679618731681133,0.1861798634361883,0.4314856468484072,0.1861798634361883,0.15317594433821627
DeepLearning_grid__1_AutoML_20200718_133209_model_32,0.2706114518870588,0.20978309452955055,0.4580208450819139,0.20978309452955055,0.1657285154570817
DeepLearning_grid__1_AutoML_20200718_133209_model_44,0.2765425488819879,0.2138984520249841,0.4624915696799068,0.2138984520249841,0.1665465793415872
DeepLearning_grid__2_AutoML_20200718_133209_model_7,0.28211128132836416,0.21541144081325664,0.4641243807572025,0.21541144081325664,0.15513702282715547
DeepLearning_grid__3_AutoML_20200718_133209_model_10,0.2830465549771562,0.20247186555669294,0.449968738421563,0.20247186555669294,0.16036042247564875
DeepLearning_grid__1_AutoML_20200718_133209_model_33,0.2840972457238677,0.22380123162610252,0.4730763486226114,0.22380123162610252,0.1679407063376867
DeepLearning_grid__1_AutoML_20200718_133209_model_3,0.28460222560657594,0.2340948645705029,0.4838335091439026,0.2340948645705029,0.16834664596372975
DeepLearning_grid__1_AutoML_20200718_133209_model_51,0.2856801359955235,0.21069164105332627,0.459011591414995,0.21069164105332627,0.1659173925611552
DeepLearning_grid__2_AutoML_20200718_133209_model_30,0.286976853159338,0.20704847672488869,0.4550257978674272,0.20704847672488869,0.16831301463480774
DeepLearning_grid__3_AutoML_20200718_133209_model_16,0.2885457323321471,0.2100015832936374,0.4582592970073138,0.2100015832936374,0.16529469286011905
DeepLearning_grid__1_AutoML_20200718_133209_model_31,0.28856438211866364,0.2414726805245649,0.4913986981307184,0.2414726805245649,0.17085346987680242
DeepLearning_grid__1_AutoML_20200718_133209_model_1,0.2892001836970215,0.2179857996814953,0.4668894940791614,0.2179857996814953,0.17095986617479147
DeepLearning_grid__2_AutoML_20200718_133209_model_26,0.2949584297314161,0.21384658513348606,0.4624354929430549,0.21384658513348606,0.1793822802958359
DeepLearning_grid__2_AutoML_20200718_133209_model_16,0.29538367402807736,0.2321977279027211,0.4818689945438709,0.2321977279027211,0.17695540829886533
DeepLearning_grid__2_AutoML_20200718_133209_model_10,0.2972225357266645,0.20976449987466764,0.4580005457143776,0.20976449987466764,0.16774609025043552
DeepLearning_grid__3_AutoML_20200718_133209_model_30,0.2972544740594835,0.2389103725251188,0.4887845870371925,0.2389103725251188,0.1666919741258882
DeepLearning_grid__2_AutoML_20200718_133209_model_6,0.2973300417988617,0.21194164851632732,0.4603712073059385,0.21194164851632732,0.17348929599770002
DeepLearning_grid__1_AutoML_20200718_133209_model_10,0.2985309636082568,0.2386685077376841,0.4885371098879635,0.2386685077376841,0.1727988587301501
DeepLearning_grid__1_AutoML_20200718_133209_model_39,0.29860625994066003,0.2291821842905141,0.4787297612333227,0.2291821842905141,0.1732145390897649
DeepLearning_grid__1_AutoML_20200718_133209_model_48,0.3000161592228579,0.2094073413506744,0.4576104690134114,0.2094073413506744,0.17217129673973364
DeepLearning_grid__1_AutoML_20200718_133209_model_21,0.3006412989442834,0.23399218399725424,0.4837273860318994,0.23399218399725424,0.189347013085673
DeepLearning_grid__3_AutoML_20200718_133209_model_4,0.3012022357540333,0.2449031488042171,0.4948769026780469,0.2449031488042171,0.179125634217715
