model_id,mae,mean_residual_deviance,rmse,mse,rmsle
XGBoost_grid__1_AutoML_20200713_195212_model_4,0.2495643677017123,0.1888667635578284,0.43458803890331393,0.1888667635578284,0.1387525913007316
XGBoost_grid__1_AutoML_20200713_195212_model_2,0.2523837460531402,0.2386987802021338,0.4885680916741635,0.2386987802021338,0.14389736114423582
XGBoost_grid__1_AutoML_20200713_195212_model_25,0.252805593010691,0.19864823984275728,0.44569971936580494,0.19864823984275728,0.13753438320893668
StackedEnsemble_BestOfFamily_AutoML_20200713_195212,0.2578429026070517,0.1726598041718332,0.41552353022642796,0.1726598041718332,0.14072933797921502
GLM_1_AutoML_20200713_195212,0.2581186224226344,0.16504132919754652,0.4062527897720168,0.16504132919754652,0.15002783999627278
GBM_grid__1_AutoML_20200713_195212_model_76,0.26101956377784297,0.22594393580992025,0.4753356033476982,0.22594393580992025,0.14773428842621933
GBM_grid__1_AutoML_20200713_195212_model_124,0.2627547585988081,0.225690027503874,0.4750684450727852,0.225690027503874,0.14969256486147714
GBM_grid__1_AutoML_20200713_195212_model_82,0.26475558523270115,0.18469074270703773,0.4297566086833776,0.18469074270703773,0.13555727100383344
XGBoost_grid__1_AutoML_20200713_195212_model_52,0.2653596770671225,0.2461433704797596,0.49612838104643797,0.2461433704797596,0.15908309511315688
XGBoost_grid__1_AutoML_20200713_195212_model_21,0.2655790118673413,0.2187967341795181,0.4677571316180204,0.2187967341795181,0.14378754003916325
GBM_grid__1_AutoML_20200713_195212_model_93,0.2693327831893565,0.19033276638643085,0.4362714365924394,0.19033276638643085,0.1437777053904019
GBM_grid__1_AutoML_20200713_195212_model_131,0.26962106329393465,0.21503094517935736,0.4637142926192349,0.21503094517935736,0.1426751528818794
XGBoost_grid__1_AutoML_20200713_195212_model_86,0.2726787220417839,0.25537236422834736,0.5053438079449943,0.25537236422834736,0.15581040268031432
GBM_grid__1_AutoML_20200713_195212_model_12,0.2738131271886775,0.19657885310190013,0.4433721383915549,0.19657885310190013,0.14859955935903238
GBM_grid__1_AutoML_20200713_195212_model_54,0.2749190200578669,0.22817666839674494,0.4776784152510399,0.22817666839674494,0.14355614027473873
XGBoost_grid__1_AutoML_20200713_195212_model_57,0.2754198536276817,0.2039780287713456,0.4516392684115783,0.2039780287713456,0.144166957660119
GBM_grid__1_AutoML_20200713_195212_model_53,0.27550005800303023,0.2282968686782089,0.4778042158439049,0.2282968686782089,0.14748133943122738
XGBoost_grid__1_AutoML_20200713_195212_model_45,0.2757678043442903,0.24392801184084226,0.4938906881495563,0.24392801184084226,0.15363038455896064
GBM_grid__1_AutoML_20200713_195212_model_174,0.27643290367536044,0.1967355257357978,0.44354878619583415,0.1967355257357978,0.13696405088607574
GBM_grid__1_AutoML_20200713_195212_model_153,0.27690610575282804,0.19461430274502187,0.4411511110096198,0.19461430274502187,0.14474496951443788
XGBoost_3_AutoML_20200713_195212,0.2773810178809559,0.21423868936361604,0.4628592543782786,0.21423868936361604,0.15537440003866698
XGBoost_grid__1_AutoML_20200713_195212_model_17,0.2775412978431613,0.2250723020336152,0.4744178559388498,0.2250723020336152,0.14968053136034615
XGBoost_grid__1_AutoML_20200713_195212_model_41,0.2781642112381679,0.22706625998438976,0.4765147007012373,0.22706625998438976,0.1529211687613857
XGBoost_grid__1_AutoML_20200713_195212_model_15,0.2789926494366115,0.276185061957317,0.5255331216558258,0.276185061957317,0.15292208204148194
XGBoost_grid__1_AutoML_20200713_195212_model_92,0.28188460688922823,0.2250597676470148,0.4744046454736871,0.2250597676470148,0.1500194170055357
XGBoost_grid__1_AutoML_20200713_195212_model_48,0.2819940831089757,0.20670106525765616,0.4546438883980034,0.20670106525765616,0.14875647920724855
GBM_grid__1_AutoML_20200713_195212_model_61,0.2828741062350737,0.2140069871064897,0.46260889216106704,0.2140069871064897,0.14928081361009388
XGBoost_grid__1_AutoML_20200713_195212_model_62,0.2829599011036539,0.24645505720441502,0.4964424006915757,0.24645505720441502,0.15522975581419848
XGBoost_grid__1_AutoML_20200713_195212_model_106,0.283681619950791,0.19902276502415933,0.44611967567476707,0.19902276502415933,0.14400946769521808
GBM_grid__1_AutoML_20200713_195212_model_1,0.2842938631954641,0.24793436975477104,0.4979300852075229,0.24793436975477104,0.1615680698230766
XGBoost_grid__1_AutoML_20200713_195212_model_19,0.2843392284721443,0.26236528013209137,0.5122160482961183,0.26236528013209137,0.1549737813420939
GBM_grid__1_AutoML_20200713_195212_model_44,0.2845540593450799,0.2275758386715835,0.4770490946135246,0.2275758386715835,0.14792301765460866
GBM_grid__1_AutoML_20200713_195212_model_83,0.28456184378130445,0.21427745898530165,0.462901133056835,0.21427745898530165,0.14740115655728664
XGBoost_grid__1_AutoML_20200713_195212_model_90,0.2846149577922428,0.1953053427029225,0.4419336406101288,0.1953053427029225,0.1439412839300084
GBM_grid__1_AutoML_20200713_195212_model_13,0.2850580947729445,0.23129402492825035,0.4809303743040674,0.23129402492825035,0.1523510084547635
StackedEnsemble_AllModels_AutoML_20200713_195212,0.28515914779323137,0.2588283813997309,0.5087517876133025,0.2588283813997309,0.1545202894835929
GBM_grid__1_AutoML_20200713_195212_model_43,0.28655864452245755,0.25132060650544985,0.5013188670950355,0.25132060650544985,0.15818414508587542
XGBoost_grid__1_AutoML_20200713_195212_model_71,0.2866223687210034,0.2473260444150084,0.4973188558812227,0.2473260444150084,0.1534516425697979
