model_id,mean_per_class_error,logloss,rmse,mse
XGBoost_grid__1_AutoML_20200728_121104_model_6,0.48278356081793705,0.9263187776321123,0.5902170793659895,0.3483562007753188
XGBoost_grid__1_AutoML_20200728_121104_model_2,0.484787221047648,0.9487731772507408,0.5908062198847539,0.34905198945451216
XGBoost_grid__1_AutoML_20200728_121104_model_1,0.4852650633051273,0.942316894059376,0.589772375248907,0.34783145460673764
XGBoost_2_AutoML_20200728_121104,0.4905989935857955,0.9599710926093104,0.5925893881024998,0.35116218289169515
XGBoost_3_AutoML_20200728_121104,0.4957572117142519,0.9538339949712642,0.5907214931176795,0.34895188243118064
XGBoost_grid__1_AutoML_20200728_121104_model_7,0.4958101623512574,0.955505278721568,0.5915436205300295,0.3499238549897755
XGBoost_grid__1_AutoML_20200728_121104_model_5,0.4963045940026835,0.9457642821493067,0.5908827449102931,0.3491424182327225
XGBoost_grid__1_AutoML_20200728_121104_model_3,0.4979439308277796,0.9587058979864908,0.5944966673879989,0.3534262875354369
XGBoost_1_AutoML_20200728_121104,0.5000608390631068,0.994015052078027,0.5983646264276524,0.3580402261599041
XGBoost_grid__1_AutoML_20200728_121104_model_4,0.5009812457239992,0.9758145139601959,0.5951404437580264,0.35419214779650066
