model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
DeepLearning_grid__1_AutoML_20200719_225018_model_7,0.8418211157215306,0.4893658581732177,0.7325338417552512,0.2298109727985247,0.3941065765228437,0.15531999365855606
DeepLearning_grid__3_AutoML_20200719_225018_model_7,0.8365514061779622,0.4730567237137043,0.7142394669807973,0.2356523743660673,0.3936148973748585,0.1549326874354204
DeepLearning_grid__2_AutoML_20200719_225018_model_7,0.8362655601659751,0.4795428485294143,0.7102378919950202,0.2338819732595666,0.3947876304874222,0.15585727318587345
DeepLearning_grid__1_AutoML_20200719_225018_model_1,0.831106500691563,0.5503196838629942,0.7192793573051491,0.24335177501152605,0.4129903861230923,0.17056105903010085
DeepLearning_grid__2_AutoML_20200719_225018_model_18,0.8294375288151222,0.4925237105506405,0.7149289063432238,0.2467035500230521,0.4023132210111309,0.16185592780035102
DeepLearning_grid__1_AutoML_20200719_225018_model_3,0.8293775933609959,0.5091786263711631,0.7108536132541384,0.2400276625172891,0.4043316971982244,0.16348412135919665
DeepLearning_grid__1_AutoML_20200719_225018_model_24,0.8291470723835869,0.5327976254237351,0.7031750574411566,0.248091286307054,0.4105775503341556,0.16857392483839606
DeepLearning_grid__3_AutoML_20200719_225018_model_9,0.8285569386814201,0.4929673259014401,0.699414983766382,0.2427800829875519,0.4015596168099699,0.16125012585256984
DeepLearning_grid__1_AutoML_20200719_225018_model_5,0.8283955739972337,0.5816500075036616,0.6940936696630289,0.23025357307514985,0.4184221267103651,0.17507707612082485
DeepLearning_grid__2_AutoML_20200719_225018_model_9,0.8283356385431074,0.4948721626999962,0.6821025527078339,0.24055786076532965,0.4017276820140829,0.1613851304964081
DeepLearning_grid__1_AutoML_20200719_225018_model_18,0.8268142000922084,0.5241086698997117,0.7143019434859711,0.2450714615029968,0.4056758513012406,0.1645728963289863
DeepLearning_grid__1_AutoML_20200719_225018_model_10,0.8259197786998617,0.5179068455542111,0.7046605023111185,0.24040110650069155,0.4060791997478227,0.1649003164678321
DeepLearning_grid__1_AutoML_20200719_225018_model_14,0.8243430152143846,0.5179747735783137,0.70948122574973,0.2467727063162748,0.4120873168996034,0.16981595674951416
DeepLearning_grid__3_AutoML_20200719_225018_model_1,0.8196542185338866,0.4930241691118341,0.6991087267948372,0.2555832180728446,0.4038530997746703,0.1630973261976098
DeepLearning_grid__1_AutoML_20200719_225018_model_13,0.8190087597971415,0.5523036212334391,0.7083286667044179,0.26025357307514985,0.41903272260953656,0.17558842261756086
DeepLearning_grid__1_AutoML_20200719_225018_model_22,0.8187920700783771,0.5449212229440631,0.7099617592878043,0.2565375749193176,0.41564163214254346,0.17275796637011742
DeepLearning_grid__1_AutoML_20200719_225018_model_9,0.8186629783310281,0.5438098240295075,0.7051780491711162,0.24994928538497002,0.41416299744195495,0.17153098845010478
DeepLearning_grid__3_AutoML_20200719_225018_model_15,0.8186260949746427,0.5076091572508182,0.676156051224923,0.2450622406639004,0.4078849670872219,0.1663701463757441
DeepLearning_grid__2_AutoML_20200719_225018_model_21,0.8180221300138313,0.5297833463845163,0.6985973780919771,0.2501152604887045,0.4145096118877315,0.17181821834731786
