model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200713_203807_model_6,0.8248778238819733,0.4872423599217206,0.6951550046056845,0.2369202397418165,0.4007539693210245,0.1606037439265566
GLM_1_AutoML_20200713_203807,0.8209912402028585,0.4943821163691382,0.6973742387548691,0.2488473951129553,0.4007440727767841,0.16059581186572444
StackedEnsemble_BestOfFamily_AutoML_20200713_203807,0.8205301982480406,0.4930280694005588,0.6868896626997748,0.2427800829875519,0.40184955585904203,0.1614830655441093
XGBoost_grid__1_AutoML_20200713_203807_model_1,0.8166436145689259,0.4949312249890721,0.6786683006783872,0.25981097279852466,0.4052792449773964,0.16425126640944845
XGBoost_grid__1_AutoML_20200713_203807_model_3,0.8162655601659751,0.4984071357638354,0.6765327597781765,0.2645412632549562,0.40741609951262175,0.1659878781420785
GBM_grid__1_AutoML_20200713_203807_model_5,0.8161595205163671,0.4958933995640384,0.6905827016452644,0.2492992162286768,0.4054428692873447,0.16438392025595486
StackedEnsemble_AllModels_AutoML_20200713_203807,0.815799907791609,0.4995759990594843,0.6778487957299165,0.2492992162286768,0.4050548427700129,0.16406942565143984
GBM_3_AutoML_20200713_203807,0.8134301521438451,0.5018118761783195,0.6857242344958647,0.2552282157676349,0.40725471058375057,0.16585639929265442
XGBoost_grid__1_AutoML_20200713_203807_model_2,0.8132918395573997,0.5068262499000985,0.6637951553629234,0.25744121715076074,0.410815049931807,0.1687690052504731
GBM_5_AutoML_20200713_203807,0.8129276164130936,0.4976034723203133,0.6701413280753721,0.2550023052097741,0.4075486822447511,0.1660959283994331
DRF_1_AutoML_20200713_203807,0.812706316274781,0.5441924300071925,0.6897506394530122,0.2585431074227755,0.4057202259701502,0.16460890176126972
XGBoost_2_AutoML_20200713_203807,0.8122176118026742,0.5013855045054172,0.6681465877718554,0.2623374827109267,0.4079437283202462,0.16641808547582287
GBM_1_AutoML_20200713_203807,0.8117611802674043,0.5094712236048611,0.6767443710631826,0.25329183955739976,0.4098127447352875,0.16794648574746993
XGBoost_grid__1_AutoML_20200713_203807_model_5,0.8107468879668049,0.4992647253721117,0.6625122866627798,0.2601060396496081,0.40789382494843024,0.16637737243106065
XGBoost_grid__1_AutoML_20200713_203807_model_7,0.8100599354541264,0.5046813297099512,0.6729899511409115,0.2633702166897188,0.4105073255550241,0.16851626433433853
GBM_2_AutoML_20200713_203807,0.8100184416781927,0.5077431707184502,0.6596056484268866,0.2689857076994007,0.4107935187931112,0.16875131508242616
GBM_grid__1_AutoML_20200713_203807_model_4,0.8099585062240664,0.4999192987314374,0.6815287588204912,0.2564084831719686,0.4073894574505811,0.16596617004187886
GBM_grid__1_AutoML_20200713_203807_model_6,0.8070216689718764,0.5039152655946468,0.671497699238102,0.2657307514983864,0.4095649050785532,0.1677434114720043
XRT_1_AutoML_20200713_203807,0.8063762102351313,0.5092044292989734,0.6567909732244616,0.26144306131858,0.4105197884325793,0.16852649669472966
XGBoost_grid__1_AutoML_20200713_203807_model_4,0.8060212079299216,0.5237471283577417,0.6691480554964617,0.25618257261410793,0.4154013430219848,0.1725582757844687
GBM_grid__1_AutoML_20200713_203807_model_3,0.8051037344398341,0.5281437328374281,0.6660308041759055,0.25455048409405256,0.4150068189851485,0.17223065980417174
XGBoost_1_AutoML_20200713_203807,0.8030198248040572,0.521427478250565,0.661112590629532,0.2692992162286768,0.4157600469886904,0.17285641667203802
GBM_grid__1_AutoML_20200713_203807_model_8,0.8011848778238821,0.5100602578582089,0.6626313294612436,0.27440295066851084,0.4123451959552911,0.17002856062740734
GBM_grid__1_AutoML_20200713_203807_model_2,0.7983218072844629,0.5112895037350527,0.6701048132505519,0.2733702166897187,0.41346552610986426,0.17095374128130686
XGBoost_3_AutoML_20200713_203807,0.7974043337943753,0.5504219163626748,0.6371518749836438,0.2607837713231904,0.42232831942215504,0.17836120938594174
GBM_grid__1_AutoML_20200713_203807_model_7,0.7939234670355002,0.5375868186841466,0.6408683187858573,0.26595666205624713,0.4233158988895679,0.17919635025268285
GBM_4_AutoML_20200713_203807,0.7935315813739051,0.5304358370776994,0.6480603235584603,0.2722591055786077,0.41864423416662394,0.1752629948009591
GBM_grid__1_AutoML_20200713_203807_model_1,0.7868649147072383,0.5723007659448841,0.6396694222215131,0.26899492853849705,0.4309661081337029,0.1857317863599105
