model_id,mean_per_class_error,logloss,rmse,mse
XGBoost_grid__1_AutoML_20200728_131514_model_3,0.2832267029180843,0.6749758878247002,0.4621189524842994,0.21355392624518613
XGBoost_grid__1_AutoML_20200728_131514_model_19,0.2838022366580645,0.6696227748137521,0.4614627065145586,0.2129478295037416
XGBoost_grid__1_AutoML_20200728_131514_model_15,0.2843121541638268,0.6747705982736443,0.4632084317648852,0.2145620512580843
XGBoost_grid__1_AutoML_20200728_131514_model_10,0.28465735664893155,0.7320325730529298,0.485225230163187,0.2354435239869178
XGBoost_grid__1_AutoML_20200728_131514_model_2,0.28504577285817906,0.6770932825296347,0.4673145850850315,0.2183829214331952
XGBoost_grid__1_AutoML_20200728_131514_model_7,0.2857001495500321,0.6906977752348922,0.4677070200907519,0.21874985664217106
XGBoost_grid__1_AutoML_20200728_131514_model_5,0.2866860916283181,0.7153156120820905,0.4774814665799316,0.2279885509273224
XGBoost_grid__1_AutoML_20200728_131514_model_14,0.2876329956997078,0.7287124783727777,0.4847759658471222,0.2350077370630101
XGBoost_grid__1_AutoML_20200728_131514_model_12,0.2880704706648247,0.7191837769068277,0.4781426049392701,0.2286203506581109
XGBoost_grid__1_AutoML_20200728_131514_model_1,0.28851834852638336,0.7001674415223264,0.4740660432590192,0.22473861337126227
XGBoost_grid__1_AutoML_20200728_131514_model_4,0.2888411492837001,0.6885781112656462,0.4679949879365794,0.21901930873375908
XGBoost_grid__1_AutoML_20200728_131514_model_11,0.2889176156054525,0.7312551708800571,0.48857307062100797,0.2387036453360405
XGBoost_2_AutoML_20200728_131514,0.28926678378383136,0.6944748407024427,0.4702247850882956,0.22111134851133374
XGBoost_grid__1_AutoML_20200728_131514_model_8,0.291394388002188,0.7183111710154434,0.47373067586471507,0.2244207532552397
XGBoost_3_AutoML_20200728_131514,0.29268698065830484,0.7007712827766736,0.4674806908380774,0.21853819630644605
XGBoost_grid__1_AutoML_20200728_131514_model_6,0.2928704450391944,0.7751420126700543,0.507528813734562,0.25758549677081183
XGBoost_grid__1_AutoML_20200728_131514_model_18,0.2947183286020605,0.7061969403322994,0.4724769930134855,0.22323450892706526
XGBoost_grid__1_AutoML_20200728_131514_model_16,0.29790674514979515,0.8206304970345266,0.5283238110335243,0.2791260493049871
XGBoost_1_AutoML_20200728_131514,0.2993034911000828,0.7241987693959886,0.4773697123503432,0.2278818422694493
XGBoost_grid__1_AutoML_20200728_131514_model_17,0.3009280909449105,0.771113130725256,0.4827630929417159,0.23306020390665186
XGBoost_grid__1_AutoML_20200728_131514_model_13,0.30173737730447325,0.957949021193783,0.506496947813089,0.2565391581439749
XGBoost_grid__1_AutoML_20200728_131514_model_9,0.3046506231074203,0.8618388522608843,0.544753806929126,0.2967567101637755
