att1,att2,att3,att4,att5,att6,class
1.0,0.0,0.0,133.1508614,1.31169276,1620.22177892,1
1.0,0.0,0.0,129.4788614,1.27087816,1695.05528143,1
1.0,0.0,0.0,131.0588614,1.31040314,2027.21136662,1
1.0,0.0,0.0,129.3468614,1.30564601,1547.26372726,1
1.0,0.0,0.0,136.1108614,1.2721217,1819.02008544,1
1.0,0.0,0.0,134.5068614,1.3629774,1745.60012462,1
1.0,0.0,0.0,123.2688614,1.17555899,1647.61918626,1
1.0,0.0,0.0,123.8878614,1.28820481,1664.23940964,1
1.0,0.0,0.0,127.9488614,1.31795585,1595.63213875,1
1.0,0.0,0.0,134.2498614,1.28543183,1949.58130647,1
1.0,0.0,0.0,124.1368614,1.2636163,1560.03417439,1
1.0,0.0,0.0,131.1988614,1.28776053,1697.67743159,1
1.0,0.0,0.0,127.9488614,1.3241497,1652.67322377,1
1.0,0.0,0.0,133.0188614,1.29469852,1813.31245177,1
1.0,0.0,0.0,125.3108614,1.28310706,1573.4046264,1
1.0,0.0,0.0,134.0188614,1.34507793,1871.81312587,1
1.0,0.0,0.0,126.9988614,1.26663038,1542.46262651,1
1.0,0.0,0.0,130.2308614,1.31710131,1669.67378929,1
1.0,0.0,0.0,124.4258614,1.27657056,1701.5585852,1
1.0,0.0,0.0,127.4608614,1.29241335,1608.96383181,1
1.0,0.0,0.0,126.9568614,1.27581627,1608.74060948,1
1.0,0.0,0.0,136.3928614,1.38656855,1885.0995849,1
1.0,0.0,0.0,128.4198614,1.33442301,1634.09960556,1
1.0,0.0,0.0,131.5548614,1.29439272,1768.84941731,1
1.0,0.0,0.0,133.4648614,1.29672601,1568.88156182,1
1.0,0.0,0.0,123.2368614,1.36567763,2097.18858445,1
1.0,0.0,0.0,131.9348614,1.25178142,1555.87773847,1
1.0,0.0,0.0,130.2808614,1.29855226,1705.01938724,1
1.0,0.0,0.0,132.5968614,1.37410275,1632.04728114,1
1.0,0.0,0.0,131.2568614,1.26114043,1719.12560259,1
1.0,0.0,0.0,124.0208614,1.22100722,1454.97629311,1
1.0,0.0,0.0,133.5888614,1.38344967,1666.20549321,1
1.0,0.0,0.0,135.9788614,1.30348946,1853.99154367,1
1.0,0.0,0.0,132.4148614,1.31166029,1836.50738764,1
0.0,3.0,1.0,141.4708614,1.5159869,5416.70751147,2
0.0,3.0,1.0,139.2388614,1.4448851,3672.3180138,2
0.0,2.0,0.0,137.1708614,1.28132563,2916.29240612,2
0.0,2.0,0.0,134.1268614,1.29398062,2989.56261038,2
0.0,3.0,1.0,141.9428614,1.42822737,4125.99530329,2
0.0,2.0,0.0,132.0928614,1.28263531,2831.14756982,2
0.0,4.0,4.0,155.0748614,1.5129805,4419.57988061,2
0.0,2.0,0.0,142.3888614,1.40355403,3740.2003144,2
0.0,3.0,1.0,142.6868614,1.51702495,4909.85684768,2
0.0,2.0,0.0,130.8598614,1.24369409,2297.98398553,2
0.0,2.0,0.0,132.2168614,1.29306468,2762.74753002,2
0.0,3.0,1.0,135.6158614,1.34669357,3253.93295907,2
0.0,2.0,0.0,135.4748614,1.30016033,3061.81666364,2
0.0,3.0,1.0,146.5898614,1.41174207,4624.49114961,2
0.0,3.0,1.0,135.6648614,1.30349332,3242.31527981,2
0.0,2.0,0.0,137.7238614,1.28158231,2761.85954204,2
0.0,3.0,1.0,142.6868614,1.35996271,3636.16944442,2
0.0,3.0,1.0,132.3828614,1.28927586,3256.69301915,2
0.0,3.0,1.0,134.0108614,1.34245109,3413.02931955,2
0.0,3.0,1.0,143.0348614,1.35175541,4163.44277277,2
0.0,2.0,0.0,144.4488614,1.35377064,3793.7682558,2
0.0,3.0,1.0,136.6658614,1.33497178,3090.64487824,2
0.0,2.0,0.0,186.1308614,1.93937355,10791.49646182,3
0.0,2.0,0.0,197.2628614,2.08986041,9520.67375104,3
0.0,2.0,0.0,207.8228614,2.17281474,12274.34405651,3
0.0,2.0,0.0,174.9748614,2.06382425,10287.06586051,3
0.0,2.0,0.0,169.3828614,1.92519257,8596.95747912,3
0.0,2.0,0.0,180.3248614,1.89840318,9638.13522584,3
1.0,1.0,1.0,153.4788614,1.58836105,5167.20129238,3
0.0,2.0,0.0,176.7098614,1.78145548,8826.38713119,3
0.0,2.0,0.0,189.6788614,1.98858756,10490.34366831,3
0.0,2.0,0.0,169.0208614,1.9849404,10014.86185839,3
0.0,2.0,0.0,184.7828614,2.03363998,9803.58515475,3
0.0,2.0,0.0,180.2668614,2.04392822,10484.02125131,3
0.0,2.0,0.0,191.5308614,1.88795605,10609.47774693,3
0.0,2.0,0.0,189.8188614,2.01956004,9573.0691893,3
0.0,2.0,0.0,188.6788614,2.05934962,11500.40173772,3
0.0,2.0,0.0,184.4268614,2.03281845,9667.24018949,3
0.0,2.0,0.0,164.4968614,1.75514943,9084.26146575,3
0.0,2.0,0.0,206.8388614,2.02407544,12424.14439066,3
0.0,3.0,1.0,193.9448614,2.20079255,11751.9446468,4
0.0,4.0,2.0,211.3628614,2.20227607,15845.4204244,4
0.0,3.0,1.0,178.2248614,1.94089523,9466.05654668,4
0.0,4.0,2.0,202.6708614,2.00512342,11249.85636477,4
0.0,4.0,2.0,179.7048614,1.86986918,9534.49310992,4
0.0,3.0,1.0,183.1528614,1.99307728,9901.10829177,4
0.0,3.0,1.0,163.0818614,1.73017894,6343.28229698,4
0.0,4.0,2.0,158.5088614,1.70845415,7317.15570253,4
0.0,3.0,1.0,164.9188614,1.72662127,8540.31583885,4
0.0,3.0,1.0,174.2628614,1.90629051,9209.63708326,4
0.0,4.0,2.0,191.3988614,2.07971809,11453.37389317,4
0.0,2.0,0.0,170.6148614,1.95836418,8276.33940945,4
0.0,3.0,1.0,208.3948614,2.14374514,13418.2054558,4
0.0,3.0,1.0,188.8348614,1.94641899,10856.93209874,4
0.0,2.0,0.0,169.5898614,1.77308381,7537.66165576,4
0.0,3.0,1.0,189.1408614,1.97885159,11244.67882611,4
0.0,4.0,2.0,175.9748614,1.89119403,9061.17502745,4
0.0,2.0,0.0,176.0408614,1.77019531,7356.22593265,4
0.0,4.0,2.0,175.4368614,1.97328854,8248.42138255,4
0.0,3.0,1.0,155.1668614,1.76792487,7200.17474359,4
0.0,4.0,2.0,154.3568614,1.74592593,7682.99167606,5
0.0,3.0,1.0,153.5288614,1.76663919,7098.60031932,5
0.0,3.0,1.0,174.3468614,1.82784733,9602.3226631,5
0.0,3.0,1.0,156.9028614,1.75370369,7847.20144767,5
0.0,3.0,1.0,162.3458614,1.74093775,8835.0790058,5
0.0,3.0,1.0,173.5928614,1.83650506,8935.83116468,5
0.0,3.0,1.0,149.7408614,1.71169645,6359.7405547,5
0.0,4.0,2.0,168.4148614,1.86488962,9126.64509546,5
0.0,4.0,2.0,169.6068614,1.98666431,9267.35803588,5
0.0,3.0,1.0,153.6028614,1.768963,7176.36622421,5
0.0,3.0,1.0,163.0648614,1.73738651,8403.62396801,5
0.0,4.0,2.0,175.3468614,1.95831579,9890.35018353,5
0.0,2.0,0.0,160.7248614,1.80924885,6880.07858987,5
0.0,3.0,1.0,140.3128614,1.52236644,5668.7560066,5
0.0,2.0,0.0,190.3548614,1.99018455,10787.27553586,6
0.0,2.0,0.0,178.9268614,2.07448242,9820.5662027,6
0.0,2.0,0.0,213.3968614,2.17789238,14333.80085669,6
0.0,2.0,0.0,191.9028614,2.23819842,11197.45948873,6
0.0,3.0,1.0,189.8018614,1.7633157,11438.77821374,6
0.0,3.0,1.0,191.1428614,2.03945705,13029.40532406,6
0.0,3.0,1.0,190.4728614,1.93508918,11436.20231617,6
0.0,2.0,0.0,170.0198614,1.68520297,8105.9909604,6
0.0,3.0,1.0,173.6828614,1.66395848,8841.96861598,6
0.0,2.0,0.0,205.3248614,2.06860979,12950.39248214,6
0.0,3.0,1.0,214.7368614,2.12449834,15319.35065207,6
0.0,3.0,1.0,206.9548614,2.06666105,13778.03770377,6
0.0,3.0,1.0,199.9668614,2.03949376,13436.64656485,6
0.0,3.0,1.0,195.4668614,1.94585482,12046.50496769,6
0.0,3.0,1.0,187.7688614,1.9591151,11744.77643167,6
0.0,3.0,1.0,203.6208614,1.9725109,12767.03297007,6
0.0,3.0,1.0,209.1128614,2.03171144,14793.9348873,6
0.0,3.0,1.0,186.2468614,1.96211498,11315.08863606,6
0.0,3.0,1.0,187.6688614,2.00959042,10700.89391571,6
1.0,1.0,1.0,142.7208614,1.5989611,4312.91425973,7
1.0,1.0,1.0,151.1628614,1.54274267,4900.63251141,7
1.0,1.0,1.0,135.5748614,1.4373337,4073.64498836,7
1.0,1.0,1.0,136.0208614,1.39002657,3244.83123599,7
1.0,1.0,1.0,143.0268614,1.61388531,4249.8857926,7
1.0,1.0,1.0,133.3828614,1.53482146,3755.5495319,7
1.0,2.0,1.0,139.8508614,1.4581583,3524.81650366,7
1.0,1.0,1.0,131.5048614,1.51447201,3631.0045409,7
1.0,1.0,1.0,133.6888614,1.41633887,3347.2783197,7
1.0,1.0,1.0,141.9748614,1.46831777,3893.0388589,7
1.0,1.0,1.0,131.5968614,1.33868202,3078.47781712,7
1.0,1.0,1.0,139.0388614,1.39019185,3757.75094337,7
1.0,1.0,1.0,160.0048614,1.70844316,5346.4333071,7
1.0,1.0,1.0,138.7008614,1.47779849,3694.51374331,7
1.0,1.0,1.0,131.5548614,1.40066222,3258.89191918,7
1.0,1.0,1.0,139.3868614,1.45730756,3729.17420228,7
1.0,1.0,1.0,144.5648614,1.36852057,4335.9687508,7
1.0,1.0,1.0,140.2148614,1.38978175,3632.04157742,7
1.0,1.0,1.0,145.6628614,1.51462457,3993.68569875,7
1.0,1.0,1.0,135.1868614,1.35766009,3049.169759,7
1.0,1.0,1.0,133.1268614,1.33697184,2968.13187325,7
0.0,2.0,0.0,165.3148614,1.87288504,6989.19393173,8
0.0,2.0,0.0,143.1568614,1.64047994,4602.78002022,8
0.0,3.0,1.0,149.3528614,1.74641367,5238.07418614,8
0.0,2.0,0.0,152.1808614,1.87359386,6067.46984586,8
0.0,2.0,0.0,151.6008614,1.77728655,5366.17405215,8
0.0,2.0,0.0,151.6928614,1.73973269,5907.46622328,8
0.0,2.0,0.0,151.7008614,1.72422032,5305.9176856,8
0.0,3.0,1.0,161.5188614,1.76423078,6808.95811513,8
0.0,2.0,0.0,146.7968614,1.68080562,5290.63243246,8
0.0,2.0,0.0,151.3868614,1.73336055,5417.69733049,8
0.0,2.0,0.0,155.5968614,1.67584498,5590.62405912,8
0.0,2.0,0.0,153.0568614,1.79902264,6496.40396237,8
0.0,3.0,1.0,149.3528614,1.74641367,5238.07418614,8
0.0,3.0,1.0,169.3328614,1.93248312,7978.35044657,8
0.0,2.0,0.0,145.7048614,1.55687133,4794.74798996,8
0.0,3.0,1.0,177.6448614,2.05961888,8540.49536604,8
0.0,2.0,0.0,184.7228614,2.02835398,8516.52647854,8
0.0,2.0,0.0,155.0508614,1.70902573,5522.52423308,8
0.0,2.0,0.0,158.7968614,1.72037109,5638.37972091,8
2.0,0.0,2.0,126.6428614,1.2686423,2121.95896282,9
2.0,0.0,2.0,135.2928614,1.2658668,1992.68770232,9
2.0,0.0,2.0,132.2168614,1.36282786,1843.30938368,9
2.0,0.0,2.0,126.6508614,1.30112057,1923.82535347,9
2.0,0.0,2.0,135.5828614,1.35563674,2055.99693076,9
2.0,0.0,2.0,136.9548614,1.29357047,2256.3019163,9
2.0,0.0,2.0,120.1268614,1.40830239,2450.88763473,9
2.0,0.0,2.0,135.0948614,1.35160669,2031.04863098,9
2.0,0.0,2.0,135.5168614,1.32216381,1963.82280593,9
2.0,0.0,2.0,135.9128614,1.2765927,2114.62543984,9
2.0,0.0,2.0,123.9388614,1.28092716,1828.75660303,9
2.0,0.0,2.0,129.0328614,1.33988404,1740.09897719,9
2.0,0.0,2.0,127.6348614,1.25658769,2098.88005018,9
2.0,0.0,2.0,132.4388614,1.35431029,1942.15511033,9
2.0,0.0,2.0,132.9948614,1.30856114,2065.99875123,9
2.0,0.0,2.0,133.3988614,1.29455002,2121.61427396,9
2.0,0.0,2.0,125.9568614,1.28633661,1810.83901267,9
2.0,0.0,2.0,128.5288614,1.26079063,2036.14896442,9
2.0,0.0,2.0,131.3648614,1.28550499,1949.70508931,9
