model_id,mae,mean_residual_deviance,rmse,mse,rmsle
DeepLearning_grid__1_AutoML_20200720_155835_model_7,157.59308013570262,44994.78024999793,212.1197309304298,44994.78024999793,0.3479248254746465
DeepLearning_grid__3_AutoML_20200720_155835_model_1,158.04060113932934,45745.513764936106,213.88200897910068,45745.513764936106,0.3542114942960938
DeepLearning_grid__2_AutoML_20200720_155835_model_1,158.29360403854886,43851.692750642214,209.40795770610583,43851.692750642214,0.34957314158938524
DeepLearning_grid__1_AutoML_20200720_155835_model_1,162.46486027244762,48308.4256239889,219.79177788076808,48308.4256239889,0.3616576736274975
DeepLearning_grid__1_AutoML_20200720_155835_model_9,163.39416800099917,49817.52055187554,223.19838832723576,49817.52055187554,0.360887024216581
DeepLearning_grid__1_AutoML_20200720_155835_model_5,164.87886888660537,50570.208568283226,224.87820830014456,50570.208568283226,0.3690319463168565
DeepLearning_grid__3_AutoML_20200720_155835_model_2,165.1958749998801,49377.4696994672,222.21041762137799,49377.4696994672,0.3637335508589137
DeepLearning_1_AutoML_20200720_155835,168.93006950839225,48811.40049795595,220.9330226515628,48811.40049795595,0.3657855638779101
DeepLearning_grid__2_AutoML_20200720_155835_model_2,168.94326405613575,50784.730213358554,225.35467648433337,50784.730213358554,0.3699803878498921
DeepLearning_grid__1_AutoML_20200720_155835_model_3,176.71034759572896,50513.34790783179,224.75174728538104,50513.34790783179,0.3781003516675955
DeepLearning_grid__3_AutoML_20200720_155835_model_3,178.856935514277,54039.302056997185,232.4635499535297,54039.302056997185,0.3929885288563101
DeepLearning_grid__1_AutoML_20200720_155835_model_6,183.27986830040848,56371.33853183488,237.4264907962776,56371.33853183488,0.4309879002239827
DeepLearning_grid__1_AutoML_20200720_155835_model_2,185.30454463618568,60105.343101367864,245.1639106829712,60105.343101367864,0.4010938894074965
DeepLearning_grid__1_AutoML_20200720_155835_model_4,189.96507379187057,62104.56375845834,249.20787258523427,62104.56375845834,
DeepLearning_grid__2_AutoML_20200720_155835_model_3,191.62614153692883,63147.70023182842,251.2920616172115,63147.70023182842,0.4050253555474544
DeepLearning_grid__1_AutoML_20200720_155835_model_8,196.04754504878673,64249.72470795942,253.47529407806084,64249.72470795942,
DeepLearning_grid__3_AutoML_20200720_155835_model_4,199.74426968063332,71029.86541555138,266.5142874510696,71029.86541555138,0.4468437659465672
DeepLearning_grid__3_AutoML_20200720_155835_model_5,206.09413514619362,69058.63942741287,262.7901052692298,69058.63942741287,0.4307383016826897
DeepLearning_grid__2_AutoML_20200720_155835_model_4,218.600080859486,84332.58030113847,290.4007236580833,84332.58030113847,0.4563287730781298
