model_id,mae,mean_residual_deviance,rmse,mse,rmsle
XGBoost_grid__1_AutoML_20200713_211300_model_9,148.2187054056517,41141.25934320139,202.83308246733662,41141.25934320139,0.33581830448850586
XGBoost_grid__1_AutoML_20200713_211300_model_16,148.43844196158398,41353.555045088695,203.35573521562821,41353.555045088695,0.33750768244744794
GLM_1_AutoML_20200713_211300,148.60893733847806,39816.9182039485,199.5417705743549,39816.9182039485,0.3344084630529241
GBM_grid__1_AutoML_20200713_211300_model_6,149.8515008224236,40749.06395911142,201.86397390101936,40749.06395911142,0.33849937943710323
GBM_5_AutoML_20200713_211300,150.07104362359507,40401.760352704136,201.00189141573804,40401.760352704136,0.33718288771617594
GBM_grid__1_AutoML_20200713_211300_model_4,150.15082707988108,41646.501819585465,204.07474566831013,41646.501819585465,0.3398302778417453
StackedEnsemble_BestOfFamily_AutoML_20200713_211300,150.80370801986354,41151.79402386007,202.85904964743398,41151.79402386007,0.34080762486279303
StackedEnsemble_AllModels_AutoML_20200713_211300,151.3858446788515,41842.47750517264,204.5543387591,41842.47750517264,0.34335638963708154
XGBoost_grid__1_AutoML_20200713_211300_model_6,152.18410717601506,42898.71157363972,207.12004145818366,42898.71157363972,0.34465248440073243
XRT_1_AutoML_20200713_211300,152.60606472391478,41709.28569576131,204.22851342494099,41709.28569576131,0.3423962591710993
GBM_grid__1_AutoML_20200713_211300_model_2,152.9289671567966,42661.19418497372,206.54586460390271,42661.19418497372,0.34592405183475883
XGBoost_grid__1_AutoML_20200713_211300_model_44,153.05789173824687,42669.60992610877,206.56623617161827,42669.60992610877,0.34150707011561177
GBM_grid__1_AutoML_20200713_211300_model_5,153.49303044559582,43447.09320708281,208.43966322915324,43447.09320708281,0.34566325655156743
GBM_2_AutoML_20200713_211300,153.53085472130422,43520.85730703175,208.61653172035943,43520.85730703175,0.3484785209123293
XGBoost_grid__1_AutoML_20200713_211300_model_22,153.83934719461791,42977.52392008718,207.3102118085049,42977.52392008718,0.3421129346905581
GBM_3_AutoML_20200713_211300,154.35644246559306,43508.24418846227,208.58629913889905,43508.24418846227,0.3494190427658431
XGBoost_grid__1_AutoML_20200713_211300_model_11,154.7439810524524,44082.76438622498,209.9589588139191,44082.76438622498,0.3484791213918937
GBM_4_AutoML_20200713_211300,155.72013014627268,44311.53545924318,210.50305332522655,44311.53545924318,0.35134701513960304
GBM_grid__1_AutoML_20200713_211300_model_8,156.0062264201296,43568.653892095324,208.7310563670277,43568.653892095324,0.3496629815229143
GBM_grid__1_AutoML_20200713_211300_model_7,156.29200733091162,44070.04310627771,209.9286619456184,44070.04310627771,0.3534667119247413
GBM_1_AutoML_20200713_211300,157.4321415545415,42930.72081246892,207.19729924028672,42930.72081246892,0.3487396000169697
XGBoost_grid__1_AutoML_20200713_211300_model_36,158.28909871275997,46113.28831557797,214.7400482340869,46113.28831557797,0.3589384917475253
DRF_1_AutoML_20200713_211300,158.30587525396518,45029.883342658795,212.2024583803373,45029.883342658795,0.35662696931984605
XGBoost_grid__1_AutoML_20200713_211300_model_43,159.25128442468778,48929.85937794076,221.200947958956,48929.85937794076,0.37404520811460973
XGBoost_grid__1_AutoML_20200713_211300_model_41,159.27524115334094,46426.33079165536,215.46770243276688,46426.33079165536,0.35876938968450545
GBM_grid__1_AutoML_20200713_211300_model_3,159.75100867490087,45985.84371166638,214.44310133848182,45985.84371166638,0.3600668023791573
XGBoost_grid__1_AutoML_20200713_211300_model_15,159.9416978862924,47020.068939811135,216.84111450509369,47020.068939811135,0.35681236033419816
XGBoost_grid__1_AutoML_20200713_211300_model_24,160.55259693844218,47848.85950960171,218.74382164898216,47848.85950960171,0.3632071298035671
XGBoost_grid__1_AutoML_20200713_211300_model_19,161.17095657133717,45571.84636107896,213.47563411565025,45571.84636107896,0.3582924035249033
GBM_grid__1_AutoML_20200713_211300_model_1,161.36711233267297,46742.807826838165,216.2008506616895,46742.807826838165,0.3573332961578153
XGBoost_grid__1_AutoML_20200713_211300_model_17,162.06512418934997,49274.03670183094,221.97755900502852,49274.03670183094,0.3670410509512066
XGBoost_grid__1_AutoML_20200713_211300_model_5,162.23045752082072,47382.570450817126,217.67537860497023,47382.570450817126,0.3668055924727288
XGBoost_grid__1_AutoML_20200713_211300_model_4,162.55842257217626,46010.00719905032,214.4994340296737,46010.00719905032,0.359003802792976
XGBoost_grid__1_AutoML_20200713_211300_model_25,164.2376238325952,48212.77184047773,219.57406914405385,48212.77184047773,0.3696163926385603
XGBoost_grid__1_AutoML_20200713_211300_model_14,164.38424446213412,48009.15750773788,219.10992106186768,48009.15750773788,0.3684512695087142
XGBoost_grid__1_AutoML_20200713_211300_model_10,165.1749697403169,48895.5817549897,221.1234536520034,48895.5817549897,0.36979862804293895
XGBoost_grid__1_AutoML_20200713_211300_model_39,165.44301530005228,48246.55313858177,219.6509802814041,48246.55313858177,0.3699544517451216
XGBoost_grid__1_AutoML_20200713_211300_model_38,165.60020521996725,48347.6155094424,219.88091210799172,48347.6155094424,0.3724127377079229
XGBoost_grid__1_AutoML_20200713_211300_model_23,165.68272990911782,49215.8097830888,221.8463652690501,49215.8097830888,0.37312026968709866
XGBoost_grid__1_AutoML_20200713_211300_model_2,165.9328146383796,48120.42715574751,219.36368695786342,48120.42715574751,0.3702101497657355
XGBoost_1_AutoML_20200713_211300,165.95296392306474,49374.57529209267,222.2039047633787,49374.57529209267,0.3737824649371246
XGBoost_grid__1_AutoML_20200713_211300_model_12,166.54762214338277,49438.84813256593,222.3484835400636,49438.84813256593,0.3709158354753141
XGBoost_grid__1_AutoML_20200713_211300_model_13,166.70578755123515,49605.13700830915,222.72210713871482,49605.13700830915,0.3692124572114014
XGBoost_grid__1_AutoML_20200713_211300_model_21,167.22650479598784,48162.358364714026,219.45924078223283,48162.358364714026,0.37403310530127015
XGBoost_grid__1_AutoML_20200713_211300_model_40,167.27317724093584,50334.917511575586,224.35444615958824,50334.917511575586,0.3763434207889213
XGBoost_grid__1_AutoML_20200713_211300_model_42,167.98407777598206,50870.444008892155,225.54477162836685,50870.444008892155,0.3807898087204257
XGBoost_grid__1_AutoML_20200713_211300_model_34,168.26050906114176,50779.020214050186,225.34200721137236,50779.020214050186,0.3766969894289947
XGBoost_grid__1_AutoML_20200713_211300_model_26,169.90607801625427,49703.20618796493,222.94215883938358,49703.20618796493,0.3744488482468119
XGBoost_grid__1_AutoML_20200713_211300_model_8,170.07680839216206,51400.069596584726,226.7158344637285,51400.069596584726,0.3820707139083731
XGBoost_grid__1_AutoML_20200713_211300_model_7,170.11594122228487,51245.28792763165,226.3742209873546,51245.28792763165,0.3754319129686367
XGBoost_grid__1_AutoML_20200713_211300_model_1,170.1300186372139,51600.959037273366,227.1584447852938,51600.959037273366,0.37858303223702383
XGBoost_grid__1_AutoML_20200713_211300_model_29,170.20856615523218,52141.39023380787,228.34489316340725,52141.39023380787,0.3833428314650744
XGBoost_grid__1_AutoML_20200713_211300_model_3,170.3682660384917,52174.785083880866,228.41800516570683,52174.785083880866,0.3852873160540039
XGBoost_grid__1_AutoML_20200713_211300_model_35,170.47629004465026,50441.11325707456,224.590991041659,50441.11325707456,0.37938182478564175
XGBoost_3_AutoML_20200713_211300,170.69019360609457,51390.06722717824,226.6937741253126,51390.06722717824,0.3834910000070836
XGBoost_grid__1_AutoML_20200713_211300_model_20,170.99577019919812,52362.11184581922,228.82769029516342,52362.11184581922,0.3858211091823601
XGBoost_grid__1_AutoML_20200713_211300_model_31,171.35420216305155,51974.847043921574,227.97992684427632,51974.847043921574,0.3828752559272893
XGBoost_grid__1_AutoML_20200713_211300_model_33,171.9667940811372,51859.789352468964,227.72744532108769,51859.789352468964,0.37759908365291256
XGBoost_2_AutoML_20200713_211300,172.01138853690998,51809.26977664376,227.61649715397112,51809.26977664376,0.3912687970915836
XGBoost_grid__1_AutoML_20200713_211300_model_27,172.04424737204968,52424.63904495885,228.9642746040501,52424.63904495885,0.3855037551173596
XGBoost_grid__1_AutoML_20200713_211300_model_32,172.7506604261801,52091.10838274994,228.2347659379481,52091.10838274994,0.3859250073072937
XGBoost_grid__1_AutoML_20200713_211300_model_18,173.42492460868732,52722.50708423405,229.6138216315256,52722.50708423405,0.3958956254194595
XGBoost_grid__1_AutoML_20200713_211300_model_30,175.12488518298508,52856.08422622378,229.90451110455348,52856.08422622378,0.38266797684031695
XGBoost_grid__1_AutoML_20200713_211300_model_37,175.37335839070062,52137.21596050949,228.33575269876044,52137.21596050949,0.3884637955836347
XGBoost_grid__1_AutoML_20200713_211300_model_28,175.96904443015515,55080.299068091896,234.69192373852985,55080.299068091896,0.3941782021672586
