model_id,mae,mean_residual_deviance,rmse,mse,rmsle
XGBoost_grid__1_AutoML_20200728_133016_model_16,153.00190648898268,43792.7715663245,209.26722525595002,43792.7715663245,0.3429815713010377
XGBoost_grid__1_AutoML_20200728_133016_model_9,154.14002808047013,43769.57975286007,209.21180595955883,43769.57975286007,0.34224073963881
XGBoost_grid__1_AutoML_20200728_133016_model_44,155.97063682448697,45364.654641896035,212.9897993846091,45364.654641896035,0.3482001270261566
XGBoost_grid__1_AutoML_20200728_133016_model_6,159.12330691915162,46317.78979743514,215.2156820434681,46317.78979743514,0.35390732036007233
XGBoost_grid__1_AutoML_20200728_133016_model_22,160.9844871843365,46738.2692789518,216.19035426899086,46738.2692789518,0.35467754331886897
XGBoost_grid__1_AutoML_20200728_133016_model_11,161.0171126244773,46836.03248395745,216.41634061215768,46836.03248395745,0.3582658116720505
XGBoost_grid__1_AutoML_20200728_133016_model_2,164.5679281530246,48829.26981523137,220.97345952677526,48829.26981523137,0.3686535157436817
XGBoost_grid__1_AutoML_20200728_133016_model_19,164.89769572943032,48602.68918026399,220.46017595081426,48602.68918026399,0.3633135701621205
XGBoost_grid__1_AutoML_20200728_133016_model_39,165.2259359225421,48789.34071862242,220.8830928763504,48789.34071862242,0.3690212589440355
XGBoost_grid__1_AutoML_20200728_133016_model_24,165.64753884328925,47782.95200310345,218.59311975243745,47782.95200310345,0.3624462555075144
XGBoost_grid__1_AutoML_20200728_133016_model_15,166.2699795575209,49372.185833300566,222.19852797284813,49372.185833300566,0.3680608740391491
XGBoost_grid__1_AutoML_20200728_133016_model_36,167.49168514197981,51022.9214692525,225.88253909776319,51022.9214692525,0.3742403609212303
XGBoost_grid__1_AutoML_20200728_133016_model_4,167.81339156459754,50265.27117113335,224.19917745418547,50265.27117113335,0.3747886589755127
XGBoost_grid__1_AutoML_20200728_133016_model_41,167.9571684716453,50341.36611248371,224.3688171571168,50341.36611248371,0.37198924920681137
XGBoost_grid__1_AutoML_20200728_133016_model_25,168.04353042387623,51870.2949892296,227.75051040388385,51870.2949892296,0.3806908253448108
XGBoost_grid__1_AutoML_20200728_133016_model_10,168.54750093272034,50396.99037933743,224.49274014840088,50396.99037933743,0.3746902769785423
XGBoost_grid__1_AutoML_20200728_133016_model_40,168.79496496496066,52177.966887012364,228.42496992888576,52177.966887012364,0.3802483388613629
XGBoost_grid__1_AutoML_20200728_133016_model_42,168.90535102092042,49840.86239687573,223.2506716605254,49840.86239687573,0.3779317127818047
XGBoost_grid__1_AutoML_20200728_133016_model_43,169.1913437104561,52756.35301323496,229.6875116614636,52756.35301323496,0.38440824647778205
XGBoost_grid__1_AutoML_20200728_133016_model_12,171.24378365530094,50464.30270941689,224.64261107238067,50464.30270941689,0.3739664801132617
XGBoost_grid__1_AutoML_20200728_133016_model_14,171.49696371588908,52206.75574155589,228.48797723634362,52206.75574155589,0.3841732634797497
XGBoost_grid__1_AutoML_20200728_133016_model_21,171.58933161346002,51343.76235238969,226.59162021661282,51343.76235238969,0.3807733889046974
XGBoost_grid__1_AutoML_20200728_133016_model_23,171.72505875708353,50641.147287795684,225.035880000936,50641.147287795684,0.3756893788255121
XGBoost_grid__1_AutoML_20200728_133016_model_1,172.59269091109158,52015.94928852032,228.0700534671756,52015.94928852032,0.37943200181133396
XGBoost_grid__1_AutoML_20200728_133016_model_5,172.61075613532267,51862.11422737957,227.73254977578318,51862.11422737957,0.37634643203541457
XGBoost_grid__1_AutoML_20200728_133016_model_7,173.1808953083737,54015.615444201525,232.4125974300909,54015.615444201525,0.3925482158667555
XGBoost_grid__1_AutoML_20200728_133016_model_13,173.58285167855274,52018.481970644665,228.07560582106248,52018.481970644665,0.38022412592498783
