model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200728_133520_model_15,0.9333982188673264,0.3092556743020398,0.8887093106575539,0.1330004854032314,0.306516035051135,0.09395207974346864
XGBoost_grid__1_AutoML_20200728_133520_model_4,0.9309414841451454,0.31692907388023744,0.8883181849769838,0.14491763004348818,0.3101275542502253,0.09617909990522644
XGBoost_grid__1_AutoML_20200728_133520_model_13,0.9309167186741556,0.40003324411262864,0.8878566382681564,0.13488761429264862,0.3225658287858317,0.10404871390029047
XGBoost_grid__1_AutoML_20200728_133520_model_6,0.9270632113881542,0.3223663604368265,0.8812510548999657,0.14176993868069382,0.3125477997648804,0.09768612713786776
XGBoost_3_AutoML_20200728_133520,0.9265802847038545,0.3279990632171805,0.8824978406436795,0.14563087560799232,0.31280951526328915,0.09784979283925394
XGBoost_grid__1_AutoML_20200728_133520_model_2,0.9260255381536846,0.3213687345529688,0.8831765315423661,0.14785481490286986,0.3123269204769887,0.09754810525463922
XGBoost_grid__1_AutoML_20200728_133520_model_8,0.9248491782816728,0.34930815696899314,0.8771023755316144,0.14697316413563552,0.3186019778681968,0.10150722030152694
XGBoost_grid__1_AutoML_20200728_133520_model_11,0.9242770959018098,0.32186384364145176,0.8811623567405049,0.14680723548000435,0.3117231731298484,0.09717133666614143
XGBoost_grid__1_AutoML_20200728_133520_model_3,0.9201090671342388,0.3328434451175252,0.8771975624048005,0.1581820163055861,0.3200374554556418,0.10242397289452188
XGBoost_1_AutoML_20200728_133520,0.9180832516072792,0.34124612295395673,0.8719740136187458,0.15847177231616588,0.3214271218948165,0.1033153946895852
XGBoost_grid__1_AutoML_20200728_133520_model_7,0.9106238917451732,0.35216336202017284,0.8596264039954786,0.1736653887683636,0.3305956778686917,0.1092935022254598
XGBoost_grid__1_AutoML_20200728_133520_model_1,0.9081696335700912,0.3561877323134981,0.8545796080517598,0.16733038128919134,0.33272616473391475,0.11070670069854018
XGBoost_2_AutoML_20200728_133520,0.906730759705588,0.358576497954188,0.8583959677467339,0.17794733870248747,0.33322472053298435,0.11103871437428553
XGBoost_grid__1_AutoML_20200728_133520_model_12,0.9033106481619068,0.36447452185465257,0.848770317637304,0.17433900957928414,0.33855390366229543,0.11461874568497885
XGBoost_grid__1_AutoML_20200728_133520_model_5,0.8972183422984338,0.3759950672926455,0.8399717215663532,0.16691184482946494,0.3431361553528263,0.1177424211103189
XGBoost_grid__1_AutoML_20200728_133520_model_9,0.8954822827820541,0.3913406697010421,0.8216053357521609,0.1805526662506068,0.350540308369573,0.12287850779183533
XGBoost_grid__1_AutoML_20200728_133520_model_10,0.8940904633124312,0.3832637971895615,0.8248422425836509,0.1787051621147731,0.34751804559591304,0.1207687920148031
XGBoost_grid__1_AutoML_20200728_133520_model_14,0.8918442350936631,0.3872426612660481,0.8175580197432759,0.18243979514002395,0.3516030288786976,0.12362468991667425
