model_id,mean_per_class_error,logloss,rmse,mse
DeepLearning_grid__1_AutoML_20200720_182402_model_2,0.17271383282093605,0.3720079375001116,0.349269727555566,0.12198934258673926
DeepLearning_grid__2_AutoML_20200720_182402_model_2,0.18334257906613108,0.4484395094952521,0.372432742234464,0.1387061474882827
DeepLearning_grid__1_AutoML_20200720_182402_model_5,0.1862776892749454,0.4816388824568494,0.377445249041875,0.14246491602428302
DeepLearning_grid__3_AutoML_20200720_182402_model_2,0.1914653710090189,0.4410684417820552,0.3766461041678649,0.14186228778483026
DeepLearning_grid__2_AutoML_20200720_182402_model_1,0.19812948542286665,0.4168526841009452,0.3731263805150518,0.13922329583626328
DeepLearning_grid__1_AutoML_20200720_182402_model_1,0.20780615021473595,0.4599269173177514,0.3859400880437708,0.14894975155923354
DeepLearning_grid__3_AutoML_20200720_182402_model_1,0.2100952214287733,0.4239632549368296,0.3783142325472014,0.14312165854777803
DeepLearning_grid__1_AutoML_20200720_182402_model_6,0.2133917488671172,0.570719635561629,0.4111842198225329,0.16907246263106507
DeepLearning_grid__1_AutoML_20200720_182402_model_3,0.2279439001821801,0.5465089287108913,0.4251999427936763,0.1807949913517456
DeepLearning_grid__1_AutoML_20200720_182402_model_7,0.22797232674534226,0.5867840011692198,0.4078106062179137,0.16630949054382227
DeepLearning_grid__2_AutoML_20200720_182402_model_3,0.24310179471651605,0.5633475742359041,0.4220099264004652,0.17809237798052605
DeepLearning_grid__1_AutoML_20200720_182402_model_4,0.27840169106445384,0.9986522186409059,0.484904374730829,0.2351322526330963
DeepLearning_grid__1_AutoML_20200720_182402_model_8,0.284488547223525,1.380325811147834,0.4974254948780624,0.24743212295468525
DeepLearning_1_AutoML_20200720_182402,0.2904248470331641,0.7234704518894169,0.4977603254075196,0.2477653415497998
DeepLearning_grid__2_AutoML_20200720_182402_model_4,0.2958571799722541,0.9686513984870816,0.4887921875190003,0.2389178025796095
DeepLearning_grid__3_AutoML_20200720_182402_model_3,0.3148233808527813,0.9219738256142774,0.5069761265010319,0.2570247928419902
