model_id,mean_per_class_error,logloss,rmse,mse
GLM_1_AutoML_20200713_214512,0.19472896696559444,0.4303625872896204,0.3804200209921047,0.14471939237163334
StackedEnsemble_BestOfFamily_AutoML_20200713_214512,0.1953676027324129,0.388441935007273,0.36181318439096577,0.13090878039913098
StackedEnsemble_AllModels_AutoML_20200713_214512,0.2013334936965264,0.5433159611050291,0.4332762589267337,0.187728316549546
XGBoost_grid__1_AutoML_20200713_214512_model_18,0.2321555925598624,0.5029295090886616,0.4150233192931669,0.17224435555711803
XGBoost_grid__1_AutoML_20200713_214512_model_2,0.2332498709559538,0.5108198650732833,0.4186785259479485,0.17529170808994698
XGBoost_grid__1_AutoML_20200713_214512_model_15,0.2334634137169297,0.4922514863753039,0.41157372860922775,0.16939293408130224
GBM_grid__1_AutoML_20200713_214512_model_10,0.23439173727846024,0.5195593635576803,0.42361433415865296,0.17944910410467893
GBM_2_AutoML_20200713_214512,0.2359700321912735,0.5019977493357346,0.4151062971589102,0.17231323794098144
XGBoost_grid__1_AutoML_20200713_214512_model_25,0.2367886150652631,0.5111372443587292,0.41439745715758025,0.17172525249866855
XGBoost_3_AutoML_20200713_214512,0.2402102290005635,0.519356602696131,0.4175849466084424,0.17437718763397564
GBM_grid__1_AutoML_20200713_214512_model_6,0.2408277635637328,0.5265806674358863,0.42584164760092497,0.1813411088314704
XGBoost_grid__1_AutoML_20200713_214512_model_17,0.2413944809502405,0.5493034809532841,0.4277160263537411,0.18294099919983414
GBM_1_AutoML_20200713_214512,0.2426633152087655,0.5331712247040908,0.4271235701397086,0.1824345441688905
GBM_3_AutoML_20200713_214512,0.24351421806820026,0.5128355667213295,0.4187271151728613,0.17533239698098665
XGBoost_grid__1_AutoML_20200713_214512_model_4,0.2435855833535219,0.5136039929437589,0.4208150122874916,0.1770852745665217
XGBoost_grid__1_AutoML_20200713_214512_model_21,0.24569227292633694,0.5228959014959569,0.42346062616794705,0.17931890191454974
XGBoost_grid__1_AutoML_20200713_214512_model_8,0.2467104589644056,0.5288242814638106,0.4227513217492429,0.17871868004073185
GBM_grid__1_AutoML_20200713_214512_model_2,0.2474317371996757,0.5671184898911275,0.4426501305946716,0.19593913811547986
XGBoost_grid__1_AutoML_20200713_214512_model_7,0.2479792932229305,0.5431351147179744,0.4321952420460655,0.18679272724725715
GBM_grid__1_AutoML_20200713_214512_model_5,0.2488176432308754,0.5165192324852188,0.4228383186791023,0.17879224374337005
XGBoost_grid__1_AutoML_20200713_214512_model_13,0.24913899256461694,0.6200628395390294,0.44161245801324295,0.19502156307249827
XGBoost_1_AutoML_20200713_214512,0.249312884255014,0.5425371129608044,0.43022976106792893,0.1850976473085673
XGBoost_grid__1_AutoML_20200713_214512_model_19,0.25087862631633745,0.5277606188884569,0.4272572046101807,0.1825487188913058
DRF_1_AutoML_20200713_214512,0.2510074172900837,0.5781173117763347,0.43210293320127596,0.18671294488114631
GBM_4_AutoML_20200713_214512,0.2513942986464678,0.5366483686997298,0.4282137366459535,0.18336700425229002
GBM_grid__1_AutoML_20200713_214512_model_9,0.2527477152138407,0.5342508444991366,0.4296717983842279,0.1846178543267366
GBM_grid__1_AutoML_20200713_214512_model_3,0.2527722678218313,0.5570912633263748,0.43087246699688003,0.18565108281597745
XGBoost_grid__1_AutoML_20200713_214512_model_5,0.2529336066607386,0.5576611884555787,0.439732152773177,0.1933643661825327
XGBoost_2_AutoML_20200713_214512,0.2531597022732044,0.5498019454442543,0.434118931588531,0.1884592467635676
GBM_grid__1_AutoML_20200713_214512_model_1,0.2541382372406941,0.6693230533067398,0.4482560005527078,0.2009334420315092
XRT_1_AutoML_20200713_214512,0.25482780126122145,0.5899159758123776,0.43713128826321507,0.191083763178658
GBM_grid__1_AutoML_20200713_214512_model_8,0.2551570874507992,0.5176195472715558,0.4224175671437017,0.17843660103160372
XGBoost_grid__1_AutoML_20200713_214512_model_3,0.2559619002062735,0.5387986483844723,0.4326762465866726,0.18720873436033109
XGBoost_grid__1_AutoML_20200713_214512_model_23,0.25849362438359685,0.5504571293383637,0.43620002849558004,0.19027046485954485
GBM_grid__1_AutoML_20200713_214512_model_7,0.2610575574693177,0.6110883406185338,0.452716068643244,0.2049518388077944
XGBoost_grid__1_AutoML_20200713_214512_model_1,0.26247656446066736,0.5606950988490019,0.4400640975376217,0.19365640994160144
XGBoost_grid__1_AutoML_20200713_214512_model_20,0.2629334243569658,0.545967932721628,0.4332301523110316,0.18768836487143964
XGBoost_grid__1_AutoML_20200713_214512_model_11,0.263113924559126,0.6105870757054348,0.4619936627839306,0.21343814445251216
XGBoost_grid__1_AutoML_20200713_214512_model_22,0.2642544625375595,0.628391521190342,0.4690631915244458,0.22002027764309887
GBM_grid__1_AutoML_20200713_214512_model_4,0.2644283542279566,0.5351056104751472,0.4326087424502665,0.18715032404440105
XGBoost_grid__1_AutoML_20200713_214512_model_16,0.2678613037477213,0.6877807520179704,0.495166210368509,0.2451895758907105
XGBoost_grid__1_AutoML_20200713_214512_model_14,0.26901578132305176,0.6091637951245216,0.4616139779164206,0.21308746460782169
XGBoost_grid__1_AutoML_20200713_214512_model_10,0.2697443322421216,0.6247933820237694,0.4675966887029718,0.21864666328598392
XGBoost_grid__1_AutoML_20200713_214512_model_6,0.2729127523458671,0.6369759985758654,0.4728278066149784,0.22356613470833145
XGBoost_grid__1_AutoML_20200713_214512_model_12,0.2751172412510564,0.5807628288152681,0.44863923242052095,0.2012771608668742
XGBoost_grid__1_AutoML_20200713_214512_model_24,0.2802322293557352,0.6181674874205422,0.4661289591188737,0.21727620652924465
XGBoost_grid__1_AutoML_20200713_214512_model_9,0.3021949900999432,0.7554434391895571,0.5241416876609454,0.2747245087440641
GBM_5_AutoML_20200713_214512,0.3025117234380311,0.6548947280206083,0.4814482992694255,0.2317924648694223
