model_id,mean_per_class_error,logloss,rmse,mse
XGBoost_1_AutoML_20200728_134545,0.23292705528288085,0.5174119370279466,0.41633626397409795,0.17333588469990982
XGBoost_3_AutoML_20200728_134545,0.2342339195322317,0.4964220503140606,0.4066149654674692,0.1653357301421112
XGBoost_grid__1_AutoML_20200728_134545_model_4,0.23821704243678146,0.5130865477414055,0.4170331501864721,0.1739166483544526
XGBoost_grid__1_AutoML_20200728_134545_model_7,0.2396817851240763,0.5256264496360342,0.4234895518370789,0.1793434005151699
XGBoost_grid__1_AutoML_20200728_134545_model_8,0.2435870179560107,0.5208199674828942,0.41855024914735495,0.1751843110613129
XGBoost_grid__1_AutoML_20200728_134545_model_2,0.24477851228359165,0.5093650259871577,0.4182340848951791,0.1749197497681078
XGBoost_grid__1_AutoML_20200728_134545_model_6,0.2474731852662227,0.5628818761496822,0.440319989657024,0.19388169329156174
XGBoost_grid__1_AutoML_20200728_134545_model_3,0.25265751873062176,0.5155158052379542,0.4199788029345748,0.1763821949143584
XGBoost_2_AutoML_20200728_134545,0.2527759430637058,0.540453929653593,0.4307533633398648,0.1855484600286056
XGBoost_grid__1_AutoML_20200728_134545_model_1,0.25544812917048604,0.5428934903720452,0.43196586649827146,0.1865945098196025
XGBoost_grid__1_AutoML_20200728_134545_model_5,0.2764341262192321,0.5635014149358165,0.4404888482258237,0.1940304254113127
