COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,Class
95,48,83,178,72,10,162,42,20,159,176,379,184,70,6,16,187,197,4
93,41,82,159,63,9,144,46,19,143,160,309,127,63,6,10,199,207,4
93,44,98,197,62,11,183,36,22,146,202,505,152,64,4,14,195,204,2
96,55,103,201,65,9,204,32,23,166,227,624,246,74,6,2,186,194,1
94,43,64,173,69,7,150,43,19,142,169,344,177,68,9,1,199,206,3
86,44,78,164,68,9,142,46,18,147,168,305,171,70,1,11,190,201,4
101,53,103,203,63,9,195,34,22,162,210,571,210,68,5,5,191,198,1
91,42,84,209,75,6,171,38,20,138,189,446,161,69,3,12,196,201,3
94,48,87,162,64,10,157,43,20,161,179,363,186,75,4,15,184,195,4
100,45,100,209,65,8,201,32,23,147,231,611,189,72,5,5,189,195,1
109,53,109,221,69,12,221,31,25,169,226,712,212,72,13,28,188,201,2
90,46,80,143,62,11,159,43,20,156,169,366,186,74,17,7,185,193,4
95,45,80,186,62,7,164,40,20,145,188,406,178,65,11,18,199,204,1
106,49,106,211,64,9,208,32,24,158,224,645,184,68,1,24,190,202,2
89,44,72,160,66,7,144,46,19,147,166,312,169,69,11,1,191,198,3
93,37,73,174,68,7,151,43,19,131,175,347,135,68,1,22,196,205,3
103,46,106,209,66,10,203,33,23,149,217,612,210,70,9,10,191,199,2
101,51,105,212,68,10,209,32,24,162,222,653,224,73,5,23,186,195,1
103,55,100,194,62,11,212,31,24,175,217,666,219,73,10,14,187,194,1
88,44,85,139,56,11,157,43,20,155,176,363,175,76,5,16,184,195,4
100,50,81,197,67,6,186,34,22,158,206,531,198,74,6,1,197,198,3
105,54,106,215,68,10,208,32,24,166,217,640,218,69,14,23,189,199,2
96,37,74,199,74,5,165,39,20,128,188,419,136,72,1,3,196,200,3
85,45,65,128,56,8,151,45,19,145,170,332,186,81,1,10,179,184,3
100,55,101,189,57,10,222,30,25,177,225,731,211,71,7,17,188,197,1
85,34,53,127,58,6,116,58,17,121,137,197,127,70,3,20,185,189,2
91,36,77,157,56,7,155,42,19,126,177,361,123,65,8,15,195,201,2
92,43,69,158,56,7,149,44,19,143,170,333,168,63,14,18,198,203,1
93,47,88,200,66,7,173,38,21,151,197,452,205,66,0,3,195,202,2
107,57,106,179,51,8,257,26,28,172,275,954,232,83,2,20,181,184,3
86,41,66,129,55,7,135,50,18,136,154,266,165,74,3,4,180,187,1
109,54,109,225,68,11,214,31,24,169,226,675,212,68,11,32,189,202,2
89,46,77,125,52,10,156,44,20,160,171,351,177,78,7,17,183,191,4
88,37,57,132,62,6,135,50,18,125,151,265,144,83,16,16,180,184,2
89,37,51,111,54,5,120,56,17,127,138,213,147,82,7,4,181,183,4
94,38,88,179,60,7,170,39,21,131,188,435,144,66,2,28,195,204,2
109,54,103,205,63,11,222,30,25,175,229,720,213,71,6,14,187,200,2
89,40,72,155,63,7,146,45,19,135,175,321,145,72,4,10,192,196,3
91,45,76,171,69,7,150,44,19,144,170,340,179,69,12,1,195,201,3
82,37,59,134,63,7,135,51,18,128,151,264,143,82,11,24,179,185,2
97,37,76,169,60,8,161,41,20,131,189,391,136,72,0,0,188,192,1
103,48,101,204,62,12,200,33,23,158,215,595,164,66,8,22,192,202,1
78,36,51,116,56,4,120,57,17,124,135,209,135,84,1,12,177,184,1
91,41,93,197,65,9,183,36,21,137,202,504,153,66,11,24,193,200,1
95,57,104,228,74,10,212,31,24,175,224,670,223,74,0,4,186,193,1
95,43,71,159,64,6,145,45,19,141,169,322,171,67,8,4,195,200,3
92,43,70,124,52,6,139,49,18,144,164,282,172,79,4,16,183,185,4
94,45,72,179,69,6,156,41,19,144,181,373,191,69,5,5,193,198,3
94,43,82,136,54,10,155,43,19,149,176,359,161,74,1,6,186,197,4
102,54,98,167,53,10,217,31,24,174,228,692,223,72,0,31,187,198,1
93,35,78,162,60,8,150,45,19,125,172,331,137,67,2,33,191,198,1
97,44,95,202,66,9,188,35,22,144,216,526,175,72,15,11,190,197,2
109,49,103,186,57,11,206,32,23,156,212,630,186,65,12,21,192,201,1
107,55,103,167,49,7,252,27,28,172,269,904,239,83,5,30,179,186,3
98,44,88,176,67,10,158,43,20,149,173,367,154,66,14,9,194,202,4
101,49,103,212,67,10,201,33,23,156,215,601,174,69,4,11,189,196,1
86,40,66,138,59,4,137,49,18,133,162,279,151,74,6,14,186,190,2
92,46,82,170,58,8,165,40,20,149,181,409,164,61,8,11,200,208,1
