dataset,categoria,ferramenta,fold,tempo
Mfeat,Principal,H2O AutoML,1,05:45
Mfeat,Principal,H2O AutoML,2,05:30
Mfeat,Principal,H2O AutoML,3,05:35
Mfeat,Principal,H2O AutoML,4,04:43
Mfeat,Principal,H2O AutoML,5,05:50
Mfeat,Principal,H2O AutoML,6,05:22
Mfeat,Principal,H2O AutoML,7,05:43
Mfeat,Principal,H2O AutoML,8,04:47
Mfeat,Principal,H2O AutoML,9,05:30
Mfeat,Principal,H2O AutoML,10,05:33
Mfeat,Principal,AutoGluon,1,02:29
Mfeat,Principal,AutoGluon,2,02:32
Mfeat,Principal,AutoGluon,3,02:41
Mfeat,Principal,AutoGluon,4,02:45
Mfeat,Principal,AutoGluon,5,02:48
Mfeat,Principal,AutoGluon,6,02:25
Mfeat,Principal,AutoGluon,7,02:25
Mfeat,Principal,AutoGluon,8,02:41
Mfeat,Principal,AutoGluon,9,02:13
Mfeat,Principal,AutoGluon,10,02:27
Mfeat,Principal,AutoSklearn,1,60:00
Mfeat,Principal,AutoSklearn,2,60:00
Mfeat,Principal,AutoSklearn,3,60:00
Mfeat,Principal,AutoSklearn,4,60:00
Mfeat,Principal,AutoSklearn,5,60:00
Mfeat,Principal,AutoSklearn,6,60:00
Mfeat,Principal,AutoSklearn,7,60:00
Mfeat,Principal,AutoSklearn,8,60:00
Mfeat,Principal,AutoSklearn,9,60:00
Mfeat,Principal,AutoSklearn,10,60:00
Mfeat,Principal,TPOT,1,07:20
Mfeat,Principal,TPOT,2,43:47
Mfeat,Principal,TPOT,3,06:44
Mfeat,Principal,TPOT,4,39:45
Mfeat,Principal,TPOT,5,31:21
Mfeat,Principal,TPOT,6,14:32
Mfeat,Principal,TPOT,7,08:39
Mfeat,Principal,TPOT,8,21:38
Mfeat,Principal,TPOT,9,60:00
Mfeat,Principal,TPOT,10,11:19
Mfeat,Principal,Rminer,1,46:59
Mfeat,Principal,Rminer,2,46:05
Mfeat,Principal,Rminer,3,46:26
Mfeat,Principal,Rminer,4,31:40
Mfeat,Principal,Rminer,5,23:07
Mfeat,Principal,Rminer,6,22:10
Mfeat,Principal,Rminer,7,24:05
Mfeat,Principal,Rminer,8,21:15
Mfeat,Principal,Rminer,9,24:12
Mfeat,Principal,Rminer,10,23:40
Mfeat,Principal,TransmogrifAI,1,03:04
Mfeat,Principal,TransmogrifAI,2,02:33
Mfeat,Principal,TransmogrifAI,3,02:36
Mfeat,Principal,TransmogrifAI,4,02:28
Mfeat,Principal,TransmogrifAI,5,02:29
Mfeat,Principal,TransmogrifAI,6,02:29
Mfeat,Principal,TransmogrifAI,7,02:27
Mfeat,Principal,TransmogrifAI,8,02:21
Mfeat,Principal,TransmogrifAI,9,02:34
Mfeat,Principal,TransmogrifAI,10,02:28
Mfeat,Deep Learning,H2O AutoML,1,60:00
Mfeat,Deep Learning,H2O AutoML,2,60:00
Mfeat,Deep Learning,H2O AutoML,3,60:00
Mfeat,Deep Learning,H2O AutoML,4,60:00
Mfeat,Deep Learning,H2O AutoML,5,60:00
Mfeat,Deep Learning,H2O AutoML,6,60:00
Mfeat,Deep Learning,H2O AutoML,7,60:00
Mfeat,Deep Learning,H2O AutoML,8,60:00
Mfeat,Deep Learning,H2O AutoML,9,60:00
Mfeat,Deep Learning,H2O AutoML,10,60:00
Mfeat,Deep Learning,Auto-PyTorch,1,60:00
Mfeat,Deep Learning,Auto-PyTorch,2,60:00
Mfeat,Deep Learning,Auto-PyTorch,3,60:00
Mfeat,Deep Learning,Auto-PyTorch,4,60:00
Mfeat,Deep Learning,Auto-PyTorch,5,60:00
