model_id,mae,mean_residual_deviance,rmse,mse,rmsle
GLM_1_AutoML_20200713_170800,37.626719066878636,2481.476655350936,49.81442216217043,2481.476655350936,0.19783471915512896
GBM_grid__1_AutoML_20200713_170800_model_6,37.75252401281038,2529.500354184456,50.294138368048976,2529.500354184456,0.19934914054938854
XGBoost_grid__1_AutoML_20200713_170800_model_9,38.0408453749213,2510.534507206759,50.105234329426686,2510.534507206759,0.19833294165816412
GBM_grid__1_AutoML_20200713_170800_model_2,38.05648441026503,2545.435027108954,50.4523044776842,2545.435027108954,0.1996603885689232
XGBoost_grid__1_AutoML_20200713_170800_model_16,38.084866478329616,2541.698825144434,50.41526381111611,2541.698825144434,0.1996880434877607
StackedEnsemble_BestOfFamily_AutoML_20200713_170800,38.11959187430561,2525.705840427569,50.25640098960101,2525.705840427569,0.19969377857724407
GBM_grid__1_AutoML_20200713_170800_model_5,38.279320806811754,2588.559750698521,50.877890588137795,2588.559750698521,0.2024243761597627
GBM_grid__1_AutoML_20200713_170800_model_8,38.35889139967693,2543.6432153139085,50.4345438693948,2543.6432153139085,0.20080776210942688
GBM_grid__1_AutoML_20200713_170800_model_4,38.381025802119545,2544.2261320558105,50.44032248167938,2544.2261320558105,0.2003119238813089
StackedEnsemble_AllModels_AutoML_20200713_170800,38.42176203424727,2512.1278515073,50.12113178597726,2512.1278515073,0.19914084446188166
GBM_5_AutoML_20200713_170800,38.42298981480758,2542.619363850856,50.424392548159226,2542.619363850856,0.1998477854533892
GBM_3_AutoML_20200713_170800,38.6807012808301,2570.658797556376,50.70166464285345,2570.658797556376,0.20206605528310556
XGBoost_grid__1_AutoML_20200713_170800_model_11,38.84248156425281,2569.715703191236,50.69236336166657,2569.715703191236,0.20233407724966412
XGBoost_grid__1_AutoML_20200713_170800_model_6,38.921693459535255,2588.8462777800987,50.880706341206576,2588.8462777800987,0.20274116462844105
DRF_1_AutoML_20200713_170800,38.92620340960894,2644.699309711095,51.42664007798968,2644.699309711095,0.20492000716076475
GBM_4_AutoML_20200713_170800,38.980570337158476,2621.086721501063,51.19654989841661,2621.086721501063,0.2040813310480099
XGBoost_grid__1_AutoML_20200713_170800_model_22,39.00296640920115,2588.893173573374,50.8811671797471,2588.893173573374,0.20223234599707934
GBM_grid__1_AutoML_20200713_170800_model_7,39.00787714370893,2781.6964128437758,52.74179000416819,2781.6964128437758,0.2081895300873463
XRT_1_AutoML_20200713_170800,39.2975946241745,2629.9972647207724,51.283498951619634,2629.9972647207724,0.20476550877602104
GBM_grid__1_AutoML_20200713_170800_model_3,39.714509653343576,2655.105673580495,51.527717527370605,2655.105673580495,0.20580290167928436
