model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
DeepLearning_grid__1_AutoML_20200717_222348_model_1,0.9145346786432058,0.2054022773731864,0.8469716336384384,0.1280546327057955,0.20649473349606,0.042640074961608834
DeepLearning_grid__2_AutoML_20200717_222348_model_1,0.9141846109675568,0.20304003496943795,0.8370257946506011,0.14630860095976375,0.22209188851936632,0.049324806946098636
DeepLearning_grid__1_AutoML_20200717_222348_model_2,0.9137168286780691,0.19498705330757174,0.8464239519912975,0.1267626430417128,0.20519516630009893,0.04210505627292525
DeepLearning_grid__1_AutoML_20200717_222348_model_5,0.9094702842377259,0.21365649496755185,0.8325726411672811,0.1408637873754153,0.21524418713304733,0.0463300600945663
DeepLearning_grid__1_AutoML_20200717_222348_model_3,0.907547475493212,0.22466214045276572,0.7855155821215947,0.1566076042820229,0.23918114736860366,0.05720762125656169
DeepLearning_grid__2_AutoML_20200717_222348_model_2,0.9034588409007012,0.20978480589729367,0.8113717868948044,0.14224806201550386,0.2303309676540209,0.05305235466043762
DeepLearning_grid__3_AutoML_20200717_222348_model_2,0.9034453057708872,0.20814694281091406,0.7991195309118174,0.16103728313030638,0.2328586369780205,0.05422314481526155
DeepLearning_grid__1_AutoML_20200717_222348_model_6,0.9025095361141872,0.25419267917664073,0.8018832513499086,0.1755813953488372,0.22987247895916185,0.05284135658283029
DeepLearning_grid__2_AutoML_20200717_222348_model_5,0.8988125999753906,0.23175264249524666,0.8009707616561512,0.1606312292358804,0.2299773507074113,0.05288958183839968
DeepLearning_grid__1_AutoML_20200717_222348_model_9,0.8924894384971904,0.24849594494031266,0.7521604847059357,0.1908637873754153,0.2527713507970217,0.06389335578375102
DeepLearning_grid__1_AutoML_20200717_222348_model_7,0.8924106886509987,0.2499047549360369,0.7391483964002177,0.18353636028054632,0.2556424595698133,0.06535306713490363
DeepLearning_grid__3_AutoML_20200717_222348_model_3,0.8912036011648415,0.24452929482648136,0.7980881303503077,0.16572535991140644,0.23085497501717755,0.05329401949018168
DeepLearning_1_AutoML_20200717_222348,0.8901642672572905,0.24622052326761334,0.7094309134344721,0.1876891842008121,0.25983108480287465,0.06751219262983864
DeepLearning_grid__2_AutoML_20200717_222348_model_6,0.8868231409704278,0.2516453405596069,0.7688280387148868,0.16877076411960132,0.2432656730751977,0.05917818769672896
DeepLearning_grid__3_AutoML_20200717_222348_model_5,0.8852179976210983,0.2643189061940385,0.7917571407768896,0.16098191214470284,0.2322370868612845,0.0539340645138158
DeepLearning_grid__2_AutoML_20200717_222348_model_3,0.8847910257987778,0.2823600507327379,0.7688728140802478,0.17930970837947582,0.2419750122389663,0.058551906548047886
DeepLearning_grid__3_AutoML_20200717_222348_model_1,0.8842178335589189,0.2581155995352311,0.7304518702885481,0.20389442598744925,0.26728460753201466,0.07144106142354313
DeepLearning_grid__1_AutoML_20200717_222348_model_4,0.8757717074771338,0.3155341486056775,0.6762707600821809,0.2378552971576227,0.2814372995275781,0.07920695356537573
DeepLearning_grid__3_AutoML_20200717_222348_model_6,0.869250645994832,0.27821945100243023,0.7190709715414226,0.2103543743078627,0.2580045895795824,0.06656636824412875
DeepLearning_grid__2_AutoML_20200717_222348_model_4,0.8597135064189327,0.5564972578683579,0.7016394570534478,0.21478405315614613,0.2779458695989733,0.0772539064271295
DeepLearning_grid__1_AutoML_20200717_222348_model_10,0.8575987449243263,0.296559369818142,0.6034577401820547,0.2259874492432632,0.2866647287098755,0.08217666668630651
DeepLearning_grid__1_AutoML_20200717_222348_model_8,0.8362962962962963,0.7348055536543473,0.6230348258741276,0.2420265780730897,0.3024545838498101,0.0914787752917618
DeepLearning_grid__3_AutoML_20200717_222348_model_4,0.8253818547229399,0.7010013873642911,0.6575532858133085,0.2411590992986342,0.2842938747992119,0.08082300724834994
DeepLearning_grid__2_AutoML_20200717_222348_model_7,0.8014765596160945,0.4133693844500641,0.4392407850526918,0.2972314507198228,0.32721537624695457,0.10706990245243604
