model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_4_AutoML_20200713_190553,0.9264817538026436,0.15113826969239486,0.8818346775520538,0.10083159580186052,0.18556655136083888,0.034434944983954864
GBM_grid__1_AutoML_20200713_190553_model_48,0.9242676864306422,0.15637992906431378,0.8780462443669843,0.1058857257370917,0.18892602046709284,0.03569304120953238
GBM_grid__1_AutoML_20200713_190553_model_65,0.9241094235562092,0.17168829959987278,0.8687297934568134,0.1115890358706333,0.20560000827711308,0.042271363403548964
GBM_3_AutoML_20200713_190553,0.923942491505215,0.15269341385752758,0.8776247365966193,0.11638268729151136,0.1883332695051648,0.03546942040250503
GBM_grid__1_AutoML_20200713_190553_model_35,0.9234806058423801,0.1754969099699,0.8606835714409975,0.1236414089871539,0.2093654416089816,0.043833888140123865
GBM_grid__1_AutoML_20200713_190553_model_73,0.9234092363423172,0.15736745549917275,0.8710559392010594,0.11612482969100232,0.1961867952425572,0.03848925862754507
XGBoost_3_AutoML_20200713_190553,0.923145330479091,0.16286505751704758,0.8691539316355784,0.11301420817555767,0.19666387844212366,0.03867668108389838
GBM_grid__1_AutoML_20200713_190553_model_28,0.9225943337455559,0.16318306268287694,0.8718800296050682,0.10627503224732072,0.19617728609760374,0.03848552758062106
GBM_grid__1_AutoML_20200713_190553_model_41,0.922544536382518,0.17629339065066038,0.8539259590751205,0.12364181220466837,0.20980514842586276,0.044018200305998297
GBM_grid__1_AutoML_20200713_190553_model_99,0.9224237727369315,0.16309310008444014,0.8728147267379693,0.11949351041571325,0.19806379717768272,0.03922926775244225
GBM_grid__1_AutoML_20200713_190553_model_87,0.9221227708623734,0.16688000547455112,0.8687295569158602,0.11664256097959275,0.2015071026305006,0.040605112410539095
GBM_grid__1_AutoML_20200713_190553_model_21,0.92207115902052,0.17066103322956733,0.8667093594888693,0.12675122406756958,0.204635469983024,0.041875675575173125
GBM_grid__1_AutoML_20200713_190553_model_24,0.9220560383637272,0.1526942152901399,0.8759549138177765,0.12428816988037746,0.1909767216953925,0.0364721082295194
StackedEnsemble_BestOfFamily_AutoML_20200713_190553,0.9220179343086091,0.1405995855639909,0.8819871470335625,0.09733247421121582,0.1835548985193084,0.03369240077043362
GBM_grid__1_AutoML_20200713_190553_model_95,0.9220147085684932,0.18337049364464386,0.8573500359029645,0.1205315939067382,0.2147924097323526,0.046135779278630835
GBM_5_AutoML_20200713_190553,0.9219528146800208,0.1834011577061195,0.8564015526791554,0.1226047367574296,0.21127104133187932,0.04463545290545668
GBM_grid__1_AutoML_20200713_190553_model_58,0.9219046301870404,0.16102936141229238,0.8711602398998504,0.1100328178735034,0.19532573785002136,0.03815214386665526
GBM_grid__1_AutoML_20200713_190553_model_77,0.9219042269695258,0.1881374532848064,0.8553232938801654,0.1244188123550685,0.21895567190873072,0.04794158626100373
GBM_grid__1_AutoML_20200713_190553_model_100,0.9218546312152452,0.15360285080942074,0.8755632412737958,0.1079594734140548,0.19146718189581668,0.03665968174312575
GBM_grid__1_AutoML_20200713_190553_model_66,0.921795559849374,0.1876725758660968,0.8481897548359634,0.1219573710379343,0.21784451717868872,0.047456233664816015
GBM_2_AutoML_20200713_190553,0.9217919308917436,0.15009013574789418,0.8778016373684617,0.1074409356904354,0.1874276637658659,0.035129129144730466
GBM_grid__1_AutoML_20200713_190553_model_96,0.9217330611346298,0.1663783010156732,0.8693079671415203,0.1158649560029209,0.2000686543902529,0.040027466469526464
GBM_grid__1_AutoML_20200713_190553_model_12,0.92156290334352,0.16180972145050493,0.8735976637894519,0.11430994765833445,0.1950375913544135,0.0380396620413312
GBM_grid__1_AutoML_20200713_190553_model_34,0.921429841563742,0.1773099683416061,0.8569999206628682,0.11716210674699835,0.21025203449480964,0.04420591800920663
GBM_grid__1_AutoML_20200713_190553_model_25,0.9213741975467441,0.16219694591672346,0.8761896078737333,0.11392064114810542,0.1918962274613936,0.036824162113914906
GBM_grid__1_AutoML_20200713_190553_model_78,0.9213239969661914,0.1511605331812067,0.8761317597751236,0.11093985567232288,0.18813509955668184,0.03539481568520258
GBM_grid__1_AutoML_20200713_190553_model_98,0.9213110940057282,0.17956629535836055,0.8571415143407841,0.11431055248460616,0.21186739727901696,0.044887794029784815
GBM_grid__1_AutoML_20200713_190553_model_50,0.9212576676850596,0.16050387326570634,0.8755596608387637,0.12117815319120455,0.1916484795637176,0.03672913971908468
GBM_grid__1_AutoML_20200713_190553_model_68,0.9212344826779773,0.15636980170186784,0.874448609527455,0.11417991000991512,0.1933467868441773,0.03738297998296773
GBM_grid__1_AutoML_20200713_190553_model_13,0.921154242392596,0.17387794844708135,0.8735241620184026,0.09396339026899043,0.1961407757555425,0.038471203913986014
GBM_grid__1_AutoML_20200713_190553_model_5,0.9210088824786264,0.16550306966080033,0.8756139970107936,0.1073115028682878,0.1922862752740976,0.03697401165878604
GBM_grid__1_AutoML_20200713_190553_model_61,0.9209740041636241,0.17894301137799806,0.8575577347091669,0.12156806452770527,0.21124822237100035,0.0446258114549076
GBM_grid__1_AutoML_20200713_190553_model_20,0.9209356984997484,0.15034856795182475,0.8760267356430258,0.10549662083561992,0.18808358330897654,0.03537543431034472
GBM_grid__1_AutoML_20200713_190553_model_62,0.9207336865249948,0.18301786164013698,0.8536648038125746,0.12390087945772085,0.21162933607583906,0.044786975887900426
GBM_grid__1_AutoML_20200713_190553_model_86,0.9205514322084506,0.18102873674445924,0.8514575176154258,0.11495912785664487,0.2135924148039076,0.04562171966176451
DRF_1_AutoML_20200713_190553,0.9205244166349804,0.25606308286667023,0.8742523974913462,0.10536759123098678,0.2067281101343016,0.042736511519699934
GBM_grid__1_AutoML_20200713_190553_model_67,0.9204873206236484,0.1600060949829469,0.8753277562865116,0.10886651121287423,0.1892194536127076,0.035804001625491584
GBM_grid__1_AutoML_20200713_190553_model_69,0.9204627243552652,0.15753505225601547,0.8736257968818731,0.11405067879652475,0.19333317968926955,0.037377718368763385
GBM_grid__1_AutoML_20200713_190553_model_60,0.9204528455261604,0.1612457999960758,0.8747672225155179,0.11430934283206272,0.19086777689054532,0.036430508255138994
StackedEnsemble_AllModels_AutoML_20200713_190553,0.9204520390911316,0.14011565768240913,0.8801719074207444,0.1144385740454531,0.18309674669413936,0.03352441864997783
GBM_grid__1_AutoML_20200713_190553_model_16,0.9200032579975171,0.1549680476447487,0.8754098534539392,0.11340230503324325,0.18937858872729524,0.03586424986834203
XGBoost_grid__1_AutoML_20200713_190553_model_3,0.9200004354749156,0.16555060449906078,0.8684465712546616,0.11845663657723167,0.1979803233273051,0.03919620842478428
XGBoost_grid__1_AutoML_20200713_190553_model_6,0.9199742263364744,0.17699684279770486,0.8700259430743411,0.11482848538195385,0.20733683203674147,0.04298856191903195
GBM_grid__1_AutoML_20200713_190553_model_64,0.9199159614056324,0.17633912500561294,0.8606429850986917,0.12428897631540642,0.2076791261392016,0.04313061943394241
GBM_grid__1_AutoML_20200713_190553_model_33,0.9199093083166436,0.1826328389732788,0.8586305115193382,0.13530508041971714,0.2109668339115327,0.04450700501065623
GBM_grid__1_AutoML_20200713_190553_model_56,0.9198955989211512,0.19691587847855252,0.8382047075986896,0.1333623784349596,0.2254462972485418,0.050826032943077866
GBM_grid__1_AutoML_20200713_190553_model_53,0.9198941876598504,0.17761007555941982,0.8725395479687006,0.10783004059190718,0.19416497472824498,0.03770003741122002
GBM_grid__1_AutoML_20200713_190553_model_32,0.9198562852134896,0.16016737689081315,0.8691514697321518,0.11275433448747628,0.19364216105852572,0.037497286539416017
GBM_grid__1_AutoML_20200713_190553_model_23,0.9198379388165808,0.16338754003736625,0.8711922112845487,0.11197733433707613,0.1946410247799377,0.037885128527384314
XGBoost_grid__1_AutoML_20200713_190553_model_1,0.9198290680312624,0.185433800545316,0.8427857343411697,0.12299424487641585,0.21583472168581866,0.04658462708519479
XGBoost_grid__1_AutoML_20200713_190553_model_2,0.9197278604351282,0.16878387573704715,0.8687015412683392,0.12078965311600448,0.20055882923654075,0.04022384398473191
GBM_grid__1_AutoML_20200713_190553_model_49,0.9196683858517424,0.21335888443513398,0.8617940306499124,0.11042212438373243,0.2195313729729735,0.04819402371939882
XGBoost_grid__1_AutoML_20200713_190553_model_15,0.9195782667372566,0.16135350497412654,0.8739349937221204,0.11988221209967052,0.19483935151409512,0.03796237289843312
XGBoost_grid__1_AutoML_20200713_190553_model_8,0.9195502431200004,0.1660601101367228,0.8741912098494683,0.11236563280351897,0.1906481568536145,0.0363467197116804
GBM_grid__1_AutoML_20200713_190553_model_11,0.9195353240719648,0.1611346702104095,0.8751901837643794,0.10731170447704502,0.19042315189947032,0.03626097677932875
GBM_grid__1_AutoML_20200713_190553_model_1,0.9194911717541292,0.19244571297971694,0.8642959789604494,0.117938703679884,0.20505461585016627,0.042047395481459256
XGBoost_1_AutoML_20200713_190553,0.9194494387413809,0.1725684386121509,0.8604920622656064,0.12688106010723166,0.2038289450165357,0.04154623882655393
GBM_grid__1_AutoML_20200713_190553_model_3,0.9193312960096384,0.1588587300665543,0.8725990802283617,0.10718207004614018,0.18994310130118844,0.036078381731913536
GBM_grid__1_AutoML_20200713_190553_model_31,0.9192450074615401,0.16488600911453594,0.8765052512978264,0.10886671282163148,0.19188892695296006,0.036821360287158426
