model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200728_102737_model_21,0.9226093164017334,0.16623010400374258,0.866076955834277,0.11979308056586133,0.1993554210121979,0.03974258388695067
XGBoost_grid__1_AutoML_20200728_102737_model_18,0.922160488241386,0.1649418829563891,0.8715792528779324,0.11979308056586133,0.19593341380375964,0.03838990264479531
XGBoost_grid__1_AutoML_20200728_102737_model_4,0.9214393870841252,0.16225667122419696,0.871689660352504,0.11230054595360904,0.194881050694394,0.037978623919750966
XGBoost_grid__1_AutoML_20200728_102737_model_6,0.9210213253702528,0.17673431110541765,0.8689449486146191,0.11385998250535395,0.2072422747060745,0.04294936042534805
XGBoost_grid__1_AutoML_20200728_102737_model_17,0.9197325531123376,0.1658744812294926,0.8689214468984836,0.11527463577956748,0.1940121966214784,0.03764073243789118
XGBoost_grid__1_AutoML_20200728_102737_model_15,0.9193659698971436,0.16609769126561616,0.8646397801091993,0.11334117576086628,0.19888518828732776,0.039555318120085815
XGBoost_grid__1_AutoML_20200728_102737_model_1,0.9183870740707226,0.1898759981726177,0.8353668258394991,0.14163725756341808,0.21982777150318672,0.04832424912405727
XGBoost_grid__1_AutoML_20200728_102737_model_16,0.9179310067464984,0.1937859787526253,0.8509570527073651,0.12458902663409045,0.2214281783098654,0.04903043814962554
XGBoost_grid__1_AutoML_20200728_102737_model_2,0.9177208699061924,0.17032476018723314,0.8685245188072401,0.10533888335897204,0.2005870486753127,0.04023516409627228
XGBoost_grid__1_AutoML_20200728_102737_model_20,0.9174566404246975,0.17755171752360016,0.8515519889838485,0.12819352698096706,0.20735017284571688,0.042994094179148665
XGBoost_grid__1_AutoML_20200728_102737_model_3,0.9171485737841724,0.17045435606999115,0.8621827654234935,0.11398968419147587,0.20186970591710404,0.04075137816705807
XGBoost_grid__1_AutoML_20200728_102737_model_14,0.9168276375189776,0.2019908495699518,0.8232549806131635,0.14863209965915605,0.22954733939628505,0.05269198102391327
XGBoost_grid__1_AutoML_20200728_102737_model_19,0.9167870177661148,0.16711059978294462,0.8665539556603332,0.10210237384248784,0.19921289845080928,0.03968577890917245
XGBoost_grid__1_AutoML_20200728_102737_model_11,0.9165642123890244,0.17355564307221927,0.8669138229758064,0.11360057913311013,0.20431973922017604,0.041746555835000726
XGBoost_3_AutoML_20200728_102737,0.9158628178445388,0.16661796901307627,0.8629702271154691,0.11862878170904595,0.1982636012567924,0.03930845558331236
XGBoost_grid__1_AutoML_20200728_102737_model_8,0.9157904262057732,0.1693583466807903,0.8714286905263006,0.10467529333695293,0.19029319879321432,0.036211501506953785
XGBoost_grid__1_AutoML_20200728_102737_model_13,0.9152706140218582,0.1997255477015913,0.8627185172869665,0.09874521159472748,0.19701209363343025,0.038813765037827484
XGBoost_1_AutoML_20200728_102737,0.9144127731024844,0.1779770175715817,0.8568221827585336,0.12135553343588815,0.20631159478574812,0.04256447414303875
XGBoost_grid__1_AutoML_20200728_102737_model_5,0.9141962014498436,0.19647888505517933,0.8260143061967545,0.12951165807015955,0.2236689249939351,0.05002778800794257
XGBoost_grid__1_AutoML_20200728_102737_model_12,0.9137898028333284,0.1961615042176365,0.8248698066881659,0.13648236961964227,0.2237569225584568,0.05006716039283122
XGBoost_grid__1_AutoML_20200728_102737_model_7,0.9136699544535941,0.18597893880545294,0.8424467436143793,0.13130938376617501,0.2149209017296399,0.04619099400028153
XGBoost_2_AutoML_20200728_102737,0.9131887511436874,0.1916175512088198,0.8323214951062229,0.13221427925074652,0.21906496059818584,0.04798945696188472
XGBoost_grid__1_AutoML_20200728_102737_model_10,0.9126773846509616,0.208899669764126,0.8076581251219725,0.14735318070762826,0.2353650470670897,0.05539670538089335
XGBoost_grid__1_AutoML_20200728_102737_model_9,0.9085194904432984,0.22612036137685546,0.7741715835497257,0.1374506077881338,0.2500144856881004,0.06250724305388533
