model_id,mae,mean_residual_deviance,rmse,mse,rmsle
GLM_1_AutoML_20200713_194734,0.2822590238304174,0.1873246964724904,0.4328102314785205,0.1873246964724904,0.1574310375534244
StackedEnsemble_BestOfFamily_AutoML_20200713_194734,0.29506781342696586,0.2153974744542052,0.4641093345906816,0.2153974744542052,0.15951676811546645
XGBoost_grid__1_AutoML_20200713_194734_model_41,0.3137069756990856,0.3395231300435442,0.5826861333887603,0.3395231300435442,0.17288159994834856
StackedEnsemble_AllModels_AutoML_20200713_194734,0.3164948323379975,0.25433880286126603,0.5043201392580571,0.25433880286126603,0.16580999756084036
XGBoost_3_AutoML_20200713_194734,0.32083731659294396,0.270354727699945,0.5199564671200321,0.270354727699945,0.1710512353729133
GBM_grid__1_AutoML_20200713_194734_model_54,0.32135218291491885,0.29154042125061225,0.5399448316732111,0.29154042125061225,0.1645919932988823
GBM_grid__1_AutoML_20200713_194734_model_76,0.3224208826118466,0.3170532756976048,0.5630748402278375,0.3170532756976048,0.1743733388515064
GBM_grid__1_AutoML_20200713_194734_model_153,0.323560708074252,0.30050740486706906,0.5481855569668623,0.30050740486706906,0.17492497451296987
XGBoost_grid__1_AutoML_20200713_194734_model_92,0.3238624316669002,0.32638848777445784,0.571304198981994,0.32638848777445784,0.17443078092123446
XGBoost_grid__1_AutoML_20200713_194734_model_4,0.32399200171846704,0.3433901469970541,0.5859950059489023,0.3433901469970541,0.1778976959649367
XGBoost_grid__1_AutoML_20200713_194734_model_107,0.3254075917540137,0.367330774582,0.6060781918053149,0.367330774582,0.1772242397037763
GBM_grid__1_AutoML_20200713_194734_model_82,0.3256893334700309,0.315776029626763,0.5619395248839175,0.315776029626763,0.1670207741763975
XGBoost_grid__1_AutoML_20200713_194734_model_15,0.32959343861673296,0.351567138572581,0.5929309728565214,0.351567138572581,0.1777480651878874
XGBoost_grid__1_AutoML_20200713_194734_model_36,0.3298053391969081,0.3451618182125393,0.5875047388851764,0.3451618182125393,0.17476156669756682
GBM_grid__1_AutoML_20200713_194734_model_43,0.3310449240065277,0.303717118912464,0.5511053609904952,0.303717118912464,0.1739367660917998
GBM_grid__1_AutoML_20200713_194734_model_93,0.3314751578613961,0.2960136456944864,0.5440713608475329,0.2960136456944864,0.1779410959017231
XGBoost_grid__1_AutoML_20200713_194734_model_121,0.33210959853892474,0.3151572714023082,0.5613886990333063,0.3151572714023082,0.17716412581683827
XGBoost_grid__1_AutoML_20200713_194734_model_68,0.33279230030848805,0.3512151064914689,0.5926340409489391,0.3512151064914689,0.18103012966217466
GBM_grid__1_AutoML_20200713_194734_model_1,0.3341836402358686,0.3176346190736968,0.5635908259310977,0.3176346190736968,0.18186222775318894
GBM_grid__1_AutoML_20200713_194734_model_13,0.3343303701447489,0.3419662482764318,0.5847788028617589,0.3419662482764318,0.17406872691678668
GBM_grid__1_AutoML_20200713_194734_model_91,0.33526751110310143,0.3246757963531281,0.5698032961936322,0.3246757963531281,0.17646609020206588
XGBoost_grid__1_AutoML_20200713_194734_model_19,0.3364861408613392,0.4007323390715187,0.6330342321482455,0.4007323390715187,0.1840914773232562
GBM_grid__1_AutoML_20200713_194734_model_44,0.3368035577612786,0.3069486737845318,0.5540294881904138,0.3069486737845318,0.17310463634352188
GBM_grid__1_AutoML_20200713_194734_model_100,0.3403104855967545,0.3455747810815377,0.5878560887509269,0.3455747810815377,0.1847108357220029
GBM_grid__1_AutoML_20200713_194734_model_61,0.3406542280384194,0.3487492936524965,0.5905499925090987,0.3487492936524965,0.1804594221739496
GBM_grid__1_AutoML_20200713_194734_model_148,0.34136365055738177,0.3365797263171733,0.5801549157916127,0.3365797263171733,0.188207532522434
XGBoost_grid__1_AutoML_20200713_194734_model_122,0.34189913237525016,0.3453712651491197,0.5876829631264799,0.3453712651491197,0.17843149827162325
GBM_grid__1_AutoML_20200713_194734_model_94,0.3419527505212453,0.3564998653529638,0.5970760967857981,0.3564998653529638,0.17641951058925676
XGBoost_grid__1_AutoML_20200713_194734_model_108,0.34196660944174245,0.3335938665964641,0.5775758535434667,0.3335938665964641,0.17913183113193806
GBM_grid__1_AutoML_20200713_194734_model_49,0.34217332382220594,0.3475415654176591,0.5895265604005125,0.3475415654176591,0.19087027189141265
XGBoost_grid__1_AutoML_20200713_194734_model_18,0.3423150013556185,0.4150710138694476,0.6442600514306684,0.4150710138694476,0.1891949669817324
XGBoost_grid__1_AutoML_20200713_194734_model_118,0.3425405013960661,0.35250203322121393,0.593718816630578,0.35250203322121393,0.18273236030284748
GBM_grid__1_AutoML_20200713_194734_model_83,0.3434500106812081,0.3488537962228217,0.5906384649028725,0.3488537962228217,0.1764564458411276
XGBoost_grid__1_AutoML_20200713_194734_model_25,0.3436438927484542,0.3675947898073933,0.606295958923852,0.3675947898073933,0.18424831437441933
XGBoost_grid__1_AutoML_20200713_194734_model_21,0.3441505992074603,0.4116329005293098,0.6415862377960657,0.4116329005293098,0.18691958370826786
XGBoost_grid__1_AutoML_20200713_194734_model_82,0.3443585588913603,0.4646380309650862,0.6816436246053257,0.4646380309650862,0.19572556614486414
GBM_grid__1_AutoML_20200713_194734_model_63,0.34439027351211365,0.3601932855325059,0.6001610496629266,0.3601932855325059,0.1859742773722748
GBM_grid__1_AutoML_20200713_194734_model_53,0.34537390868514384,0.3192712973707593,0.5650409696391575,0.3192712973707593,0.18542700465421694
GBM_grid__1_AutoML_20200713_194734_model_12,0.3453860457733928,0.3742742815055682,0.6117796020672543,0.3742742815055682,0.18534949454967936
XGBoost_grid__1_AutoML_20200713_194734_model_17,0.34541268308752593,0.3550075263106393,0.595825080296759,0.3550075263106393,0.182922075654829
XGBoost_grid__1_AutoML_20200713_194734_model_74,0.3456055508139207,0.3503328391525323,0.5918892118906479,0.3503328391525323,0.18454885468767065
XGBoost_grid__1_AutoML_20200713_194734_model_113,0.3466872199601734,0.3593077061182286,0.5994228108090554,0.3593077061182286,0.18332407710704385
DRF_1_AutoML_20200713_194734,0.3475883612990111,0.3857193046610512,0.6210630440309994,0.3857193046610512,0.19034779723156706
XGBoost_grid__1_AutoML_20200713_194734_model_38,0.34772487222841103,0.3572187058819967,0.5976777609063237,0.3572187058819967,0.18630263525911256
XGBoost_grid__1_AutoML_20200713_194734_model_129,0.34797926669575496,0.3121607539973569,0.5587134811308537,0.3121607539973569,0.1870984271825112
GBM_grid__1_AutoML_20200713_194734_model_124,0.3482016653405557,0.34855127078020803,0.5903823090000309,0.34855127078020803,0.18509007112791012
XGBoost_grid__1_AutoML_20200713_194734_model_90,0.3483109323634315,0.4072651827691614,0.6381733171867666,0.4072651827691614,0.2053516195412479
XGBoost_grid__1_AutoML_20200713_194734_model_22,0.3487047212793655,0.4957224594317235,0.7040756063319645,0.4957224594317235,0.200752882716892
GBM_grid__1_AutoML_20200713_194734_model_131,0.34880472789194983,0.35932295784184204,0.5994355326820742,0.35932295784184204,0.17770864360392769
XGBoost_grid__1_AutoML_20200713_194734_model_86,0.3488626886428017,0.4026061765904316,0.6345125503805512,0.4026061765904316,0.1862693691854865
XGBoost_grid__1_AutoML_20200713_194734_model_91,0.34974360688752737,0.456110994689464,0.6753599001195318,0.456110994689464,0.1973811754283863
GBM_grid__1_AutoML_20200713_194734_model_114,0.3498868971668617,0.3670343340822579,0.6058335861292752,0.3670343340822579,0.1866411147671303
XGBoost_grid__1_AutoML_20200713_194734_model_88,0.3502825228977449,0.3833803993126091,0.6191771954074287,0.3833803993126091,0.18368973776313147
XGBoost_grid__1_AutoML_20200713_194734_model_62,0.3511311517087455,0.3446898491983688,0.5871029289642224,0.3446898491983688,0.18071648035376772
XGBoost_grid__1_AutoML_20200713_194734_model_93,0.3511409068998602,0.4570446591736356,0.6760507815050846,0.4570446591736356,0.19665038854210776
XGBoost_grid__1_AutoML_20200713_194734_model_52,0.35240141978276146,0.4018435614655203,0.6339113198748862,0.4018435614655203,0.19161605397686987
XGBoost_grid__1_AutoML_20200713_194734_model_48,0.3526948343232735,0.3101020767735568,0.5568680963868884,0.3101020767735568,0.18222974208748927
XGBoost_grid__1_AutoML_20200713_194734_model_89,0.35286167456009954,0.4617594439286311,0.6795288396592385,0.4617594439286311,0.19610793142930094
GBM_grid__1_AutoML_20200713_194734_model_98,0.3530669719816269,0.3760199841162253,0.6132046837037575,0.3760199841162253,0.19481372597962812
XGBoost_grid__1_AutoML_20200713_194734_model_73,0.3531473642311145,0.5074453260601339,0.7123519678221812,0.5074453260601339,0.2041684304047676
XGBoost_grid__1_AutoML_20200713_194734_model_34,0.3544051205528151,0.3821640578599116,0.6181941910596633,0.3821640578599116,0.185080433332912
XGBoost_grid__1_AutoML_20200713_194734_model_2,0.35464623455227035,0.417908837067734,0.6464586893744518,0.417908837067734,0.1922994318301559
GBM_grid__1_AutoML_20200713_194734_model_121,0.3547256108333997,0.3885506010159608,0.6233382717401209,0.3885506010159608,0.19354007824552366
XGBoost_grid__1_AutoML_20200713_194734_model_26,0.3549966882799089,0.3130934100978219,0.5595475047731174,0.3130934100978219,0.18256732654950295
XGBoost_grid__1_AutoML_20200713_194734_model_77,0.3551765248640296,0.29322253197993764,0.5415002603692243,0.29322253197993764,0.1864409810447283
XGBoost_grid__1_AutoML_20200713_194734_model_78,0.35584061270214845,0.4810223749960707,0.6935577661565551,0.4810223749960707,0.2022898496203792
XGBoost_grid__1_AutoML_20200713_194734_model_67,0.35589772531973946,0.3881057132661392,0.6229813105271612,0.3881057132661392,0.18281617155038254
XGBoost_1_AutoML_20200713_194734,0.35605409441842245,0.3814302832151645,0.6176004235872612,0.3814302832151645,0.18217068036358355
