model_id,mean_per_class_error,logloss,rmse,mse
GBM_2_AutoML_20200713_201638,0.4801685983492402,0.9490376459399709,0.5915204212716964,0.3498964087814451
XGBoost_grid__1_AutoML_20200713_201638_model_6,0.48278356081793705,0.9263187776321123,0.5902170793659895,0.3483562007753188
XGBoost_grid__1_AutoML_20200713_201638_model_2,0.484787221047648,0.9487731772507408,0.5908062198847539,0.34905198945451216
GBM_grid__1_AutoML_20200713_201638_model_9,0.4851503594955524,0.9471919502589142,0.5907569301903957,0.34899375056798
XGBoost_grid__1_AutoML_20200713_201638_model_1,0.4852650633051273,0.942316894059376,0.589772375248907,0.34783145460673764
GBM_1_AutoML_20200713_201638,0.4890624771472634,0.9407291983575856,0.5899788861305859,0.3480750860798869
StackedEnsemble_BestOfFamily_AutoML_20200713_201638,0.4896363347541981,0.9341093586412221,0.5916179336352455,0.35001177939883776
GBM_grid__1_AutoML_20200713_201638_model_5,0.4904615386073792,0.9565739687757968,0.5931137540793835,0.3517839252781394
XGBoost_2_AutoML_20200713_201638,0.4905989935857955,0.9599710926093104,0.5925893881024998,0.35116218289169515
XGBoost_3_AutoML_20200713_201638,0.4957572117142519,0.9538339949712642,0.5907214931176795,0.34895188243118064
XGBoost_grid__1_AutoML_20200713_201638_model_7,0.4958101623512574,0.955505278721568,0.5915436205300295,0.3499238549897755
XGBoost_grid__1_AutoML_20200713_201638_model_5,0.4963045940026835,0.9457642821493067,0.5908827449102931,0.3491424182327225
GBM_4_AutoML_20200713_201638,0.4971863710748139,0.964915956272929,0.5947492576570212,0.35372667948357783
XGBoost_grid__1_AutoML_20200713_201638_model_3,0.4979439308277796,0.9587058979864908,0.5944966673879989,0.3534262875354369
GBM_3_AutoML_20200713_201638,0.4985482587501266,0.9546279829157512,0.5934780641297264,0.35221621260316754
GBM_grid__1_AutoML_20200713_201638_model_6,0.4997653447154181,0.93999228601384,0.5989726384270709,0.3587682215842867
XGBoost_1_AutoML_20200713_201638,0.5000608390631068,0.994015052078027,0.5983646264276524,0.3580402261599041
XGBoost_grid__1_AutoML_20200713_201638_model_4,0.5009812457239992,0.9758145139601959,0.5951404437580264,0.35419214779650066
GBM_grid__1_AutoML_20200713_201638_model_4,0.5023395108173682,0.9364911736479948,0.5963736605208578,0.35566154296304736
GBM_5_AutoML_20200713_201638,0.5038807332268362,0.95274063591521,0.601306894533925,0.3615699814140329
XRT_1_AutoML_20200713_201638,0.5160825033219415,1.1449389214166843,0.6060204084113348,0.367260735411041
GLM_1_AutoML_20200713_201638,0.5175179260251163,0.9603814108692976,0.6034910974322176,0.3642015046799423
GBM_grid__1_AutoML_20200713_201638_model_3,0.5210896563977641,1.0219222599708406,0.6042380308837931,0.36510359796632375
GBM_grid__1_AutoML_20200713_201638_model_2,0.5220593911137185,0.9484807437958704,0.6003112410571345,0.3603735861395571
DRF_1_AutoML_20200713_201638,0.523371950733969,1.6395239065495968,0.6132246227881764,0.3760444379937012
GBM_grid__1_AutoML_20200713_201638_model_1,0.5304562990673646,1.178862419154762,0.6294113481695742,0.39615864520464095
GBM_grid__1_AutoML_20200713_201638_model_8,0.5309364096705468,0.9674338071030052,0.6067009635423679,0.3680860591632377
StackedEnsemble_AllModels_AutoML_20200713_201638,0.53318508509208,0.9562235111711156,0.600312804359307,0.3603754630777357
GBM_grid__1_AutoML_20200713_201638_model_7,0.5347155074675295,1.0207109775515149,0.6130288035155241,0.3758043139396751
