model_id,mean_per_class_error,logloss,rmse,mse
XGBoost_grid__1_AutoML_20200728_121239_model_6,0.4813510914523067,0.9259333321467628,0.5889607644805406,0.3468747820975028
XGBoost_grid__1_AutoML_20200728_121239_model_2,0.4914632740422886,0.9568849342193294,0.5910848290615366,0.349381275146706
XGBoost_grid__1_AutoML_20200728_121239_model_7,0.4923865715703049,0.9675045104075712,0.5923275428649688,0.3508519180364515
XGBoost_grid__1_AutoML_20200728_121239_model_9,0.4937766224170431,0.94868848966857,0.5999258399106675,0.35991101339251985
XGBoost_grid__1_AutoML_20200728_121239_model_8,0.4938799971127922,0.9979494133249402,0.5957796504461058,0.35495339188568403
XGBoost_grid__1_AutoML_20200728_121239_model_4,0.4944451399773381,0.9885562485848031,0.5955582638054051,0.3546896455869085
XGBoost_grid__1_AutoML_20200728_121239_model_1,0.4958897588124764,0.9420798312679184,0.5881687068715798,0.34594242774298645
XGBoost_3_AutoML_20200728_121239,0.4959831632083756,0.9549137132723404,0.5893224640732657,0.3473009666613856
XGBoost_grid__1_AutoML_20200728_121239_model_5,0.4965806349194409,0.9454263643933556,0.589031477564354,0.3469580815616461
XGBoost_2_AutoML_20200728_121239,0.4997315481839815,0.9619816669943898,0.5920657293397287,0.3505418278585849
XGBoost_grid__1_AutoML_20200728_121239_model_3,0.5037871019783164,0.9688611278134596,0.5942337911363816,0.3531137985283168
XGBoost_1_AutoML_20200728_121239,0.513789909781921,1.0122414444900196,0.6006985789325437,0.36083878273157743
