model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
DeepLearning_grid__1_AutoML_20200719_215005_model_32,0.7723592197276408,0.6438386297612522,0.8740544211701673,0.3906970222759696,0.4382512267463676,0.19206413774469608
DeepLearning_grid__2_AutoML_20200719_215005_model_1,0.7686465581202423,0.569119404242302,0.879523336075968,0.4123508070876491,0.4263639637840769,0.1817862296136697
DeepLearning_grid__2_AutoML_20200719_215005_model_27,0.7633623686255265,0.5640540780489818,0.8649022710948394,0.3912841544420492,0.4279655289473312,0.18315449396716896
DeepLearning_grid__3_AutoML_20200719_215005_model_7,0.7564657564657564,0.5332039702164909,0.8619589971133582,0.3418336049914997,0.4181950646469631,0.17488711209507762
DeepLearning_grid__2_AutoML_20200719_215005_model_7,0.7557968347442031,0.5743728499906687,0.8614756155160029,0.4030443240969557,0.42604512418810586,0.18151444784445853
DeepLearning_grid__1_AutoML_20200719_215005_model_7,0.75523891313365,0.6623589037839341,0.8619711933843036,0.3895139947771527,0.4380646280145752,0.19190061831754812
DeepLearning_grid__1_AutoML_20200719_215005_model_38,0.7516314095261464,0.7338929582331465,0.8579660343959331,0.4015984015984016,0.4434385368771755,0.19663773598777012
DeepLearning_grid__1_AutoML_20200719_215005_model_39,0.7507521718048034,0.705412083875258,0.8548764593052517,0.34526000315474,0.4353195101435975,0.18950307591166168
DeepLearning_grid__1_AutoML_20200719_215005_model_3,0.7497823813613287,0.8075845043505094,0.8703590979835787,0.4256445309076888,0.463016919458883,0.21438466770519374
DeepLearning_grid__2_AutoML_20200719_215005_model_2,0.7485993538625118,0.5570310340572472,0.8660815410286246,0.3976374502690293,0.4265464364307787,0.18194186243179636
DeepLearning_grid__1_AutoML_20200719_215005_model_33,0.7449801660327976,0.7458148534439968,0.8580739745813968,0.3618924934714409,0.4520196362975694,0.20432175159858693
DeepLearning_grid__1_AutoML_20200719_215005_model_18,0.7442820337557179,0.7834840197375961,0.8609577743997495,0.3648456806351543,0.4516013068996595,0.20394374039348045
DeepLearning_grid__3_AutoML_20200719_215005_model_14,0.7411010042588991,0.5745975973630495,0.8615849410884296,0.38945265261054735,0.43343439430938735,0.18786537417034546
DeepLearning_grid__1_AutoML_20200719_215005_model_30,0.7409228198701883,0.7850132762105831,0.8576521675128308,0.4025711130974289,0.466814233658265,0.21791552874595324
DeepLearning_grid__1_AutoML_20200719_215005_model_1,0.7407241880926091,0.7609126924197693,0.8531683408026631,0.4494540547172126,0.4528068210399798,0.20503401718033226
DeepLearning_grid__3_AutoML_20200719_215005_model_15,0.7395703711493186,0.5879856618562631,0.8491230027102498,0.40782901309217096,0.4273866077481331,0.18265931248245665
DeepLearning_grid__2_AutoML_20200719_215005_model_24,0.7383727383727383,0.5570950589434289,0.8601752154577771,0.4559826138773507,0.4333963077116853,0.18783235953812175
DeepLearning_grid__2_AutoML_20200719_215005_model_14,0.736985236985237,0.5646304227649224,0.8652694318016732,0.4376675955623324,0.4299330162649304,0.1848423984746609
DeepLearning_grid__1_AutoML_20200719_215005_model_14,0.7352238404869984,0.7370516217357479,0.8525180943131905,0.3963667911036332,0.452300097920781,0.20457537857914804
DeepLearning_grid__3_AutoML_20200719_215005_model_2,0.7330184435447593,0.5507132154929489,0.8629741438999818,0.4095728832570938,0.42919398153367816,0.1842074737847313
DeepLearning_grid__1_AutoML_20200719_215005_model_24,0.7320369688790742,0.7430518448073379,0.8531797640071584,0.4549485602117181,0.458562608411089,0.2102796658327818
DeepLearning_grid__3_AutoML_20200719_215005_model_13,0.7309941520467835,0.6385516717193285,0.8483251231054982,0.4211840790788159,0.4399787957379245,0.19358134069899427
DeepLearning_grid__1_AutoML_20200719_215005_model_34,0.7304333093806779,0.9572828809072124,0.8445303391635567,0.3760712971239287,0.4595341399162181,0.21117162574853826
DeepLearning_grid__1_AutoML_20200719_215005_model_27,0.7270448849396218,0.7095613671916011,0.8471509065267768,0.4595579858737754,0.4507751128297371,0.20319820234666225
