model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200713_202935,0.8023165277257399,0.4846855151755032,0.8973391476502621,0.3403662420382166,0.3989520710106481,0.15916275496368515
GBM_4_AutoML_20200713_202935,0.8002499765829899,0.4904730498623713,0.8977229357110962,0.3901273885350318,0.4018924094400611,0.16151750876553775
StackedEnsemble_AllModels_AutoML_20200713_202935,0.799166939865118,0.4884136581966712,0.8953687502873765,0.3346056575496441,0.40097854900457536,0.16078379676181465
XGBoost_grid__1_AutoML_20200713_202935_model_2,0.7951831210191083,0.4901331019729307,0.8882046329405618,0.3059198201573623,0.4007540597637864,0.16060381641715651
XGBoost_grid__1_AutoML_20200713_202935_model_4,0.7914598164106407,0.4947804591235373,0.8952759180437072,0.3605868302735107,0.40516865225715004,0.16416163677187534
XGBoost_grid__1_AutoML_20200713_202935_model_11,0.7913134600974148,0.4937728036602178,0.8912760020882574,0.3543344885724991,0.4034355883011349,0.16276027390788278
DRF_1_AutoML_20200713_202935,0.7911905207943051,0.4949994426319434,0.8942506013664766,0.3461853690520794,0.4050927587786893,0.16410014321492936
GBM_grid__1_AutoML_20200713_202935_model_6,0.7901982249906332,0.4952978490078573,0.8953105081742394,0.32902070063694266,0.4056145938978571,0.1645231987829235
XGBoost_grid__1_AutoML_20200713_202935_model_6,0.7896684151367553,0.4961223468688005,0.8934992278835681,0.3891438741101537,0.4049188176204062,0.16395924886310784
GLM_1_AutoML_20200713_202935,0.7892732530910453,0.4981445269080954,0.8927555184256386,0.3674480142375422,0.40643888545365214,0.16519256760880702
GBM_grid__1_AutoML_20200713_202935_model_2,0.7892410547021357,0.4938981159037632,0.8944820803457298,0.34624391157736983,0.4053690026222728,0.1643240282869762
XRT_1_AutoML_20200713_202935,0.7892176376920195,0.4943151286831694,0.8917881880722142,0.36837298613713004,0.4046870479421881,0.16377160677216282
GBM_grid__1_AutoML_20200713_202935_model_3,0.7848006041588609,0.5110484165712165,0.8897688862522614,0.35120831772199324,0.41064411894760994,0.16862859242625886
GBM_3_AutoML_20200713_202935,0.7844522761333833,0.5020317740078202,0.8879864287572726,0.3091045335331585,0.4068336538550912,0.1655136219090842
GBM_1_AutoML_20200713_202935,0.780928016110903,0.5080855320487266,0.8870442826066938,0.3684900711877108,0.4105908420879413,0.16858483960648474
GBM_2_AutoML_20200713_202935,0.7779716185837392,0.5080051580990114,0.8842098400244739,0.4289176657924316,0.4110809125726736,0.16898751668158205
GBM_grid__1_AutoML_20200713_202935_model_4,0.7778662420382165,0.5052678367911269,0.8901400147760842,0.3758430123641814,0.41062215023127147,0.16861055026055288
GBM_grid__1_AutoML_20200713_202935_model_7,0.7764612214312476,0.5300508245569961,0.8870957503228897,0.3886521168977145,0.4188631947722454,0.17544637593481194
XGBoost_grid__1_AutoML_20200713_202935_model_5,0.7761011849007119,0.5106348931470602,0.8828469077889116,0.3698365492693893,0.4118594875608977,0.16962823749392525
XGBoost_3_AutoML_20200713_202935,0.7753196421880855,0.5290421174574337,0.8766449026212126,0.39073623079805175,0.4158732276646973,0.17295054148825315
GBM_grid__1_AutoML_20200713_202935_model_1,0.774781050955414,0.5464619270109465,0.8738648498295339,0.3449559760209817,0.4190362304655532,0.17559136244278026
GBM_grid__1_AutoML_20200713_202935_model_5,0.7744912654552266,0.5113881453847355,0.8785566394929962,0.3964382727613338,0.4117947515670885,0.1695749174182001
XGBoost_grid__1_AutoML_20200713_202935_model_3,0.7732267469089547,0.5128764021147122,0.8830722495176868,0.41139003372049454,0.41363695267878003,0.17109552862138733
XGBoost_grid__1_AutoML_20200713_202935_model_8,0.7723134835144249,0.5462552468974237,0.8802104436446079,0.3760888909704009,0.4216123107095774,0.17775694054186925
GBM_grid__1_AutoML_20200713_202935_model_8,0.7708001592356688,0.5118085272178232,0.8834799482342883,0.3761474334956913,0.4140040557124753,0.17139935814637833
XGBoost_grid__1_AutoML_20200713_202935_model_1,0.7705454992506557,0.5134126264574443,0.8760975518001806,0.39827650805545145,0.412193854125385,0.16990377337873916
XGBoost_1_AutoML_20200713_202935,0.7696176002248033,0.5325671973903405,0.8771114110219667,0.3941668227800675,0.4194956139089944,0.1759765700888841
XGBoost_grid__1_AutoML_20200713_202935_model_7,0.7686399400524541,0.5212504929642643,0.8764523776224322,0.3827041963282128,0.4155575523546597,0.1726880793189957
GBM_5_AutoML_20200713_202935,0.7597619660921694,0.5217491153963902,0.8727933054086076,0.423765923566879,0.4177090325822691,0.17448083590081515
XGBoost_grid__1_AutoML_20200713_202935_model_9,0.7547477988010491,0.5300442882372424,0.8713643090454727,0.44098913450730615,0.4207292826607459,0.17701312928822582
XGBoost_grid__1_AutoML_20200713_202935_model_10,0.7545428999625328,0.5255443065913558,0.8592525336330988,0.3565942300487074,0.4179877018828199,0.17471371892528115
XGBoost_2_AutoML_20200713_202935,0.753386685088048,0.5352302377621171,0.8691592428600583,0.3827041963282128,0.4225664516616221,0.178562406069894
