model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
XGBoost_grid__1_AutoML_20200728_122914_model_6,0.7888650826830175,0.4996615202487633,0.8898088401391143,0.33897714604236345,0.4063190325403874,0.16509515620455642
XGBoost_grid__1_AutoML_20200728_122914_model_2,0.7887576644370122,0.4985053962623856,0.8892775977856442,0.3396042363433668,0.4061753145080792,0.16497838611573706
XGBoost_grid__1_AutoML_20200728_122914_model_4,0.7886415366034931,0.5012812895732032,0.8900088991477071,0.3301282051282052,0.4068126349871292,0.16549651998517126
XGBoost_grid__1_AutoML_20200728_122914_model_11,0.7870796172426607,0.5005340961435832,0.8865162014655787,0.35674470457079155,0.4067428057550418,0.16543971003348368
XGBoost_3_AutoML_20200728_122914,0.7824548262727611,0.5216687910971352,0.8769871021769206,0.374059364548495,0.4135779447878524,0.17104671641494387
XGBoost_grid__1_AutoML_20200728_122914_model_3,0.7748861947231512,0.5136649221702304,0.8818343633817923,0.39140886287625415,0.4142742149176676,0.17162312514564984
XGBoost_grid__1_AutoML_20200728_122914_model_8,0.7726594435154218,0.5483516228643923,0.8756034956896899,0.3732929208472686,0.42018384951295656,0.17655446739152694
XGBoost_2_AutoML_20200728_122914,0.7694630248978075,0.5197946191303796,0.8731230409384985,0.4133570234113712,0.4155342921916103,0.1726687479871825
XGBoost_grid__1_AutoML_20200728_122914_model_1,0.7677036882199926,0.5185869769336273,0.871108815683116,0.3790760869565218,0.4143627149858286,0.17169645957042706
XGBoost_grid__1_AutoML_20200728_122914_model_5,0.7650617800074322,0.5218415483712078,0.8720470732255062,0.3869147157190635,0.4172208340041765,0.17407322432714062
XGBoost_grid__1_AutoML_20200728_122914_model_9,0.7595747398736529,0.5308625244325147,0.8723044511548508,0.430497491638796,0.42119104869108825,0.17740189949749866
XGBoost_grid__1_AutoML_20200728_122914_model_10,0.7592031308063917,0.5231754938198393,0.8627966897215699,0.4173982720178373,0.4168201327840788,0.1737390230941371
XGBoost_grid__1_AutoML_20200728_122914_model_7,0.7561954199182459,0.532656973619377,0.868233011159129,0.43192586399108135,0.4223486534230116,0.17837838504823114
XGBoost_1_AutoML_20200728_122914,0.7560270345596433,0.5446054063068285,0.8664534018284705,0.39259336677814943,0.4250167399562697,0.18063922924305534
