model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200713_203328,0.8388888888888889,0.4742871391918007,0.7222513646860143,0.2417980636237897,0.3937719815975024,0.15505637349122378
StackedEnsemble_AllModels_AutoML_20200713_203328,0.8343706777316735,0.4792042694905866,0.719625234827328,0.2443245735361917,0.3961991063813458,0.15697373189737696
XGBoost_grid__1_AutoML_20200713_203328_model_1,0.8340525587828492,0.4709355121100665,0.7136170700253149,0.24508068234209315,0.3952902101057033,0.15625435020541106
XGBoost_grid__1_AutoML_20200713_203328_model_3,0.8327662517289073,0.4790695055457292,0.7037277976589424,0.2392899953895805,0.3986016553787223,0.15888327967065774
GLM_1_AutoML_20200713_203328,0.8320516366989397,0.4823693939754105,0.7120225375123821,0.2429091747349009,0.3960954568728582,0.15689161095531826
GBM_4_AutoML_20200713_203328,0.8315352697095435,0.4837141429648391,0.7113614779870433,0.2447856154910097,0.4010906958191648,0.1608737462727018
XGBoost_grid__1_AutoML_20200713_203328_model_4,0.8295758414015676,0.4909972684168779,0.7048935555895127,0.24144306131857998,0.4022821225278921,0.16183090610554599
GBM_grid__1_AutoML_20200713_203328_model_4,0.8295251267865376,0.4774894740270067,0.7120896443404003,0.2358091286307054,0.3976740741587466,0.15814466925801632
GBM_grid__1_AutoML_20200713_203328_model_5,0.8283079760258184,0.4808668151658209,0.7280698503380848,0.2488473951129553,0.3997957411482949,0.15983663464031442
XGBoost_2_AutoML_20200713_203328,0.8271046565237438,0.4878992257272629,0.6931821060658591,0.2469202397418165,0.40384351021198994,0.16308958074034166
GBM_grid__1_AutoML_20200713_203328_model_6,0.826726602120793,0.4798340083298999,0.7058481038098241,0.2536652835408022,0.3981799619048781,0.15854728206257016
XGBoost_grid__1_AutoML_20200713_203328_model_6,0.8263577685569388,0.4856266365107974,0.7103453018564101,0.2398801290917473,0.3993063228199771,0.1594455394440118
XGBoost_3_AutoML_20200713_203328,0.8260027662517289,0.5161601880238017,0.685973636184,0.2421807284462886,0.4080213068814966,0.16648138686928446
GBM_1_AutoML_20200713_203328,0.8257676348547719,0.4892910294941564,0.7153310862500649,0.2480313508529276,0.4026769474155208,0.16214872397988206
XRT_1_AutoML_20200713_203328,0.8255002305209773,0.5725821270703961,0.7028717691967469,0.2434393729829415,0.398485326663644,0.158790555566231
GBM_5_AutoML_20200713_203328,0.8247948363301061,0.4847678467431146,0.7002115448463361,0.2432134624250807,0.4004491503693517,0.1603595220315356
DRF_1_AutoML_20200713_203328,0.8247533425541724,0.4827298202047698,0.7016521903636816,0.2394467496542185,0.3992055758291969,0.15936509177312064
GBM_3_AutoML_20200713_203328,0.8244444444444444,0.4916069066114941,0.7117800905845001,0.2550023052097741,0.40329463456779907,0.16264656227117458
GBM_grid__1_AutoML_20200713_203328_model_3,0.8238543107422776,0.5059187747708316,0.7072414887156665,0.2454356846473029,0.4057432599196912,0.16462759297025809
GBM_grid__1_AutoML_20200713_203328_model_8,0.8226509912402029,0.4847240559765327,0.7070844319955151,0.2455232826187183,0.40155058811312455,0.16124287481399618
GBM_2_AutoML_20200713_203328,0.8225818349469802,0.4908905450113086,0.7038524017135174,0.2418165053019825,0.4031019363098297,0.16249117105673394
GBM_grid__1_AutoML_20200713_203328_model_1,0.8221945597049332,0.5254083788896147,0.6968122537539849,0.24484555094513602,0.4130521165339319,0.1706120509731609
XGBoost_grid__1_AutoML_20200713_203328_model_7,0.8201982480405716,0.494196260303617,0.7020752968278352,0.2441770401106501,0.40437868416963696,0.163522120210767
XGBoost_1_AutoML_20200713_203328,0.8184970032272937,0.5064571121634653,0.6732543336018812,0.24409866297833105,0.4096627979293898,0.16782360800733606
XGBoost_grid__1_AutoML_20200713_203328_model_2,0.8176579068695251,0.4995489366351677,0.6919849699918896,0.2525541724296911,0.4060904377894701,0.16490944366404348
XGBoost_grid__1_AutoML_20200713_203328_model_5,0.8149377593360996,0.4976923085430551,0.6809067024195364,0.24640848317196865,0.4066553575924411,0.16536857985863612
GBM_grid__1_AutoML_20200713_203328_model_2,0.8107146150299678,0.4967492100260175,0.6941883731475017,0.2638220378054403,0.40692057984040997,0.16558435829765544
GBM_grid__1_AutoML_20200713_203328_model_7,0.8021530659289996,0.5287061787823314,0.6620717275710476,0.25714615029967725,0.4205104933520522,0.17682907501918632
