model_id,mae,mean_residual_deviance,rmse,mse,rmsle
DeepLearning_grid__3_AutoML_20200720_133809_model_1,2.2442282128159303,8.670427049016121,2.944558888698971,8.670427049016121,0.6645555685334381
DeepLearning_grid__2_AutoML_20200720_133809_model_7,2.262289569171874,8.878798327270884,2.979731250846439,8.878798327270884,0.682744323247675
DeepLearning_grid__1_AutoML_20200720_133809_model_1,2.2626707919154474,9.5280237736459,3.086749710236627,9.5280237736459,0.7000183422403535
DeepLearning_grid__2_AutoML_20200720_133809_model_3,2.2646807565998013,9.41384047491029,3.0681982456989787,9.41384047491029,0.7292143973284217
DeepLearning_grid__2_AutoML_20200720_133809_model_9,2.2649852362640885,8.231095410739236,2.868988569293931,8.231095410739236,0.6882486084613738
DeepLearning_grid__1_AutoML_20200720_133809_model_5,2.2662339235766717,9.522422069737956,3.085842197802401,9.522422069737956,0.7416356491089297
DeepLearning_grid__1_AutoML_20200720_133809_model_10,2.27286528891864,9.326214224472977,3.0538851033516266,9.326214224472977,
DeepLearning_grid__1_AutoML_20200720_133809_model_3,2.2787352845573308,10.029866770973381,3.1669964905211656,10.029866770973381,0.6920171682984685
DeepLearning_grid__3_AutoML_20200720_133809_model_7,2.2811109064374238,9.258059846461217,3.0427060072345498,9.258059846461217,0.6832784370624525
DeepLearning_grid__3_AutoML_20200720_133809_model_2,2.2834335973340263,9.163251587755543,3.027086319838855,9.163251587755543,0.7159985215991933
DeepLearning_grid__2_AutoML_20200720_133809_model_1,2.2862814669921905,8.607123948397144,2.933790031409396,8.607123948397144,0.6753274633942296
DeepLearning_grid__3_AutoML_20200720_133809_model_6,2.286519411553268,9.180348940813989,3.0299090647763656,9.180348940813989,0.7028715192108331
DeepLearning_grid__1_AutoML_20200720_133809_model_7,2.286982228824169,9.788009430429527,3.1285794588646025,9.788009430429527,
DeepLearning_grid__2_AutoML_20200720_133809_model_2,2.2885011573682723,9.579082611380512,3.095009307155717,9.579082611380512,0.6990386046225013
DeepLearning_grid__3_AutoML_20200720_133809_model_9,2.2959231096101345,8.972731313292087,2.99545177115107,8.972731313292087,0.6917845402980567
DeepLearning_grid__1_AutoML_20200720_133809_model_9,2.29777526915382,8.98059496520316,2.9967640823400097,8.98059496520316,
DeepLearning_grid__3_AutoML_20200720_133809_model_3,2.3061030145959918,9.388058832027012,3.0639939347242526,9.388058832027012,
DeepLearning_grid__2_AutoML_20200720_133809_model_18,2.3200515194250686,9.71743730810218,3.1172804346260183,9.71743730810218,0.6996952790705853
DeepLearning_grid__2_AutoML_20200720_133809_model_21,2.3212886808672017,10.185960191288727,3.1915451103327253,10.185960191288727,0.6936892768914591
DeepLearning_grid__3_AutoML_20200720_133809_model_5,2.3214416914215783,10.087864487372423,3.1761398721360536,10.087864487372423,0.7179957060122693
DeepLearning_grid__2_AutoML_20200720_133809_model_6,2.3252651433027594,10.166569980458457,3.1885059166415943,10.166569980458457,
DeepLearning_1_AutoML_20200720_133809,2.3288630558877097,9.426338634294813,3.070234296319226,9.426338634294813,
DeepLearning_grid__2_AutoML_20200720_133809_model_14,2.3423685621152903,9.676977313587482,3.1107840351891163,9.676977313587482,0.6810413782161648
DeepLearning_grid__2_AutoML_20200720_133809_model_10,2.342537269523899,9.896512731300902,3.1458723323270608,9.896512731300902,
DeepLearning_grid__2_AutoML_20200720_133809_model_13,2.350775016770372,9.956060764454778,3.155322608617822,9.956060764454778,
DeepLearning_grid__2_AutoML_20200720_133809_model_24,2.353379037583532,9.317819547605836,3.052510368140596,9.317819547605836,0.7256612276207257
DeepLearning_grid__1_AutoML_20200720_133809_model_14,2.355819421956816,9.938570133242132,3.152549782833276,9.938570133242132,0.7301075446226242
DeepLearning_grid__2_AutoML_20200720_133809_model_20,2.376610401090942,10.667790876321027,3.266158427927376,10.667790876321027,
DeepLearning_grid__1_AutoML_20200720_133809_model_2,2.381148303763008,10.64407406264552,3.2625257183117378,10.64407406264552,
DeepLearning_grid__2_AutoML_20200720_133809_model_23,2.386712540467102,10.293555585017577,3.208357147360246,10.293555585017577,
DeepLearning_grid__2_AutoML_20200720_133809_model_15,2.4025025287556643,10.72818314039211,3.275390532500225,10.72818314039211,0.7050838324464398
DeepLearning_grid__2_AutoML_20200720_133809_model_12,2.4057278947201803,10.779939070990968,3.2832817532144523,10.779939070990968,
DeepLearning_grid__1_AutoML_20200720_133809_model_13,2.4103735841131693,10.70834870689711,3.2723613350143825,10.70834870689711,
DeepLearning_grid__2_AutoML_20200720_133809_model_17,2.4178623731426345,11.104058087830994,3.33227521189817,11.104058087830994,0.7336000886850479
