model_id,mae,mean_residual_deviance,rmse,mse,rmsle
XGBoost_grid__1_AutoML_20200713_205912_model_16,2.168531998369088,7.290156105605866,2.700028908290774,7.290156105605866,0.6897889716710259
XGBoost_grid__1_AutoML_20200713_205912_model_22,2.1811142437327717,7.431978954232445,2.7261656138672947,7.431978954232445,0.7018287384823575
XGBoost_grid__1_AutoML_20200713_205912_model_11,2.1888855143758645,7.495173200429788,2.7377313966913897,7.495173200429788,0.7025311017049312
StackedEnsemble_BestOfFamily_AutoML_20200713_205912,2.1925353375239998,7.326411185949796,2.7067344136338525,7.326411185949796,0.6999874645334919
XGBoost_grid__1_AutoML_20200713_205912_model_6,2.1968028798363983,7.586401164585072,2.7543422381006093,7.586401164585072,0.7054757163196109
XRT_1_AutoML_20200713_205912,2.213059766201125,7.4224075356080315,2.7244095755976248,7.4224075356080315,0.7078527147153407
XGBoost_grid__1_AutoML_20200713_205912_model_9,2.221635708663241,7.399735238327102,2.720245437148475,7.399735238327102,0.7028129030922151
XGBoost_grid__1_AutoML_20200713_205912_model_1,2.2291968207075663,7.80931338885055,2.7945148754033413,7.80931338885055,
GBM_grid__1_AutoML_20200713_205912_model_5,2.231237884125928,7.58263855057117,2.7536591202563847,7.58263855057117,0.7161232201882287
GBM_grid__1_AutoML_20200713_205912_model_1,2.2354099427596994,7.829072015713337,2.798047893749022,7.829072015713337,0.7294104521858176
GBM_grid__1_AutoML_20200713_205912_model_4,2.2358801530775447,7.433225252621383,2.7263941851136235,7.433225252621383,0.7079055356388334
GBM_grid__1_AutoML_20200713_205912_model_3,2.2398645481204884,7.920094634165187,2.814266269237008,7.920094634165187,0.7272132679451967
StackedEnsemble_AllModels_AutoML_20200713_205912,2.239930938341859,7.575342276267144,2.752333968882981,7.575342276267144,0.7140944132852353
XGBoost_grid__1_AutoML_20200713_205912_model_2,2.2511113041658493,8.441415729894814,2.905411456213183,8.441415729894814,0.7370995190141906
GBM_4_AutoML_20200713_205912,2.2514091920697648,7.68489763375482,2.7721647919549843,7.68489763375482,0.7174405038715543
XGBoost_grid__1_AutoML_20200713_205912_model_10,2.2529927774832563,7.975919538230149,2.8241670521111435,7.975919538230149,0.7371824086043878
GBM_2_AutoML_20200713_205912,2.2565818668814592,7.908719622011719,2.8122445878713536,7.908719622011719,0.7204673663351842
DRF_1_AutoML_20200713_205912,2.2590338386304336,7.851135008156983,2.8019876887946853,7.851135008156983,0.7200997448064205
XGBoost_grid__1_AutoML_20200713_205912_model_14,2.2655364794363164,8.088487794462969,2.844026686665047,8.088487794462969,0.7417554624518908
GBM_grid__1_AutoML_20200713_205912_model_6,2.268094123922113,7.630219901694511,2.762285267979126,7.630219901694511,0.7157651996385963
GBM_grid__1_AutoML_20200713_205912_model_7,2.270811442546749,8.018276296457133,2.8316561049070086,8.018276296457133,0.7347629150197398
XGBoost_grid__1_AutoML_20200713_205912_model_4,2.2715950330354007,8.291898652311785,2.8795657055034853,8.291898652311785,0.7327185422518715
GBM_grid__1_AutoML_20200713_205912_model_2,2.2747443390503053,7.755332923848349,2.784839838096322,7.755332923848349,0.7249640336285494
GBM_3_AutoML_20200713_205912,2.28120238059735,7.979251482696526,2.824756889131616,7.979251482696526,0.7319337023329606
XGBoost_2_AutoML_20200713_205912,2.282585125356625,8.29469677268363,2.8800515225744885,8.29469677268363,
GLM_1_AutoML_20200713_205912,2.283864650964858,7.7096415770713085,2.7766241332004777,7.7096415770713085,0.7177914575165857
XGBoost_3_AutoML_20200713_205912,2.2878760395517688,8.432207486451526,2.9038263526684114,8.432207486451526,0.7651428953336034
GBM_1_AutoML_20200713_205912,2.2931614289974998,7.968193733722459,2.8227989184003985,7.968193733722459,0.7272392272286914
GBM_5_AutoML_20200713_205912,2.2949396565272,7.683750903164339,2.7719579547973563,7.683750903164339,0.7162377754497192
XGBoost_grid__1_AutoML_20200713_205912_model_19,2.299534776682256,8.398122931640678,2.8979515060885124,8.398122931640678,0.7402531303170992
XGBoost_grid__1_AutoML_20200713_205912_model_5,2.313828471197576,8.412038770801827,2.9003514909062016,8.412038770801827,
XGBoost_grid__1_AutoML_20200713_205912_model_15,2.31460646772308,8.515947145945216,2.9182095788248685,8.515947145945216,0.7663388908672533
XGBoost_grid__1_AutoML_20200713_205912_model_7,2.322846761278784,8.649067138836124,2.9409296385388277,8.649067138836124,
XGBoost_grid__1_AutoML_20200713_205912_model_21,2.3388468884770126,8.8814514997378,2.980176420908299,8.8814514997378,0.7829699949406862
XGBoost_grid__1_AutoML_20200713_205912_model_18,2.3431748008996345,8.994887364172712,2.9991477729803027,8.994887364172712,0.7868743564464072
XGBoost_grid__1_AutoML_20200713_205912_model_12,2.3487904302751903,8.609576613451353,2.9342080044624232,8.609576613451353,0.7779719083734776
XGBoost_grid__1_AutoML_20200713_205912_model_13,2.3564542867363074,8.884284565695944,2.9806517015068943,8.884284565695944,0.7544699602734244
XGBoost_grid__1_AutoML_20200713_205912_model_20,2.3778345067401414,9.029504489166962,3.004913391292162,9.029504489166962,
XGBoost_grid__1_AutoML_20200713_205912_model_17,2.40095071930594,9.169288290147014,3.0280832700153764,9.169288290147014,0.8055374338621907
XGBoost_grid__1_AutoML_20200713_205912_model_3,2.4106060628722337,9.270038845185537,3.0446738487374208,9.270038845185537,0.8044179429919663
XGBoost_grid__1_AutoML_20200713_205912_model_8,2.4609164007223687,9.647397938007176,3.1060260684687075,9.647397938007176,0.8091117687341333
XGBoost_1_AutoML_20200713_205912,2.4816661069822463,10.034644388701825,3.167750682850819,10.034644388701825,
