model_id,mean_per_class_error,logloss,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200713_220130,0.2176981788213424,0.6355718932248462,0.443808945824279,0.1969663803936578
StackedEnsemble_AllModels_AutoML_20200713_220130,0.2281000927069084,0.8037781018972474,0.5171070177865963,0.2673996678441472
GLM_1_AutoML_20200713_220130,0.2540370061854782,0.6594236971402365,0.4462895917440861,0.19917439969910306
XGBoost_grid__1_AutoML_20200713_220130_model_14,0.2681331222186596,0.7305567637047471,0.4845116572521496,0.23475154601322445
GBM_5_AutoML_20200713_220130,0.2688370102804419,0.6768842333725431,0.4679024682087766,0.2189327197558652
XGBoost_grid__1_AutoML_20200713_220130_model_15,0.27174979239019714,0.6777198818707751,0.4636792714554258,0.2149984667774344
XGBoost_grid__1_AutoML_20200713_220130_model_11,0.2720587635069395,0.7205011499188678,0.4840282236064172,0.2342833212475838
XGBoost_grid__1_AutoML_20200713_220130_model_3,0.2726830814358368,0.6796768150672059,0.4633021162925299,0.2146488509611369
XGBoost_grid__1_AutoML_20200713_220130_model_19,0.27327710873519684,0.6760627959195158,0.4636948811999793,0.21501294285106287
XGBoost_grid__1_AutoML_20200713_220130_model_5,0.2768200339140016,0.7141092132951748,0.4773192376559856,0.2278336546364913
XGBoost_grid__1_AutoML_20200713_220130_model_1,0.27710179769886634,0.6974918485272878,0.4726188137634222,0.2233685431231444
GBM_grid__1_AutoML_20200713_220130_model_9,0.2779168933858388,0.7042499614934756,0.4660087933374278,0.21716419546780555
XGBoost_2_AutoML_20200713_220130,0.27799949684507863,0.7010150182785242,0.4718667098055728,0.2226581918227367
XGBoost_grid__1_AutoML_20200713_220130_model_10,0.2788084129430455,0.7370265242143176,0.487441953554443,0.2375996580849717
XGBoost_grid__1_AutoML_20200713_220130_model_12,0.2796312668797329,0.7144758413896019,0.47704403528594,0.2275710116018931
XGBoost_grid__1_AutoML_20200713_220130_model_7,0.27970156362355364,0.7079513762787008,0.4725914833299604,0.22334271011601226
XGBoost_grid__1_AutoML_20200713_220130_model_6,0.2800059421054531,0.7647537699024602,0.5028919308952595,0.2529002941595625
XGBoost_grid__1_AutoML_20200713_220130_model_18,0.2815907693822721,0.7110659555765275,0.4725491094018831,0.2233026607965128
GBM_2_AutoML_20200713_220130,0.281798753441984,0.7362488638562045,0.4751141762419,0.22573348046601915
GBM_grid__1_AutoML_20200713_220130_model_3,0.2824365953330109,0.7856077714722345,0.4785563317310851,0.2290161626399124
XGBoost_grid__1_AutoML_20200713_220130_model_4,0.2832225842269926,0.6919567292333971,0.4682357146264512,0.21924468445174344
XGBoost_grid__1_AutoML_20200713_220130_model_2,0.283352178001781,0.6850601882259438,0.4703191376750577,0.22120009126340984
GBM_grid__1_AutoML_20200713_220130_model_5,0.28346442528963245,0.7095314224972674,0.4727632875839254,0.22350512608716136
GBM_grid__1_AutoML_20200713_220130_model_11,0.2836327380641298,0.7278190406860375,0.4709809274626274,0.22182303403355672
XGBoost_grid__1_AutoML_20200713_220130_model_16,0.28563495082180496,0.7923645053402429,0.5139113361902018,0.2641048614647987
GBM_grid__1_AutoML_20200713_220130_model_4,0.286193440476794,0.714047086051838,0.4807243690773242,0.23109591902479146
XGBoost_3_AutoML_20200713_220130,0.2863662147730731,0.6994561970317875,0.4685890164738132,0.2195756663598956
GBM_grid__1_AutoML_20200713_220130_model_12,0.2877634083935814,0.7074277784911348,0.4722437330558965,0.22301414341056885
XGBoost_1_AutoML_20200713_220130,0.2880977592177934,0.7244207390774915,0.4765504188275867,0.2271003016847483
GBM_4_AutoML_20200713_220130,0.2886838307884264,0.7517395083840726,0.4783546757940037,0.2288231958539864
DRF_1_AutoML_20200713_220130,0.2891986545531899,1.1952736175674616,0.4738614405383119,0.2245446648290441
GBM_1_AutoML_20200713_220130,0.2902604808103142,0.7433430174790591,0.4761027308713405,0.22667381034314804
XGBoost_grid__1_AutoML_20200713_220130_model_8,0.2912992378612672,0.7157279724116732,0.4743757365751662,0.2250323394512315
XRT_1_AutoML_20200713_220130,0.2919480389948236,1.06823172446203,0.4879552421368174,0.2381003183288001
GBM_3_AutoML_20200713_220130,0.29308365143287085,0.7325436721007399,0.4754667412896809,0.2260686220726283
XGBoost_grid__1_AutoML_20200713_220130_model_17,0.2953103915158103,0.7666461506602219,0.4822359482233266,0.2325515097588509
GBM_grid__1_AutoML_20200713_220130_model_10,0.2953265512125074,0.7216166493890228,0.4832383896935558,0.2335193412736209
XGBoost_grid__1_AutoML_20200713_220130_model_13,0.3010914367443777,0.9637560779068322,0.5065631481013524,0.25660622301435265
XGBoost_grid__1_AutoML_20200713_220130_model_9,0.30159607044557546,0.8464701697086701,0.5369561306396125,0.2883218862314646
GBM_grid__1_AutoML_20200713_220130_model_1,0.3035774367446762,1.3676868447401045,0.5256447878143745,0.2763024429564188
GBM_grid__1_AutoML_20200713_220130_model_2,0.3077785939787016,0.778418928531112,0.5028363551143683,0.25284440002470315
GBM_grid__1_AutoML_20200713_220130_model_6,0.30930733332334953,0.7691189651927074,0.4997469375257022,0.2497470015663181
GBM_grid__1_AutoML_20200713_220130_model_8,0.30992959884138743,0.7594836784070625,0.4948143726841477,0.24484126341480664
GBM_grid__1_AutoML_20200713_220130_model_7,0.3564357110109567,1.2883819989023528,0.5637603996201945,0.3178257881799214
