model_id,mean_per_class_error,logloss,rmse,mse
XGBoost_grid__1_AutoML_20200728_131032_model_19,0.27785181088586003,0.6680697047294646,0.4651874828431222,0.21639939419392012
XGBoost_grid__1_AutoML_20200728_131032_model_12,0.2783036313307473,0.7057011256409454,0.4774468853095266,0.2279555282917683
XGBoost_grid__1_AutoML_20200728_131032_model_11,0.2807358048587021,0.7311069602790325,0.4920013317902325,0.2420653104833624
XGBoost_grid__1_AutoML_20200728_131032_model_15,0.28223684188836673,0.6658117417710375,0.4640955127696365,0.21538464497291185
XGBoost_grid__1_AutoML_20200728_131032_model_5,0.2826743585163945,0.7117847186544054,0.4795719918745774,0.22998929539054974
XGBoost_grid__1_AutoML_20200728_131032_model_7,0.2836844763875516,0.6925670662049277,0.4721999436420032,0.22297278677551105
XGBoost_grid__1_AutoML_20200728_131032_model_4,0.2843476122256973,0.6826786062843366,0.4694971893023442,0.2204276107628012
XGBoost_grid__1_AutoML_20200728_131032_model_20,0.2859868414458725,0.6865294533672542,0.4701446403978213,0.2210359828947967
XGBoost_grid__1_AutoML_20200728_131032_model_1,0.286370722575508,0.6950061447974651,0.4769663527303564,0.22749690163689876
XGBoost_grid__1_AutoML_20200728_131032_model_14,0.2865029243294129,0.7279896744778921,0.4870419007247897,0.23720981306161595
XGBoost_grid__1_AutoML_20200728_131032_model_10,0.28689108913591593,0.7346579031166607,0.4890747641422084,0.2391941249207568
XGBoost_grid__1_AutoML_20200728_131032_model_3,0.2883743505105884,0.6697942503015187,0.4649127332213282,0.21614384951132595
XGBoost_grid__1_AutoML_20200728_131032_model_6,0.2891974834626046,0.7584795697500399,0.5032717848051278,0.25328248938093884
XGBoost_2_AutoML_20200728_131032,0.2893522533398597,0.6908895654995317,0.4732499330420793,0.22396549912433253
XGBoost_grid__1_AutoML_20200728_131032_model_16,0.2919696508231041,0.7898639638014459,0.516359364550253,0.266626993358741
XGBoost_grid__1_AutoML_20200728_131032_model_2,0.2929932422308144,0.6769095305313932,0.4709807649395112,0.22182288094300712
XGBoost_3_AutoML_20200728_131032,0.2933636986487508,0.7039600383148872,0.4728297604978831,0.22356798241248546
XGBoost_grid__1_AutoML_20200728_131032_model_18,0.29375654915170685,0.7039902093335416,0.4739761192709034,0.22465336163910565
XGBoost_grid__1_AutoML_20200728_131032_model_8,0.29592381751001096,0.7173613319235397,0.4769885529960208,0.2275180796892377
XGBoost_1_AutoML_20200728_131032,0.3007843662526943,0.7217473313548275,0.4803882278813675,0.2307728494870007
XGBoost_grid__1_AutoML_20200728_131032_model_9,0.3014796004400479,0.8379319290473887,0.5353149186678956,0.2865620621484157
XGBoost_grid__1_AutoML_20200728_131032_model_17,0.30488465744552906,0.7621002937372708,0.4837271969076719,0.2339920010281535
XGBoost_grid__1_AutoML_20200728_131032_model_13,0.31152136160155874,0.9613733436038108,0.5110818584040995,0.261204665989788
