att1,att2,att3,att4,att5,att6,class
1.0,0.0,0.0,127.2628614,1.32963668,1647.72023493,1
1.0,0.0,0.0,129.3468614,1.21089933,1635.04409893,1
1.0,0.0,0.0,127.1298614,1.27032101,1739.28312447,1
1.0,0.0,0.0,135.8468614,1.36688949,1640.18658283,1
1.0,0.0,0.0,134.3248614,1.30199634,1785.05823338,1
1.0,0.0,0.0,132.4228614,1.23697413,1655.20500139,1
1.0,0.0,0.0,133.0348614,1.25094805,1718.36727738,1
1.0,0.0,0.0,134.8208614,1.27699841,1897.19666116,1
1.0,0.0,0.0,124.3848614,1.36477753,1788.18041959,1
1.0,0.0,0.0,136.6488614,1.27365953,1712.3832063,1
1.0,0.0,0.0,125.4428614,1.29821497,1591.47252937,1
1.0,0.0,0.0,128.3048614,1.24511603,1543.95558114,1
1.0,0.0,0.0,128.7428614,1.29212545,1698.45440055,1
1.0,0.0,0.0,127.8828614,1.32794238,1631.55110911,1
1.0,0.0,0.0,129.8508614,1.29914115,1551.03520209,1
1.0,0.0,0.0,136.9788614,1.30855017,1963.71145831,1
1.0,0.0,0.0,127.1468614,1.21953048,1521.02281449,1
1.0,0.0,0.0,131.0668614,1.24636898,1795.98588722,1
1.0,0.0,0.0,122.9048614,1.20199446,1439.53493978,1
1.0,0.0,0.0,127.1388614,1.19219994,1613.15094017,1
0.0,2.0,0.0,137.6168614,1.32842727,3366.23137946,2
0.0,3.0,1.0,153.9088614,1.35545472,4170.92337429,2
0.0,3.0,1.0,136.0788614,1.47533756,4657.63654828,2
0.0,3.0,1.0,139.6588614,1.38427079,4088.05286275,2
0.0,3.0,1.0,150.3548614,1.76573138,6730.24760501,2
0.0,3.0,1.0,140.0818614,1.48406818,4474.20867859,2
0.0,2.0,0.0,139.2618614,1.24106179,2250.27669541,2
0.0,3.0,1.0,157.3168614,1.7514705,6954.97464162,2
0.0,3.0,1.0,141.6108614,1.35826209,4615.54173256,2
0.0,2.0,0.0,132.7708614,1.28617456,2900.26113608,2
0.0,2.0,0.0,141.0248614,1.3173262,2880.77025986,2
0.0,2.0,0.0,132.2908614,1.30721225,3196.2958112,2
0.0,2.0,0.0,137.0628614,1.33724728,3381.2786131,2
0.0,2.0,0.0,144.5808614,1.34612235,3621.02675614,2
0.0,3.0,1.0,135.5078614,1.44172323,4255.36281077,2
0.0,3.0,1.0,148.4008614,1.45660389,4637.84050622,2
0.0,2.0,0.0,171.3688614,1.93834816,8498.50095303,3
0.0,2.0,0.0,200.9428614,2.11105728,12115.81579562,3
0.0,2.0,0.0,193.0688614,1.957658,10291.73573528,3
0.0,2.0,0.0,194.6908614,2.00544152,10439.85147866,3
0.0,2.0,0.0,200.6128614,2.19288939,12560.34517675,3
0.0,2.0,0.0,204.4748614,2.20228202,13686.01870696,3
0.0,2.0,0.0,187.3388614,1.91697367,9772.3308844,3
0.0,2.0,0.0,185.3208614,1.94155803,11312.41586538,3
0.0,2.0,0.0,177.1748614,2.04042927,9774.5042111,3
0.0,2.0,0.0,185.6768614,1.995461,11184.70834278,3
0.0,2.0,0.0,175.8008614,1.90038901,8519.37828777,3
0.0,2.0,0.0,193.0028614,1.83638771,10251.05966211,3
0.0,2.0,0.0,187.7768614,1.9672889,10303.50151967,3
0.0,2.0,0.0,205.0028614,2.08812892,12375.0608582,3
0.0,2.0,0.0,199.6608614,1.93872756,12370.72520003,3
0.0,2.0,0.0,172.1948614,1.93222064,8935.58405193,3
0.0,2.0,0.0,184.5428614,1.92677449,10506.45990458,3
0.0,2.0,0.0,169.9368614,1.78779705,8925.45314633,3
0.0,2.0,0.0,204.6988614,2.07961675,12819.32766214,3
0.0,2.0,0.0,199.7108614,1.92782593,11420.75538351,3
