model_id,mae,mean_residual_deviance,rmse,mse,rmsle
DeepLearning_grid__2_AutoML_20200720_171012_model_1,151.0374634371656,43004.19710462813,207.37453340424457,43004.19710462813,0.3367863999629905
DeepLearning_grid__1_AutoML_20200720_171012_model_9,151.2671812732254,42605.80342768505,206.41173277622818,42605.80342768505,0.3332984109156411
DeepLearning_grid__2_AutoML_20200720_171012_model_7,152.30559846847396,42697.108346292545,206.63278623270926,42697.108346292545,0.340112607942985
DeepLearning_grid__3_AutoML_20200720_171012_model_1,152.8254117913069,42494.709561188,206.14244968270847,42494.709561188,0.3372318859294027
DeepLearning_grid__1_AutoML_20200720_171012_model_7,155.346354748958,43783.68917098556,209.24552365817902,43783.68917098556,0.3421981576393071
DeepLearning_grid__2_AutoML_20200720_171012_model_9,156.08018555534892,43817.25777660457,209.32572172717946,43817.25777660457,0.34369503789627576
DeepLearning_grid__2_AutoML_20200720_171012_model_5,157.11145300525473,44990.931277016585,212.11065809387458,44990.931277016585,0.3467071951704671
DeepLearning_grid__1_AutoML_20200720_171012_model_1,158.5144947399832,46185.500259707565,214.90812050666577,46185.500259707565,0.35069619281303965
DeepLearning_grid__3_AutoML_20200720_171012_model_2,158.7181371130245,46431.45259794515,215.47958742754537,46431.45259794515,0.3539546070169341
DeepLearning_grid__2_AutoML_20200720_171012_model_2,160.71320871812418,48926.609564212704,221.19360199656026,48926.609564212704,0.36075644105790056
DeepLearning_grid__3_AutoML_20200720_171012_model_5,161.10443906753045,47962.17767285157,219.00268873429744,47962.17767285157,0.3587792251511923
DeepLearning_grid__3_AutoML_20200720_171012_model_4,164.3101627445039,53535.29336376003,231.37695080487174,53535.29336376003,0.3728274844167505
DeepLearning_grid__1_AutoML_20200720_171012_model_10,164.40192551646382,47948.030090159715,218.97038633148483,47948.030090159715,0.3637292721828327
DeepLearning_1_AutoML_20200720_171012,164.9967240119996,48233.68513824166,219.6216864024171,48233.68513824166,0.3624619497208879
DeepLearning_grid__2_AutoML_20200720_171012_model_4,165.1358436627142,51146.42459452994,226.1557529547501,51146.42459452994,0.3694445236075745
DeepLearning_grid__2_AutoML_20200720_171012_model_6,167.13271004467256,56832.53107394128,238.3957446640801,56832.53107394128,0.3799899608581498
DeepLearning_grid__2_AutoML_20200720_171012_model_8,167.1330637931394,54532.19378815807,233.52129193749772,54532.19378815807,0.37535672251511415
DeepLearning_grid__1_AutoML_20200720_171012_model_5,167.35924459539456,55757.54761564406,236.1303614862859,55757.54761564406,0.37260319743352616
DeepLearning_grid__1_AutoML_20200720_171012_model_3,169.42097781410695,52752.76106855213,229.67969232945285,52752.76106855213,0.3775565585225811
DeepLearning_grid__3_AutoML_20200720_171012_model_6,169.7160680463879,54314.69797858022,233.05513935242925,54314.69797858022,0.38543837126428176
DeepLearning_grid__3_AutoML_20200720_171012_model_3,170.76143940319045,54073.276267638066,232.5366127465481,54073.276267638066,0.3695040918224229
DeepLearning_grid__2_AutoML_20200720_171012_model_3,171.8850306305635,53418.32591428518,231.12404875798882,53418.32591428518,0.37798988875634826
DeepLearning_grid__1_AutoML_20200720_171012_model_4,172.89864837438031,58120.27977891853,241.0814795435737,58120.27977891853,0.3944872194321023
DeepLearning_grid__1_AutoML_20200720_171012_model_11,175.2855442459045,53489.602534133934,231.2781929498195,53489.602534133934,0.3958742738970766
DeepLearning_grid__1_AutoML_20200720_171012_model_8,176.693446712785,63080.171557721806,251.15766274936107,63080.171557721806,0.4003223097243185
DeepLearning_grid__1_AutoML_20200720_171012_model_2,177.92153443953342,56834.43597657648,238.3997398836175,56834.43597657648,0.3818434481265496
DeepLearning_grid__1_AutoML_20200720_171012_model_6,186.22988996710097,65691.33601783204,256.30321109543684,65691.33601783204,
DeepLearning_grid__1_AutoML_20200720_171012_model_12,187.67455554939855,69752.87316498868,264.1076923623935,69752.87316498868,0.4365260543951051
DeepLearning_grid__1_AutoML_20200720_171012_model_13,198.83866704119893,85197.395630783,291.88592914147637,85197.395630783,0.4524522044067484
