model_id,mae,mean_residual_deviance,rmse,mse,rmsle
XGBoost_grid__1_AutoML_20200713_211543_model_9,155.86451871630172,45401.08529285172,213.07530427727124,45401.08529285172,0.3447242211386224
GBM_grid__1_AutoML_20200713_211543_model_5,155.9475014679179,44894.473271255614,211.88315948006726,44894.473271255614,0.3479720420775207
StackedEnsemble_AllModels_AutoML_20200713_211543,155.99826290782724,44631.80484971898,211.26240756395583,44631.80484971898,0.3452268021625857
StackedEnsemble_BestOfFamily_AutoML_20200713_211543,156.6149594940856,44528.98000816874,211.01890912467712,44528.98000816874,0.3455576256677173
XGBoost_grid__1_AutoML_20200713_211543_model_16,156.91965635057906,46022.87324479169,214.5294227950835,46022.87324479169,0.3465547789054329
GBM_grid__1_AutoML_20200713_211543_model_4,157.26836122546817,44550.18418164211,211.0691454989149,44550.18418164211,0.3433100723548008
GBM_grid__1_AutoML_20200713_211543_model_6,157.30274116701372,44116.877839745255,210.0401814885553,44116.877839745255,0.3439810129089398
GBM_5_AutoML_20200713_211543,158.27346676819718,44443.340503998,210.81589243697448,44443.340503998,0.3447313737204048
GBM_grid__1_AutoML_20200713_211543_model_9,160.02810780506994,45265.238620877266,212.75628926280243,45265.238620877266,0.3470125749636358
GLM_1_AutoML_20200713_211543,160.2960612571629,45808.987244968455,214.03034187929632,45808.987244968455,0.3492417236063868
GBM_2_AutoML_20200713_211543,160.54734312664144,46483.18535614794,215.5995949814098,46483.18535614794,0.3532269368576253
XGBoost_grid__1_AutoML_20200713_211543_model_22,161.20707595180457,46005.20801098646,214.48824678985667,46005.20801098646,0.3481088845353012
GBM_grid__1_AutoML_20200713_211543_model_2,162.23881865364314,46576.832456423435,215.8166639915079,46576.832456423435,0.35339752532274393
XRT_1_AutoML_20200713_211543,162.32797115947642,46249.09314743302,215.05602327633844,46249.09314743302,0.3523868191484993
XGBoost_grid__1_AutoML_20200713_211543_model_6,162.38057053257043,47468.78500385041,217.87332329555724,47468.78500385041,0.3553696574679636
GBM_4_AutoML_20200713_211543,162.39636493182246,46866.93895575374,216.48773396142727,46866.93895575374,0.35309113161110617
GBM_3_AutoML_20200713_211543,162.42311249471243,47851.15561835613,218.74906998283703,47851.15561835613,0.3579559468145689
XGBoost_grid__1_AutoML_20200713_211543_model_11,162.76520602803834,47531.78357816482,218.0178515125879,47531.78357816482,0.3570372526024376
DRF_1_AutoML_20200713_211543,163.26746415995976,46893.99016085631,216.55020240317558,46893.99016085631,0.3554679124709538
GBM_grid__1_AutoML_20200713_211543_model_8,164.10696341685102,47004.18994479132,216.804497058505,47004.18994479132,0.3523170878978133
GBM_grid__1_AutoML_20200713_211543_model_3,165.58450501215358,49341.43084402557,222.1293110870908,49341.43084402557,0.3658150663684273
XGBoost_grid__1_AutoML_20200713_211543_model_4,167.2991103051414,48916.0496357,221.1697303785037,48916.0496357,0.3630693190929578
XGBoost_grid__1_AutoML_20200713_211543_model_19,167.36570052026022,50460.613423305535,224.63439946567746,50460.613423305535,0.36932787195481004
XGBoost_grid__1_AutoML_20200713_211543_model_15,167.57468887114192,50241.01363651606,224.14507274646044,50241.01363651606,0.3699367779014258
XGBoost_grid__1_AutoML_20200713_211543_model_5,168.66130517234262,50798.36352029915,225.3849230101675,50798.36352029915,0.3676532816046891
XGBoost_grid__1_AutoML_20200713_211543_model_14,169.06119999415438,50013.79770625425,223.6376482309145,50013.79770625425,0.3655322479594056
GBM_grid__1_AutoML_20200713_211543_model_7,170.6169034257329,51028.13842879031,225.89408675038467,51028.13842879031,0.3666606660285896
GBM_1_AutoML_20200713_211543,170.7153690582663,51841.300511844915,227.68684747223526,51841.300511844915,0.3729906088551439
XGBoost_grid__1_AutoML_20200713_211543_model_1,171.35080149475957,51739.263750363294,227.46266451961583,51739.263750363294,0.3779363193730237
XGBoost_grid__1_AutoML_20200713_211543_model_2,172.46946281110738,52902.558268015724,230.00556138497112,52902.558268015724,0.3795600484762698
XGBoost_grid__1_AutoML_20200713_211543_model_10,172.8158829380089,51948.647970624836,227.9224604347383,51948.647970624836,0.3769822868063691
XGBoost_grid__1_AutoML_20200713_211543_model_13,173.04239514847873,54231.57065709835,232.87672845756472,54231.57065709835,0.3765464175361678
XGBoost_2_AutoML_20200713_211543,173.3824862627916,52188.95801236424,228.44902716440757,52188.95801236424,0.3715101229391857
GBM_grid__1_AutoML_20200713_211543_model_1,173.84917752069137,53071.26411438439,230.37201243724118,53071.26411438439,0.37562950017735264
XGBoost_grid__1_AutoML_20200713_211543_model_21,174.81946295080053,53826.68849448204,232.00579409678986,53826.68849448204,0.381841356089236
XGBoost_3_AutoML_20200713_211543,174.89594956518903,54059.66588263918,232.50734586812342,54059.66588263918,0.3846987418919343
XGBoost_grid__1_AutoML_20200713_211543_model_3,178.06236288581096,54781.143407645584,234.05371906390548,54781.143407645584,0.38501912369062063
XGBoost_grid__1_AutoML_20200713_211543_model_12,178.57130894190826,53819.31102036585,231.98989422034282,53819.31102036585,0.3810113581303922
XGBoost_grid__1_AutoML_20200713_211543_model_17,180.4577534635302,56868.20170188831,238.4705468226387,56868.20170188831,0.3891636010770233
XGBoost_1_AutoML_20200713_211543,182.77293310031087,59867.615871996386,244.67859708604755,59867.615871996386,0.401826473559138
XGBoost_grid__1_AutoML_20200713_211543_model_7,184.9146321793677,60860.42826539745,246.69906417616883,60860.42826539745,0.4128521371474317
XGBoost_grid__1_AutoML_20200713_211543_model_18,185.65770560251158,60018.50838839612,244.9867514548412,60018.50838839612,0.4089967350616903
XGBoost_grid__1_AutoML_20200713_211543_model_8,185.9008854610819,59123.64757360068,243.15354731856308,59123.64757360068,0.3963333594890047
XGBoost_grid__1_AutoML_20200713_211543_model_20,186.33901639051842,58078.51688963832,240.99484826368862,58078.51688963832,0.3927423874623001
