model_id,mae,mean_residual_deviance,rmse,mse,rmsle
XGBoost_grid__1_AutoML_20200728_132908_model_9,148.2187054056517,41141.25934320139,202.83308246733662,41141.25934320139,0.33581830448850586
XGBoost_grid__1_AutoML_20200728_132908_model_16,148.43844196158398,41353.555045088695,203.35573521562821,41353.555045088695,0.33750768244744794
XGBoost_grid__1_AutoML_20200728_132908_model_6,152.18410717601506,42898.71157363972,207.12004145818366,42898.71157363972,0.34465248440073243
XGBoost_grid__1_AutoML_20200728_132908_model_44,153.05789173824687,42669.60992610877,206.56623617161827,42669.60992610877,0.34150707011561177
XGBoost_grid__1_AutoML_20200728_132908_model_22,153.83934719461791,42977.52392008718,207.3102118085049,42977.52392008718,0.3421129346905581
XGBoost_grid__1_AutoML_20200728_132908_model_11,154.7439810524524,44082.76438622498,209.9589588139191,44082.76438622498,0.3484791213918937
XGBoost_grid__1_AutoML_20200728_132908_model_36,158.28909871275997,46113.28831557797,214.7400482340869,46113.28831557797,0.3589384917475253
XGBoost_grid__1_AutoML_20200728_132908_model_43,159.25128442468778,48929.85937794076,221.200947958956,48929.85937794076,0.37404520811460973
XGBoost_grid__1_AutoML_20200728_132908_model_41,159.27524115334094,46426.33079165536,215.46770243276688,46426.33079165536,0.35876938968450545
XGBoost_grid__1_AutoML_20200728_132908_model_15,159.9416978862924,47020.068939811135,216.84111450509369,47020.068939811135,0.35681236033419816
XGBoost_grid__1_AutoML_20200728_132908_model_24,160.55259693844218,47848.85950960171,218.74382164898216,47848.85950960171,0.3632071298035671
XGBoost_grid__1_AutoML_20200728_132908_model_19,161.17095657133717,45571.84636107896,213.47563411565025,45571.84636107896,0.3582924035249033
XGBoost_grid__1_AutoML_20200728_132908_model_17,162.06512418934997,49274.03670183094,221.97755900502852,49274.03670183094,0.3670410509512066
XGBoost_grid__1_AutoML_20200728_132908_model_5,162.23045752082072,47382.570450817126,217.67537860497023,47382.570450817126,0.3668055924727288
XGBoost_grid__1_AutoML_20200728_132908_model_4,162.55842257217626,46010.00719905032,214.4994340296737,46010.00719905032,0.359003802792976
XGBoost_grid__1_AutoML_20200728_132908_model_25,164.2376238325952,48212.77184047773,219.57406914405385,48212.77184047773,0.3696163926385603
XGBoost_grid__1_AutoML_20200728_132908_model_14,164.38424446213412,48009.15750773788,219.10992106186768,48009.15750773788,0.3684512695087142
XGBoost_grid__1_AutoML_20200728_132908_model_10,165.1749697403169,48895.5817549897,221.1234536520034,48895.5817549897,0.36979862804293895
XGBoost_grid__1_AutoML_20200728_132908_model_39,165.44301530005228,48246.55313858177,219.6509802814041,48246.55313858177,0.3699544517451216
XGBoost_grid__1_AutoML_20200728_132908_model_38,165.60020521996725,48347.6155094424,219.88091210799172,48347.6155094424,0.3724127377079229
XGBoost_grid__1_AutoML_20200728_132908_model_23,165.68272990911782,49215.8097830888,221.8463652690501,49215.8097830888,0.37312026968709866
XGBoost_grid__1_AutoML_20200728_132908_model_2,165.9328146383796,48120.42715574751,219.36368695786342,48120.42715574751,0.3702101497657355
XGBoost_1_AutoML_20200728_132908,165.95296392306474,49374.57529209267,222.2039047633787,49374.57529209267,0.3737824649371246
XGBoost_grid__1_AutoML_20200728_132908_model_12,166.54762214338277,49438.84813256593,222.3484835400636,49438.84813256593,0.3709158354753141
XGBoost_grid__1_AutoML_20200728_132908_model_13,166.70578755123515,49605.13700830915,222.72210713871482,49605.13700830915,0.3692124572114014
XGBoost_grid__1_AutoML_20200728_132908_model_21,167.22650479598784,48162.358364714026,219.45924078223283,48162.358364714026,0.37403310530127015
