model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
DeepLearning_grid__1_AutoML_20200720_171116_model_3,0.9250546502384738,0.4319538664954186,0.8682889200949153,0.1577826907790143,0.3346441754895573,0.11198672418908563
DeepLearning_grid__1_AutoML_20200720_171116_model_2,0.9220985691573926,0.4815582317338252,0.8649065656385906,0.15079242845786964,0.32612802544161257,0.10635948897844508
DeepLearning_grid__3_AutoML_20200720_171116_model_1,0.9193138910969794,0.38984514420440974,0.856657183398256,0.1439114666136725,0.3266080270300397,0.1066728033204551
DeepLearning_grid__2_AutoML_20200720_171116_model_3,0.9175452106518284,0.5739135889852011,0.862141047539165,0.16767935214626392,0.3523548546732957,0.12415394361183935
DeepLearning_grid__1_AutoML_20200720_171116_model_1,0.9140823728139904,0.4781725095222949,0.8463802864484478,0.16340172893481714,0.33777175806773074,0.11408976054816565
DeepLearning_1_AutoML_20200720_171116,0.913133445945946,0.37906560951332396,0.8371232535791232,0.1633470786963434,0.3312974605469608,0.10975800736486503
DeepLearning_grid__2_AutoML_20200720_171116_model_2,0.9077901430842608,0.5079239108839076,0.8418743922879205,0.15454590620031794,0.3561581781549479,0.1268486478666516
DeepLearning_grid__2_AutoML_20200720_171116_model_1,0.9063294912559616,0.4578624531567547,0.8282773992615521,0.15424532988871226,0.3470696863636453,0.12045736719255914
DeepLearning_grid__1_AutoML_20200720_171116_model_4,0.8941350357710652,1.3023549592814203,0.8266452030478147,0.1810537559618442,0.3807640967770827,0.14498129739446758
DeepLearning_grid__2_AutoML_20200720_171116_model_4,0.8816300675675676,1.1316714405134698,0.8038873959250139,0.1966241057233704,0.40259878585640463,0.16208578237305116
