model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20200713_212701,0.9362535384615384,0.29992046907211906,0.9036214460882256,0.12523076923076926,0.29926613178021505,0.08956021763069305
StackedEnsemble_BestOfFamily_AutoML_20200713_212701,0.9361772307692308,0.2997206101989187,0.9030704516964732,0.1308923076923077,0.2999877309597409,0.08999263872637389
GBM_grid__1_AutoML_20200713_212701_model_2,0.9327507692307692,0.3068812589863981,0.9004417882789271,0.13163076923076922,0.30395859776251466,0.09239082915375417
GBM_grid__1_AutoML_20200713_212701_model_1,0.9326104615384616,0.333006396785932,0.9035253528905952,0.1339076923076923,0.3066813133704595,0.09405342797063
GBM_2_AutoML_20200713_212701,0.932192,0.3092573701781369,0.9014039411463272,0.14055384615384614,0.3060246876511353,0.09365110945197493
GBM_grid__1_AutoML_20200713_212701_model_6,0.9316603076923076,0.3086651055180842,0.899963718398221,0.12892307692307692,0.3049560850778787,0.0929982138260264
GBM_3_AutoML_20200713_212701,0.9303163076923078,0.311020226217355,0.9015268455418821,0.13366153846153844,0.30604916681280075,0.09366609250680956
XGBoost_grid__1_AutoML_20200713_212701_model_13,0.9301563076923076,0.4026225336420485,0.8983352800869431,0.14301538461538466,0.329739721286252,0.10872828379393516
GBM_4_AutoML_20200713_212701,0.9299347692307692,0.3145593783793586,0.9013014526820128,0.1347076923076923,0.3036215273035416,0.09218603184213524
XGBoost_grid__1_AutoML_20200713_212701_model_4,0.9298830769230769,0.3073620804985586,0.9036159759126664,0.1347076923076923,0.3038386269067825,0.09231791120059896
GBM_grid__1_AutoML_20200713_212701_model_3,0.929129846153846,0.32841202618790355,0.8951190608535877,0.13015384615384618,0.3120794339875007,0.0973935731179588
GBM_1_AutoML_20200713_212701,0.9290584615384616,0.3154610904538578,0.8972241957319226,0.13255384615384616,0.3080362514308061,0.09488633219554282
DRF_1_AutoML_20200713_212701,0.9287581538461538,0.4082160310701294,0.8986100258110123,0.13772307692307692,0.30792329059253565,0.09481675288933514
GBM_grid__1_AutoML_20200713_212701_model_8,0.9286744615384616,0.3156191839103614,0.8969841167626753,0.13944615384615386,0.3089801818129385,0.0954687527531565
GBM_grid__1_AutoML_20200713_212701_model_4,0.9281969230769233,0.3135351506624547,0.8958183163166589,0.14843076923076925,0.3087922168315201,0.09535263317572452
GBM_grid__1_AutoML_20200713_212701_model_7,0.9278941538461538,0.35550233318114866,0.8880784064925792,0.13138461538461538,0.3185506460023955,0.10147451406854352
XGBoost_grid__1_AutoML_20200713_212701_model_17,0.9275273846153846,0.3244525642135153,0.8962934173074008,0.1388923076923077,0.3095757436416376,0.09583714105127293
XGBoost_grid__1_AutoML_20200713_212701_model_2,0.9268578461538459,0.31477587104330895,0.8966031771850149,0.1454153846153846,0.30905989306762593,0.09551801750297237
GBM_grid__1_AutoML_20200713_212701_model_5,0.9265747692307692,0.3213060801731545,0.8930651849319803,0.14356923076923078,0.3117580754620138,0.09719309761577867
XGBoost_grid__1_AutoML_20200713_212701_model_8,0.9263532307692308,0.3350490292134557,0.8969499749548353,0.13033846153846154,0.3133413646013441,0.0981828107702325
XRT_1_AutoML_20200713_212701,0.9261415384615383,0.3629518148134477,0.8902738941071893,0.14603076923076924,0.31587798850976384,0.09977890362497448
