V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,Class
4.91,2.7414,0,0,0,0,2,52.9,0,2,0,-0.302,3.364,0.629,10.06,5,1.018,1.0979999999999999,0,0,0,1.2790000000000001,3,0,0,0,2.333,0.004,0,10.717,1.207,0,1,0,0,3.767,2.5,0,8.427,0,0,2
4.0,2.9193,0,0,0,0,0,30.0,2,1,0,0.16699999999999998,2.279,0.8109999999999999,8.318,0,0.998,1.146,0,0,0,1.195,0,0,0,0,1.732,-0.596,0,9.443999999999999,1.0,0,0,0,0,3.261,3.167,0,7.097,0,0,2
4.646,3.9619,0,0,0,0,0,34.3,2,5,0,-0.18899999999999997,3.707,2.5869999999999997,10.202,10,1.0170000000000001,1.137,0,0,0,1.1840000000000002,0,0,0,0,2.1069999999999998,0.0,0,21.879,6.086,0,0,0,0,3.535,2.775,0,8.578,0,0,2
4.6419999999999995,3.0034,0,0,0,0,2,42.1,1,1,0,0.0,3.093,1.187,9.631,2,0.987,1.12,0,0,0,1.256,1,0,0,0,2.2,-0.024,0,0.0,1.4869999999999999,0,1,0,1,3.639,2.315,0,8.009,0,0,2
4.914,3.2253,0,0,0,0,2,41.7,0,4,0,-0.9520000000000001,3.571,1.59,10.236,10,1.03,1.121,0,0,0,1.202,1,0,0,0,2.307,0.001,0,22.204,2.465,0,0,0,0,3.764,2.833,0,8.591000000000001,2,0,2
4.414,2.18,0,0,0,0,0,31.6,0,1,0,0.0,2.755,0.802,9.183,2,0.98,1.1420000000000001,0,0,0,1.149,1,0,0,0,2.101,-0.066,0,0.0,0.975,0,0,0,1,3.159,2.119,0,7.119,0,0,2
4.414,2.3717,0,0,0,0,0,29.4,1,2,0,0.0,2.7889999999999997,1.203,9.209,1,1.004,1.147,0,0,0,1.141,1,0,0,0,2.1519999999999997,-0.07400000000000001,0,0.0,1.496,0,0,0,1,3.238,2.405,0,7.242999999999999,0,0,2
4.651,2.7156,0,0,0,0,0,31.3,0,1,0,0.292,2.826,0.917,9.502,3,0.998,1.148,0,0,0,1.19,1,0,0,0,2.214,-0.07400000000000001,0,10.5,0.9179999999999999,0,0,2,0,3.4819999999999998,2.452,1,7.624,0,0,2
3.975,2.8897,0,0,0,0,0,32.3,2,0,0,0.0,3.699,3.322,9.707,0,0.961,1.141,0,0,0,1.209,0,0,0,0,1.9780000000000002,0.0,0,0.0,8.122,0,0,0,0,2.9939999999999998,1.55,0,7.896,0,0,2
3.9730000000000003,3.0163,0,0,0,0,0,32.7,2,1,0,0.0,3.68,3.301,9.649,1,0.968,1.14,0,0,0,1.202,0,0,0,0,1.975,0.0,0,0.0,7.718,0,0,0,1,3.1289999999999996,1.8159999999999998,0,7.984,0,0,2
3.4139999999999997,2.1848,0,0,0,0,0,18.2,2,1,0,0.0,2.211,1.0,7.4079999999999995,0,1.0070000000000001,1.178,0,0,0,0.9990000000000001,0,0,0,0,1.618,-0.603,0,0.0,1.7069999999999999,0,0,1,3,2.79,3.25,1,6.251,0,0,2
4.414,3.1682,0,0,0,0,0,31.6,3,1,0,0.287,2.7680000000000002,1.379,9.222000000000001,1,0.98,1.1420000000000001,0,0,0,1.224,0,0,0,0,2.0,0.126,0,10.254000000000001,2.133,0,0,0,0,3.325,2.5,0,7.473,0,0,2
5.098,3.8431,1,0,0,0,0,17.6,0,3,0,0.0,3.176,1.5,9.872,3,1.041,1.159,0,0,0,1.131,0,0,0,0,2.112,-0.085,0,19.811,2.472,0,0,1,2,4.692,3.552,1,9.315,0,0,2
4.372,3.4629,0,0,0,0,0,38.5,2,0,0,2.495,3.1289999999999996,1.922,9.494,0,0.9640000000000001,1.128,0,0,0,1.288,0,0,0,0,2.031,-0.023,0,0.0,3.412,0,0,0,0,3.363,2.033,0,7.909,0,0,2
3.802,2.8425,0,0,0,0,0,31.6,2,1,0,0.0,2.7460000000000004,1.95,8.394,1,0.98,1.1420000000000001,0,0,0,1.169,0,0,0,0,1.848,0.129,0,0.0,2.885,0,0,0,1,3.1039999999999996,2.3569999999999998,0,7.119,0,0,2
5.072,3.1939,0,0,0,0,2,43.8,0,4,0,-1.165,3.8080000000000003,2.123,10.379000000000001,12,1.015,1.117,0,0,0,1.235,1,0,0,0,2.351,0.0,0,23.409000000000002,3.342,0,0,0,0,3.795,2.7039999999999997,0,8.776,2,0,2
4.414,2.8449,0,0,0,0,0,41.7,0,1,1,0.040999999999999995,2.898,0.802,9.183,2,1.016,1.128,0,0,0,1.254,1,0,0,0,2.101,-0.08199999999999999,0,10.249,0.975,0,0,2,1,3.535,2.738,1,7.809,0,0,2
4.235,2.7848,0,0,0,0,0,29.6,2,1,0,0.0,2.946,1.975,9.118,1,0.973,1.146,0,0,0,1.168,0,0,0,0,1.962,0.039,0,0.0,3.449,0,0,0,1,3.0639999999999996,2.093,0,7.229,0,0,2
4.691,3.9139,0,0,0,0,0,26.7,0,5,0,-2.845,3.138,1.436,9.666,5,1.0859999999999999,1.153,0,0,0,1.0659999999999998,0,0,0,0,2.117,0.053,0,19.412,2.428,0,0,0,3,3.49,4.2410000000000005,0,8.03,0,0,2
4.476,3.72,0,0,0,0,0,31.3,1,3,0,-0.644,2.985,1.5,9.345,4,1.032,1.143,0,0,0,1.156,0,0,0,0,2.042,-0.08800000000000001,0,20.291,2.34,0,0,0,0,3.458,3.292,0,7.864,0,0,2
4.77,2.6687,0,0,0,0,0,38.5,3,0,0,4.7219999999999995,3.1310000000000002,1.185,9.882,0,0.9640000000000001,1.128,0,0,0,1.264,1,0,0,0,2.2359999999999998,0.012,0,0.0,1.74,0,0,0,0,3.533,1.75,0,7.981,0,0,2
4.645,1.7575,1,0,0,0,3,45.7,0,3,0,0.0,4.173,0.0,10.642000000000001,12,0.993,1.107,0,0,0,1.297,3,0,0,0,2.2359999999999998,0.0,0,0.0,3.6039999999999996,0,0,0,0,3.957,2.043,0,9.309,0,0,2
4.2139999999999995,2.9483,0,0,0,0,0,23.5,1,1,0,0.0,2.5869999999999997,1.459,8.755,0,0.991,1.1640000000000001,0,0,0,1.127,0,0,0,0,1.902,-0.223,0,0.0,2.052,0,0,1,1,3.077,2.5,1,6.954,0,0,2
5.075,2.9203,0,0,0,0,2,36.4,4,4,0,-0.888,4.159,2.681,10.794,14,0.986,1.1320000000000001,0,0,0,1.21,1,0,0,0,2.3569999999999998,0.0,0,25.14,5.827999999999999,0,0,0,0,3.795,2.19,0,8.941,2,0,2
4.414,2.1543,0,0,1,0,0,30.0,0,0,2,0.0,2.736,0.802,9.183,0,0.97,1.149,0,0,0,1.165,1,0,0,0,2.101,-0.064,0,0.0,0.975,0,0,2,2,3.1430000000000002,1.8330000000000002,1,7.082999999999999,0,0,2
4.3469999999999995,3.1896,0,0,0,0,0,33.3,1,2,0,-0.312,3.3710000000000004,2.565,9.488999999999999,4,0.985,1.139,0,0,0,1.195,0,0,0,0,2.015,0.004,0,10.607000000000001,4.993,0,0,0,0,3.423,2.282,0,7.952000000000001,0,0,2
4.17,2.9651,0,0,0,0,0,33.3,2,0,2,0.0,2.499,0.971,8.597000000000001,0,0.9790000000000001,1.145,0,0,0,1.271,0,0,0,0,1.848,0.368,0,0.0,1.5419999999999998,0,0,1,0,3.33,2.767,1,7.322,0,0,2
4.88,2.4237,2,0,0,0,4,54.5,0,0,0,0.0,4.426,0.6729999999999999,10.289000000000001,0,0.9940000000000001,1.08,0,0,0,1.425,2,1,0,0,2.316,-0.001,1,0.0,2.38,0,2,0,0,6.881,2.012,0,12.284,0,2,1
5.997999999999999,1.8789,6,0,0,3,0,44.4,0,1,0,0.642,4.308,0.7490000000000001,11.637,3,1.054,1.103,0,0,0,1.3319999999999999,15,0,1,0,2.859,0.0,0,0.0,1.117,6,0,0,0,4.405,2.355,0,9.843,0,6,1
5.027,3.5931,4,0,0,0,4,50.0,0,0,0,0.0,3.764,0.861,10.084,0,1.079,1.085,0,0,0,1.3980000000000001,1,0,1,0,2.318,0.013999999999999999,0,0.0,0.9840000000000001,0,4,0,0,4.211,2.7110000000000003,0,9.329,0,4,1
5.109,2.4912,4,0,2,0,8,44.8,0,0,4,0.0,4.178,0.7490000000000001,10.817,0,1.028,1.113,0,0,0,1.3359999999999999,2,0,1,0,2.398,0.0,0,0.0,3.174,0,6,4,4,4.124,2.488,2,9.615,0,4,1
3.8789999999999996,3.1116,0,0,0,0,0,26.1,0,3,0,0.0,2.995,2.281,8.743,0,1.0070000000000001,1.1540000000000001,0,0,0,1.107,0,0,0,0,1.902,0.047,0,0.0,3.685,0,0,0,0,3.0469999999999997,2.278,0,7.3229999999999995,0,0,1
4.562,3.1562,1,0,1,0,2,42.9,0,0,2,0.0,3.202,0.875,9.54,0,1.005,1.121,0,0,0,1.308,1,0,1,0,2.17,0.045,0,0.0,1.14,0,2,2,2,3.87,2.431,1,8.463,0,1,1
5.029,3.5846,0,0,2,0,3,40.0,2,2,3,0.0,3.3560000000000003,1.16,10.122,4,1.015,1.129,0,1,0,1.26,1,0,0,0,2.318,-0.008,0,20.759,1.5719999999999998,0,1,2,0,3.8819999999999997,2.818,1,8.586,0,0,1
4.825,2.4725,0,0,0,0,0,33.3,0,2,0,0.0,3.15,1.185,9.902000000000001,4,0.993,1.139,0,0,0,1.177,1,0,0,0,2.263,0.013000000000000001,0,0.0,1.476,1,0,0,2,3.367,2.55,0,7.747000000000001,0,0,1
5.2,3.1674,0,0,6,0,4,45.5,0,4,6,0.0,3.793,1.125,10.597999999999999,8,1.058,1.121,0,2,0,1.262,3,0,0,0,2.441,0.0,0,42.927,1.8319999999999999,0,2,4,0,4.033,3.167,2,9.15,0,0,1
5.361000000000001,1.89,0,0,2,1,0,28.9,2,4,2,0.0,3.764,1.591,10.690999999999999,16,1.003,1.151,0,0,0,1.1320000000000001,2,0,0,0,2.407,0.0,0,0.0,3.261,0,0,2,4,3.495,2.154,2,8.325,0,0,1
4.5169999999999995,2.2821,0,0,3,0,0,25.0,1,0,0,0.0,2.9939999999999998,1.409,9.391,0,0.9840000000000001,1.166,0,0,0,1.129,1,0,0,0,2.149,-0.023,0,0.0,2.036,0,0,6,3,3.219,1.944,3,7.385,0,0,1
