model_id,mean_per_class_error,logloss,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20200713_213542,0.18475280828336588,0.3847966237097544,0.3588885632916605,0.12880100086155222
StackedEnsemble_AllModels_AutoML_20200713_213542,0.1896499483764525,0.5304192256507768,0.42700010804280975,0.1823290922685712
GLM_1_AutoML_20200713_213542,0.18988875602618788,0.4182441424946608,0.3713080038383461,0.13786963371441727
XGBoost_1_AutoML_20200713_213542,0.22096160314580213,0.5051667071131188,0.4118679761554529,0.16963522978238876
XGBoost_grid__1_AutoML_20200713_213542_model_3,0.2311457935364548,0.5166438170474775,0.42126646892126396,0.1774654378373903
GBM_grid__1_AutoML_20200713_213542_model_7,0.23341915008364003,0.5891619922267421,0.4383061921305211,0.1921123180599573
XGBoost_grid__1_AutoML_20200713_213542_model_2,0.2336180593555649,0.5080926370488934,0.41753577250668295,0.17433612132275253
XGBoost_3_AutoML_20200713_213542,0.23495921072261405,0.5225714185457829,0.41961868093674937,0.17607983739109745
XGBoost_grid__1_AutoML_20200713_213542_model_15,0.23497945035991974,0.5010546376516605,0.4135133512587377,0.1709932916692322
GBM_2_AutoML_20200713_213542,0.23509190005299524,0.5099045682592617,0.4183228541328316,0.17499401028983827
XGBoost_grid__1_AutoML_20200713_213542_model_18,0.2377218492478642,0.5106529496977376,0.4183779590160884,0.17504011659046775
XGBoost_grid__1_AutoML_20200713_213542_model_17,0.2403523793395342,0.5398751103653199,0.4237846856606,0.17959345980045352
GBM_grid__1_AutoML_20200713_213542_model_5,0.2440731712978765,0.5143601223143134,0.4196479911265143,0.17610443645651902
GBM_grid__1_AutoML_20200713_213542_model_1,0.24489176499133505,0.6485865297758503,0.4447235477595865,0.1977790339318732
GBM_grid__1_AutoML_20200713_213542_model_11,0.2451370697395453,0.5245244759819924,0.4224072551699233,0.17842788922018868
XGBoost_grid__1_AutoML_20200713_213542_model_8,0.2452423995760749,0.5385781015604324,0.4269111793425633,0.1822531550476582
GBM_grid__1_AutoML_20200713_213542_model_9,0.2453681347746639,0.5021785693485492,0.4174340005951757,0.17425114485289314
XGBoost_grid__1_AutoML_20200713_213542_model_4,0.2466176569827443,0.5103935768901401,0.4195296015274579,0.17600508655778765
DRF_1_AutoML_20200713_213542,0.2475811875819793,0.5316707171465683,0.4285415396500905,0.18364785120567004
GBM_3_AutoML_20200713_213542,0.24903578471095214,0.5223737222278309,0.4243503337057208,0.18007320571615665
GBM_grid__1_AutoML_20200713_213542_model_6,0.2494522659264585,0.5301684862013343,0.4271148709681475,0.18242711300213726
GBM_grid__1_AutoML_20200713_213542_model_8,0.2503703971182564,0.5250654192227154,0.4257733322954992,0.1812829304940136
XGBoost_grid__1_AutoML_20200713_213542_model_7,0.2508336889820953,0.5382927556228982,0.43055806237948296,0.18538024507997475
XRT_1_AutoML_20200713_213542,0.2526697437796676,0.5887716975123273,0.4344734376159837,0.1887671679938501
XGBoost_grid__1_AutoML_20200713_213542_model_11,0.25297514468172405,0.5998320517034852,0.4571849591371888,0.20901808686127304
XGBoost_grid__1_AutoML_20200713_213542_model_6,0.2530084622385196,0.5873523036471326,0.4518692249589976,0.2041857964650452
XGBoost_2_AutoML_20200713_213542,0.25465327181722225,0.5451264146205009,0.4341119149471533,0.18845315469908444
GBM_grid__1_AutoML_20200713_213542_model_3,0.2571247491535077,0.5854972944948715,0.4403185564441535,0.19388043114906325
GBM_grid__1_AutoML_20200713_213542_model_2,0.2594645332282604,0.5458610998398457,0.4347184613450348,0.18898014063419452
XGBoost_grid__1_AutoML_20200713_213542_model_13,0.2600196618370918,0.6250196020520344,0.4448784214379759,0.1979168098611453
GBM_grid__1_AutoML_20200713_213542_model_4,0.2603757102882661,0.527059739424197,0.4281780129697446,0.18333641079071886
XGBoost_grid__1_AutoML_20200713_213542_model_1,0.2637073438246622,0.5547969460737385,0.4386564884699258,0.19241951487676606
GBM_grid__1_AutoML_20200713_213542_model_10,0.2643085312992931,0.5529540043767913,0.43803656946569297,0.19187603618927287
XGBoost_grid__1_AutoML_20200713_213542_model_12,0.2647117270092859,0.5672705488822863,0.44386258723683497,0.197013996348577
XGBoost_grid__1_AutoML_20200713_213542_model_14,0.2675608251133855,0.6071221638096871,0.4611339099052764,0.2126444828645276
GBM_1_AutoML_20200713_213542,0.2684587166678777,0.5352587245928834,0.428783538301053,0.1838553227179706
GBM_4_AutoML_20200713_213542,0.26979411755800664,0.5386986316440144,0.4313019677623618,0.18602138739568536
XGBoost_grid__1_AutoML_20200713_213542_model_5,0.26987999624005515,0.5758381756070979,0.4465142015300906,0.19937493216805435
XGBoost_grid__1_AutoML_20200713_213542_model_10,0.27799611259043866,0.6060710699751474,0.4600631380567197,0.21165809099859628
XGBoost_grid__1_AutoML_20200713_213542_model_16,0.2797335840972499,0.7096069295907808,0.5037227037025772,0.25373656222543445
GBM_5_AutoML_20200713_213542,0.2967907418651969,0.6475339781368804,0.4789881949624584,0.2294296909133941
XGBoost_grid__1_AutoML_20200713_213542_model_9,0.3003925451707188,0.7753185915866774,0.5316213418910065,0.28262125115399445
