model_id,mean_per_class_error,logloss,rmse,mse
XGBoost_grid__1_AutoML_20200728_135407_model_2,0.2289196310935441,0.4953215260483676,0.4097113855951589,0.16786341948630493
XGBoost_grid__1_AutoML_20200728_135407_model_8,0.22962725680116985,0.4860994641075501,0.4080992080925408,0.16654496364575888
XGBoost_grid__1_AutoML_20200728_135407_model_4,0.2313040220648916,0.4876819627622283,0.40888221012169207,0.16718466175399946
XGBoost_3_AutoML_20200728_135407,0.23270434275869065,0.4816108290317745,0.40337555470618464,0.16271183813452214
XGBoost_2_AutoML_20200728_135407,0.23728415304502265,0.5230940767982082,0.4238101999686695,0.17961508559748365
XGBoost_grid__1_AutoML_20200728_135407_model_13,0.23919784925219706,0.5613496486624621,0.4218469603668314,0.177954857970735
XGBoost_grid__1_AutoML_20200728_135407_model_1,0.24154589371980675,0.5287353698684376,0.4256701496965629,0.18119507634269424
XGBoost_1_AutoML_20200728_135407,0.2425865197604328,0.5133699388229003,0.4187877813829662,0.17538320583566705
XGBoost_grid__1_AutoML_20200728_135407_model_3,0.2440263540807019,0.5064177814983002,0.418886489944085,0.17546589145767602
XGBoost_grid__1_AutoML_20200728_135407_model_15,0.2456219806763285,0.4924601909433016,0.4123825214427023,0.1700593439914408
XGBoost_grid__1_AutoML_20200728_135407_model_17,0.25067248572683354,0.5151281374572341,0.41707582455587533,0.17395224342896334
XGBoost_grid__1_AutoML_20200728_135407_model_7,0.253086738141086,0.5305215013397969,0.4278487788052529,0.18305457752514614
XGBoost_grid__1_AutoML_20200728_135407_model_11,0.2576814791488704,0.6111948610958383,0.4608011062443207,0.21233765951598976
XGBoost_grid__1_AutoML_20200728_135407_model_5,0.2596666618405749,0.553705835630265,0.4372291968753829,0.1911693706002924
XGBoost_grid__1_AutoML_20200728_135407_model_12,0.2626871920350181,0.5557284062652288,0.4381610195254208,0.19198507903155607
XGBoost_grid__1_AutoML_20200728_135407_model_6,0.2636765408504539,0.6037018718856124,0.4580351517897735,0.20979620027508086
XGBoost_grid__1_AutoML_20200728_135407_model_10,0.2782314304053434,0.6201988654999503,0.4651761821977458,0.2163888804840704
XGBoost_grid__1_AutoML_20200728_135407_model_14,0.2792272642816121,0.6056172260473237,0.4594561798654799,0.2110999812165802
XGBoost_grid__1_AutoML_20200728_135407_model_16,0.2963105734844866,0.716971065860549,0.5062379738098199,0.2562768861270719
XGBoost_grid__1_AutoML_20200728_135407_model_9,0.3078001406805755,0.7687933965545778,0.5280306372329053,0.27881635385658804
