COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,Class
77,38,75,144,59,6,147,46,19,132,167,315,136,80,16,20,181,187,1
92,40,82,163,63,9,146,45,19,140,165,319,137,64,9,0,199,206,4
90,36,57,130,57,6,121,56,17,127,137,216,132,68,22,23,190,195,2
100,48,95,209,68,7,199,32,23,150,216,605,200,73,7,11,192,194,3
80,43,68,120,54,8,150,45,19,145,171,329,176,85,4,8,179,183,3
100,46,85,164,64,11,163,42,20,163,176,387,170,71,18,0,189,196,4
91,40,76,171,67,7,149,44,19,135,169,332,144,68,4,17,192,200,3
104,50,96,211,65,10,187,35,22,156,207,527,195,65,3,7,195,206,2
84,35,53,122,57,4,116,59,17,123,135,196,128,76,10,27,183,190,2
91,42,81,193,69,5,169,38,20,137,184,434,156,68,3,23,198,204,3
82,44,72,150,64,7,154,44,19,144,181,350,177,80,0,16,183,187,3
111,54,103,171,50,11,221,30,25,172,227,727,201,69,15,6,190,198,1
85,39,57,126,56,6,114,58,17,135,134,195,145,64,17,7,197,202,4
86,41,66,133,56,6,136,49,18,136,155,274,162,74,5,14,183,189,2
81,44,68,120,53,6,151,45,19,147,170,333,178,86,4,5,179,183,3
100,52,104,189,59,10,208,32,24,163,220,642,197,70,1,22,187,198,2
95,36,73,191,73,6,156,41,19,126,184,374,124,71,2,19,199,204,3
99,48,104,196,63,10,201,33,23,152,221,604,199,73,8,4,188,197,2
89,40,60,131,56,6,118,56,17,137,143,209,153,65,10,8,193,199,4
100,46,81,187,61,9,166,40,20,154,189,415,175,63,13,9,198,207,2
94,37,73,186,71,7,154,42,19,127,171,362,132,67,2,8,197,206,3
86,46,73,125,57,6,151,45,19,147,170,334,188,82,9,11,180,184,3
93,36,63,139,57,8,132,50,18,136,158,260,121,67,3,27,193,201,4
82,37,66,126,54,7,132,52,18,127,148,252,142,72,17,7,183,187,2
95,45,105,208,64,10,187,36,22,150,202,520,158,64,7,32,198,211,2
82,44,63,123,54,7,151,45,19,147,166,329,185,81,3,4,179,182,3
88,44,77,167,59,6,151,44,19,145,175,343,177,64,9,12,202,208,1
95,44,84,158,62,10,145,46,19,148,163,312,166,64,10,6,199,206,4
87,45,82,164,60,8,156,42,19,144,181,366,174,70,2,2,190,196,1
96,47,77,204,72,6,167,38,20,150,188,429,182,69,6,16,199,203,3
104,51,108,193,59,11,217,31,24,163,232,694,203,72,15,22,190,201,2
88,44,71,145,56,8,142,48,19,143,159,296,174,68,7,18,188,197,1
99,43,89,195,63,8,186,35,22,144,210,521,166,68,6,13,191,199,2
107,53,108,213,64,12,206,32,23,163,216,627,202,65,21,22,194,205,2
101,52,105,162,53,10,212,31,24,163,226,669,204,74,12,11,186,194,1
89,45,77,188,64,9,161,41,20,151,190,390,174,66,4,2,194,201,2
85,45,82,133,56,11,159,43,20,156,170,362,173,76,10,21,183,193,4
101,53,108,184,54,12,216,31,24,172,220,685,187,68,4,24,190,201,1
91,49,86,195,63,8,177,37,21,156,203,473,201,67,7,5,192,198,1
90,47,73,136,58,11,161,42,20,153,172,376,185,77,11,8,183,191,4
85,40,66,121,52,4,152,44,19,133,170,340,163,87,13,3,180,183,1
105,50,93,173,54,4,222,30,25,159,254,735,206,83,4,12,186,184,3
